"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-17,"AC",3,1,NA,NA,NA,NA,NA
"2",2020-03-18,"AC",3,2,NA,NA,NA,NA,NA
"3",2020-03-19,"AC",4,3,NA,NA,NA,NA,NA
"4",2020-03-20,"AC",7,4,NA,NA,NA,NA,NA
"5",2020-03-21,"AC",11,5,NA,NA,NA,NA,NA
"6",2020-03-22,"AC",11,6,NA,NA,NA,NA,NA
"7",2020-03-23,"AC",17,7,NA,NA,NA,NA,NA
"8",2020-03-24,"AC",21,8,NA,NA,NA,NA,NA
"9",2020-03-25,"AC",23,9,NA,NA,NA,NA,NA
"10",2020-03-26,"AC",23,10,NA,NA,NA,NA,NA
"11",2020-03-27,"AC",25,11,NA,NA,NA,NA,NA
"12",2020-03-28,"AC",25,12,NA,NA,NA,NA,NA
"13",2020-03-29,"AC",34,13,NA,NA,NA,NA,NA
"14",2020-03-30,"AC",41,14,NA,NA,NA,NA,NA
"15",2020-03-31,"AC",42,15,NA,NA,NA,NA,NA
"16",2020-04-01,"AC",43,16,NA,NA,NA,NA,NA
"17",2020-04-02,"AC",45,17,NA,NA,NA,NA,NA
"18",2020-04-03,"AC",46,18,NA,NA,NA,NA,NA
"19",2020-04-04,"AC",46,19,NA,NA,NA,NA,NA
"20",2020-04-05,"AC",48,20,NA,NA,NA,NA,NA
"21",2020-04-06,"AC",50,21,NA,NA,NA,NA,NA
"22",2020-04-07,"AC",50,22,NA,NA,NA,NA,NA
"23",2020-04-08,"AC",58,23,NA,NA,NA,NA,NA
"24",2020-04-09,"AC",62,24,NA,NA,NA,NA,NA
"25",2020-04-10,"AC",70,25,NA,NA,NA,NA,NA
"26",2020-04-11,"AC",72,26,NA,NA,NA,NA,NA
"27",2020-04-12,"AC",77,27,NA,NA,NA,NA,NA
"28",2020-04-13,"AC",90,28,NA,NA,NA,NA,NA
"29",2020-04-14,"AC",99,29,NA,NA,NA,NA,NA
"30",2020-04-15,"AC",101,30,NA,NA,NA,NA,NA
"31",2020-04-16,"AC",115,31,NA,NA,NA,NA,NA
"32",2020-04-17,"AC",135,32,NA,NA,NA,NA,NA
"33",2020-04-18,"AC",142,33,NA,NA,NA,NA,NA
"34",2020-04-19,"AC",163,34,NA,NA,NA,NA,NA
"35",2020-04-20,"AC",176,35,NA,NA,NA,NA,NA
"36",2020-04-21,"AC",195,36,NA,NA,NA,NA,NA
"37",2020-04-22,"AC",214,37,NA,NA,NA,NA,NA
"38",2020-04-23,"AC",227,38,NA,NA,NA,NA,NA
"39",2020-04-24,"AC",234,39,NA,NA,NA,NA,NA
"40",2020-04-25,"AC",258,40,NA,NA,NA,NA,NA
"41",2020-04-26,"AC",279,41,NA,NA,NA,NA,NA
"42",2020-04-27,"AC",301,42,NA,NA,NA,NA,NA
"43",2020-04-28,"AC",317,43,NA,NA,NA,NA,NA
"44",2020-04-29,"AC",354,44,NA,NA,NA,NA,NA
"45",2020-04-30,"AC",404,45,NA,NA,NA,NA,NA
"46",2020-05-01,"AC",487,46,NA,NA,NA,NA,NA
"47",2020-05-02,"AC",553,47,NA,NA,NA,NA,NA
"48",2020-05-03,"AC",658,48,NA,NA,NA,NA,NA
"49",2020-05-04,"AC",733,49,NA,NA,NA,NA,NA
"50",2020-05-05,"AC",817,50,NA,NA,NA,NA,NA
"51",2020-05-06,"AC",943,51,NA,NA,NA,NA,NA
"52",2020-05-07,"AC",1014,52,NA,NA,NA,NA,NA
"53",2020-05-08,"AC",1177,53,NA,NA,NA,NA,NA
"54",2020-05-09,"AC",1335,54,NA,NA,NA,NA,NA
"55",2020-05-10,"AC",1447,55,NA,NA,NA,NA,NA
"56",2020-05-11,"AC",1460,56,NA,NA,NA,NA,NA
"57",2020-05-12,"AC",1590,57,NA,NA,NA,NA,NA
"58",2020-05-13,"AC",1694,58,NA,NA,NA,NA,NA
"59",2020-05-14,"AC",1740,59,NA,NA,NA,NA,NA
"60",2020-05-15,"AC",1785,60,NA,NA,NA,NA,NA
"61",2020-05-16,"AC",1867,61,NA,NA,NA,NA,NA
