"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-08,"AL",1,1,NA,NA,NA,NA,NA
"2",2020-03-09,"AL",1,2,NA,NA,NA,NA,NA
"3",2020-03-10,"AL",1,3,NA,NA,NA,NA,NA
"4",2020-03-12,"AL",1,4,NA,NA,NA,NA,NA
"5",2020-03-13,"AL",1,5,NA,NA,NA,NA,NA
"6",2020-03-16,"AL",1,6,NA,NA,NA,NA,NA
"7",2020-03-17,"AL",1,7,NA,NA,NA,NA,NA
"8",2020-03-18,"AL",1,8,NA,NA,NA,NA,NA
"9",2020-03-19,"AL",4,9,NA,NA,NA,NA,NA
"10",2020-03-20,"AL",6,10,NA,NA,NA,NA,NA
"11",2020-03-21,"AL",7,11,NA,NA,NA,NA,NA
"12",2020-03-22,"AL",7,12,NA,NA,NA,NA,NA
"13",2020-03-23,"AL",8,13,NA,NA,NA,NA,NA
"14",2020-03-24,"AL",10,14,NA,NA,NA,NA,NA
"15",2020-03-25,"AL",11,15,NA,NA,NA,NA,NA
"16",2020-03-26,"AL",11,16,NA,NA,NA,NA,NA
"17",2020-03-27,"AL",12,17,NA,NA,NA,NA,NA
"18",2020-03-28,"AL",14,18,NA,NA,NA,NA,NA
"19",2020-03-29,"AL",17,19,NA,NA,NA,NA,NA
"20",2020-03-30,"AL",17,20,NA,NA,NA,NA,NA
"21",2020-03-31,"AL",18,21,NA,NA,NA,NA,NA
"22",2020-04-01,"AL",18,22,NA,NA,NA,NA,NA
"23",2020-04-02,"AL",18,23,NA,NA,NA,NA,NA
"24",2020-04-03,"AL",23,24,NA,NA,NA,NA,NA
"25",2020-04-04,"AL",23,25,NA,NA,NA,NA,NA
"26",2020-04-05,"AL",28,26,NA,NA,NA,NA,NA
"27",2020-04-06,"AL",31,27,NA,NA,NA,NA,NA
"28",2020-04-07,"AL",34,28,NA,NA,NA,NA,NA
"29",2020-04-08,"AL",37,29,NA,NA,NA,NA,NA
