"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-13,"AM",2,1,NA,NA,NA,NA,NA
"2",2020-03-18,"AM",2,2,NA,NA,NA,NA,NA
"3",2020-03-19,"AM",3,3,NA,NA,NA,NA,NA
"4",2020-03-20,"AM",7,4,NA,NA,NA,NA,NA
"5",2020-03-21,"AM",11,5,NA,NA,NA,NA,NA
"6",2020-03-22,"AM",26,6,NA,NA,NA,NA,NA
"7",2020-03-23,"AM",32,7,NA,NA,NA,NA,NA
"8",2020-03-24,"AM",47,8,NA,NA,NA,NA,NA
"9",2020-03-25,"AM",54,9,NA,NA,NA,NA,NA
"10",2020-03-26,"AM",67,10,NA,NA,NA,NA,NA
"11",2020-03-27,"AM",81,11,NA,NA,NA,NA,NA
"12",2020-03-28,"AM",111,12,NA,NA,NA,NA,NA
"13",2020-03-29,"AM",140,13,NA,NA,NA,NA,NA
"14",2020-03-30,"AM",151,14,NA,NA,NA,NA,NA
"15",2020-03-31,"AM",175,15,NA,NA,NA,NA,NA
"16",2020-04-01,"AM",200,16,NA,NA,NA,NA,NA
"17",2020-04-02,"AM",229,17,NA,NA,NA,NA,NA
"18",2020-04-03,"AM",260,18,NA,NA,NA,NA,NA
"19",2020-04-04,"AM",311,19,NA,NA,NA,NA,NA
"20",2020-04-05,"AM",417,20,NA,NA,NA,NA,NA
"21",2020-04-06,"AM",532,21,NA,NA,NA,NA,NA
"22",2020-04-07,"AM",636,22,NA,NA,NA,NA,NA
"23",2020-04-08,"AM",804,23,NA,NA,NA,NA,NA
"24",2020-04-09,"AM",899,24,NA,NA,NA,NA,NA
"25",2020-04-10,"AM",981,25,NA,NA,NA,NA,NA
"26",2020-04-11,"AM",1049,26,NA,NA,NA,NA,NA
"27",2020-04-12,"AM",1206,27,NA,NA,NA,NA,NA
"28",2020-04-13,"AM",1275,28,NA,NA,NA,NA,NA
"29",2020-04-14,"AM",1484,29,NA,NA,NA,NA,NA
"30",2020-04-15,"AM",1554,30,NA,NA,NA,NA,NA
"31",2020-04-16,"AM",1719,31,NA,NA,NA,NA,NA
"32",2020-04-17,"AM",1809,32,NA,NA,NA,NA,NA
"33",2020-04-18,"AM",1897,33,NA,NA,NA,NA,NA
"34",2020-04-19,"AM",2044,34,NA,NA,NA,NA,NA
"35",2020-04-20,"AM",2160,35,NA,NA,NA,NA,NA
"36",2020-04-21,"AM",2270,36,NA,NA,NA,NA,NA
"37",2020-04-22,"AM",2479,37,NA,NA,NA,NA,NA
"38",2020-04-23,"AM",2888,38,NA,NA,NA,NA,NA
"39",2020-04-24,"AM",3194,39,NA,NA,NA,NA,NA
"40",2020-04-25,"AM",3635,40,NA,NA,NA,NA,NA
"41",2020-04-26,"AM",3833,41,NA,NA,NA,NA,NA
"42",2020-04-27,"AM",3928,42,NA,NA,NA,NA,NA
"43",2020-04-28,"AM",4337,43,NA,NA,NA,NA,NA
"44",2020-04-29,"AM",4801,44,NA,NA,NA,NA,NA
"45",2020-04-30,"AM",5254,45,NA,NA,NA,NA,NA
"46",2020-05-01,"AM",5723,46,NA,NA,NA,NA,NA
"47",2020-05-02,"AM",6062,47,NA,NA,NA,NA,NA
"48",2020-05-03,"AM",6683,48,NA,NA,NA,NA,NA
