"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-06,"BA",1,1,NA,NA,NA,NA,NA
"2",2020-03-07,"BA",2,2,NA,NA,NA,NA,NA
"3",2020-03-09,"BA",2,3,NA,NA,NA,NA,NA
"4",2020-03-10,"BA",2,4,NA,NA,NA,NA,NA
"5",2020-03-11,"BA",3,5,NA,NA,NA,NA,NA
"6",2020-03-12,"BA",3,6,NA,NA,NA,NA,NA
"7",2020-03-13,"BA",7,7,NA,NA,NA,NA,NA
"8",2020-03-15,"BA",9,8,NA,NA,NA,NA,NA
"9",2020-03-16,"BA",10,9,NA,NA,NA,NA,NA
"10",2020-03-17,"BA",14,10,NA,NA,NA,NA,NA
"11",2020-03-18,"BA",27,11,NA,NA,NA,NA,NA
"12",2020-03-19,"BA",31,12,NA,NA,NA,NA,NA
"13",2020-03-20,"BA",34,13,NA,NA,NA,NA,NA
"14",2020-03-21,"BA",41,14,NA,NA,NA,NA,NA
"15",2020-03-22,"BA",55,15,NA,NA,NA,NA,NA
"16",2020-03-23,"BA",63,16,NA,NA,NA,NA,NA
"17",2020-03-24,"BA",79,17,NA,NA,NA,NA,NA
"18",2020-03-25,"BA",91,18,NA,NA,NA,NA,NA
"19",2020-03-26,"BA",108,19,NA,NA,NA,NA,NA
"20",2020-03-27,"BA",123,20,NA,NA,NA,NA,NA
"21",2020-03-28,"BA",127,21,NA,NA,NA,NA,NA
"22",2020-03-29,"BA",156,22,NA,NA,NA,NA,NA
"23",2020-03-30,"BA",176,23,NA,NA,NA,NA,NA
"24",2020-03-31,"BA",217,24,NA,NA,NA,NA,NA
"25",2020-04-01,"BA",246,25,NA,NA,NA,NA,NA
"26",2020-04-02,"BA",267,26,NA,NA,NA,NA,NA
"27",2020-04-03,"BA",290,27,NA,NA,NA,NA,NA
"28",2020-04-04,"BA",336,28,NA,NA,NA,NA,NA
"29",2020-04-05,"BA",401,29,NA,NA,NA,NA,NA
"30",2020-04-06,"BA",437,30,NA,NA,NA,NA,NA
"31",2020-04-07,"BA",462,31,NA,NA,NA,NA,NA
"32",2020-04-08,"BA",515,32,NA,NA,NA,NA,NA
"33",2020-04-09,"BA",568,33,NA,NA,NA,NA,NA
"34",2020-04-10,"BA",616,34,NA,NA,NA,NA,NA
"35",2020-04-11,"BA",640,35,NA,NA,NA,NA,NA
"36",2020-04-12,"BA",674,36,NA,NA,NA,NA,NA
"37",2020-04-13,"BA",723,37,NA,NA,NA,NA,NA
"38",2020-04-14,"BA",776,38,NA,NA,NA,NA,NA
"39",2020-04-15,"BA",884,39,NA,NA,NA,NA,NA
"40",2020-04-16,"BA",967,40,NA,NA,NA,NA,NA
"41",2020-04-17,"BA",1064,41,NA,NA,NA,NA,NA
"42",2020-04-18,"BA",1200,42,NA,NA,NA,NA,NA
"43",2020-04-19,"BA",1249,43,NA,NA,NA,NA,NA
"44",2020-04-20,"BA",1377,44,NA,NA,NA,NA,NA
"45",2020-04-21,"BA",1504,45,NA,NA,NA,NA,NA
"46",2020-04-22,"BA",1645,46,NA,NA,NA,NA,NA
"47",2020-04-23,"BA",1845,47,NA,NA,NA,NA,NA
"48",2020-04-24,"BA",1979,48,NA,NA,NA,NA,NA
"49",2020-04-25,"BA",2116,49,NA,NA,NA,NA,NA
"50",2020-04-26,"BA",2248,50,NA,NA,NA,NA,NA
"51",2020-04-27,"BA",2356,51,NA,NA,NA,NA,NA
"52",2020-04-28,"BA",2564,52,NA,NA,NA,NA,NA
"53",2020-04-29,"BA",2676,53,NA,NA,NA,NA,NA
"54",2020-04-30,"BA",2867,54,NA,NA,NA,NA,NA
"55",2020-05-01,"BA",3140,55,NA,NA,NA,NA,NA
"56",2020-05-02,"BA",3315,56,NA,NA,NA,NA,NA
"57",2020-05-03,"BA",3566,57,NA,NA,NA,NA,NA
"58",2020-05-04,"BA",3734,58,NA,NA,NA,NA,NA
"59",2020-05-05,"BA",4040,59,NA,NA,NA,NA,NA
"60",2020-05-06,"BA",4301,60,NA,NA,NA,NA,NA
"61",2020-05-07,"BA",4528,61,NA,NA,NA,NA,NA
"62",2020-05-08,"BA",4818,62,NA,NA,NA,NA,NA
"63",2020-05-09,"BA",5174,63,NA,NA,NA,NA,NA
"64",2020-05-10,"BA",5558,64,NA,NA,NA,NA,NA
"65",2020-05-11,"BA",5808,65,NA,NA,NA,NA,NA
"66",2020-05-12,"BA",6204,66,NA,NA,NA,NA,NA
"67",2020-05-13,"BA",6547,67,NA,NA,NA,NA,NA
"68",2020-05-14,"BA",6955,68,NA,NA,NA,NA,NA
"69",2020-05-15,"BA",8128,69,NA,NA,NA,NA,NA
"70",2020-05-16,"BA",8314,70,NA,NA,NA,NA,NA
"71",2020-05-17,"BA",8443,71,NA,NA,NA,NA,NA
"72",2020-05-18,"BA",8881,72,NA,NA,NA,NA,NA
"73",2020-05-19,"BA",11013,73,NA,NA,NA,NA,NA
"74",2020-05-20,"BA",11197,74,NA,NA,NA,NA,NA
"75",2020-05-21,"BA",11941,75,NA,NA,NA,NA,NA
"76",2020-05-22,"BA",12557,76,NA,NA,NA,NA,NA
"77",2020-05-23,"BA",13000,77,NA,NA,NA,NA,NA
"78",2020-05-24,"BA",13899,78,NA,NA,NA,NA,NA
"79",2020-05-25,"BA",14204,79,NA,NA,NA,NA,NA
"80",2020-05-26,"BA",14566,80,NA,NA,NA,NA,NA
"81",2020-05-27,"BA",15070,81,NA,NA,NA,NA,NA
"82",2020-05-28,"BA",15963,82,NA,NA,NA,NA,NA
"83",2020-05-29,"BA",16917,83,NA,NA,NA,NA,NA
"84",2020-05-30,"BA",17626,84,NA,NA,NA,NA,NA
"85",2020-05-31,"BA",18392,85,NA,NA,NA,NA,NA
"86",2020-06-01,"BA",18898,86,NA,NA,NA,NA,NA
"87",2020-06-02,"BA",21430,87,NA,NA,NA,NA,NA
"88",2020-06-03,"BA",22451,88,NA,NA,NA,NA,NA
"89",2020-06-04,"BA",23463,89,NA,NA,NA,NA,NA
"90",2020-06-05,"BA",26419,90,NA,NA,NA,NA,NA
"91",2020-06-06,"BA",27396,91,NA,NA,NA,NA,NA
"92",2020-06-07,"BA",28250,92,NA,NA,NA,NA,NA
"93",2020-06-08,"BA",28715,93,NA,NA,NA,NA,NA
"94",2020-06-09,"BA",30481,94,NA,NA,NA,NA,NA
"95",2020-06-10,"BA",32685,95,NA,NA,NA,NA,NA
"96",2020-06-11,"BA",33891,96,NA,NA,NA,NA,NA
"97",2020-06-12,"BA",34665,97,NA,NA,NA,NA,NA
"98",2020-06-13,"BA",35788,98,NA,NA,NA,NA,NA
"99",2020-06-14,"BA",36401,99,NA,NA,NA,NA,NA
"100",2020-06-15,"BA",37620,100,NA,NA,NA,NA,NA
"101",2020-06-16,"BA",39206,101,NA,NA,NA,NA,NA
"102",2020-06-17,"BA",40926,102,NA,NA,NA,NA,NA
"103",2020-06-18,"BA",41577,103,NA,NA,NA,NA,NA
"104",2020-06-19,"BA",43922,104,NA,NA,NA,NA,NA
"105",2020-06-20,"BA",45304,105,NA,NA,NA,NA,NA
"106",2020-06-21,"BA",46279,106,NA,NA,NA,NA,NA
"107",2020-06-22,"BA",47086,107,NA,NA,NA,NA,NA
"108",2020-06-23,"BA",49084,108,NA,NA,NA,NA,NA
"109",2020-06-24,"BA",51931,109,NA,NA,NA,NA,NA
"110",2020-06-25,"BA",54291,110,NA,NA,NA,NA,NA
"111",2020-06-26,"BA",56422,111,NA,NA,NA,NA,NA
"112",2020-06-27,"BA",65244,112,NA,NA,NA,NA,NA
"113",2020-06-28,"BA",68495,113,NA,NA,NA,NA,NA
"114",2020-06-29,"BA",69467,114,NA,NA,NA,NA,NA
"115",2020-06-30,"BA",73307,115,NA,NA,NA,NA,NA
"116",2020-07-01,"BA",76485,116,NA,NA,NA,NA,NA
"117",2020-07-02,"BA",79349,117,NA,NA,NA,NA,NA
"118",2020-07-03,"BA",82314,118,NA,NA,NA,NA,NA
"119",2020-07-04,"BA",85485,119,NA,NA,NA,NA,NA
"120",2020-07-05,"BA",87048,120,NA,NA,NA,NA,NA
"121",2020-07-06,"BA",88279,121,NA,NA,NA,NA,NA
"122",2020-07-07,"BA",91954,122,NA,NA,NA,NA,NA
"123",2020-07-08,"BA",95536,123,NA,NA,NA,NA,NA
"124",2020-07-09,"BA",98319,124,NA,NA,NA,NA,NA
"125",2020-07-10,"BA",101186,125,NA,NA,NA,NA,NA
"126",2020-07-11,"BA",104188,126,NA,NA,NA,NA,NA
"127",2020-07-12,"BA",105763,127,NA,NA,NA,NA,NA
"128",2020-07-13,"BA",106891,128,NA,NA,NA,NA,NA
"129",2020-07-14,"BA",110029,129,NA,NA,NA,NA,NA
"130",2020-07-15,"BA",112993,130,NA,NA,NA,NA,NA
"131",2020-07-16,"BA",116373,131,NA,NA,NA,NA,NA
"132",2020-07-17,"BA",118657,132,NA,NA,NA,NA,NA
"133",2020-07-18,"BA",120238,133,NA,NA,NA,NA,NA
"134",2020-07-19,"BA",122169,134,NA,NA,NA,NA,NA
"135",2020-07-20,"BA",123292,135,NA,NA,NA,NA,NA
"136",2020-07-21,"BA",126844,136,NA,NA,NA,NA,NA
"137",2020-07-22,"BA",133245,137,NA,NA,NA,NA,NA
