"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-16,"CE",9,1,NA,NA,NA,NA,NA
"2",2020-03-17,"CE",10,2,NA,NA,NA,NA,NA
"3",2020-03-18,"CE",19,3,NA,NA,NA,NA,NA
"4",2020-03-19,"CE",24,4,NA,NA,NA,NA,NA
"5",2020-03-20,"CE",68,5,NA,NA,NA,NA,NA
"6",2020-03-21,"CE",84,6,NA,NA,NA,NA,NA
"7",2020-03-22,"CE",125,7,NA,NA,NA,NA,NA
"8",2020-03-23,"CE",164,8,NA,NA,NA,NA,NA
"9",2020-03-24,"CE",185,9,NA,NA,NA,NA,NA
"10",2020-03-25,"CE",211,10,NA,NA,NA,NA,NA
"11",2020-03-26,"CE",237,11,NA,NA,NA,NA,NA
"12",2020-03-27,"CE",282,12,NA,NA,NA,NA,NA
"13",2020-03-28,"CE",322,13,NA,NA,NA,NA,NA
"14",2020-03-29,"CE",359,14,NA,NA,NA,NA,NA
"15",2020-03-30,"CE",382,15,NA,NA,NA,NA,NA
"16",2020-03-31,"CE",401,16,NA,NA,NA,NA,NA
"17",2020-04-01,"CE",445,17,NA,NA,NA,NA,NA
"18",2020-04-02,"CE",563,18,NA,NA,NA,NA,NA
"19",2020-04-03,"CE",658,19,NA,NA,NA,NA,NA
"20",2020-04-04,"CE",745,20,NA,NA,NA,NA,NA
"21",2020-04-05,"CE",960,21,NA,NA,NA,NA,NA
"22",2020-04-06,"CE",1045,22,NA,NA,NA,NA,NA
"23",2020-04-07,"CE",1188,23,NA,NA,NA,NA,NA
"24",2020-04-08,"CE",1394,24,NA,NA,NA,NA,NA
"25",2020-04-09,"CE",1445,25,NA,NA,NA,NA,NA
"26",2020-04-10,"CE",1558,26,NA,NA,NA,NA,NA
"27",2020-04-11,"CE",1668,27,NA,NA,NA,NA,NA
"28",2020-04-12,"CE",1747,28,NA,NA,NA,NA,NA
"29",2020-04-13,"CE",1935,29,NA,NA,NA,NA,NA
"30",2020-04-14,"CE",2070,30,NA,NA,NA,NA,NA
"31",2020-04-15,"CE",2291,31,NA,NA,NA,NA,NA
"32",2020-04-16,"CE",2412,32,NA,NA,NA,NA,NA
"33",2020-04-17,"CE",2747,33,NA,NA,NA,NA,NA
"34",2020-04-18,"CE",3062,34,NA,NA,NA,NA,NA
"35",2020-04-19,"CE",3306,35,NA,NA,NA,NA,NA
"36",2020-04-20,"CE",3485,36,NA,NA,NA,NA,NA
"37",2020-04-21,"CE",3682,37,NA,NA,NA,NA,NA
"38",2020-04-22,"CE",4116,38,NA,NA,NA,NA,NA
"39",2020-04-23,"CE",4702,39,NA,NA,NA,NA,NA
"40",2020-04-24,"CE",5121,40,NA,NA,NA,NA,NA
"41",2020-04-25,"CE",5667,41,NA,NA,NA,NA,NA
"42",2020-04-26,"CE",6260,42,NA,NA,NA,NA,NA
"43",2020-04-27,"CE",6783,43,NA,NA,NA,NA,NA
"44",2020-04-28,"CE",6985,44,NA,NA,NA,NA,NA
"45",2020-04-29,"CE",7409,45,NA,NA,NA,NA,NA
"46",2020-04-30,"CE",7861,46,NA,NA,NA,NA,NA
"47",2020-05-01,"CE",8000,47,NA,NA,NA,NA,NA
"48",2020-05-02,"CE",8309,48,NA,NA,NA,NA,NA
"49",2020-05-03,"CE",8379,49,NA,NA,NA,NA,NA
"50",2020-05-04,"CE",11040,50,NA,NA,NA,NA,NA
