"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-07,"DF",1,1,NA,NA,NA,NA,NA
"2",2020-03-08,"DF",1,2,NA,NA,NA,NA,NA
"3",2020-03-09,"DF",1,3,NA,NA,NA,NA,NA
"4",2020-03-10,"DF",1,4,NA,NA,NA,NA,NA
"5",2020-03-11,"DF",2,5,NA,NA,NA,NA,NA
"6",2020-03-12,"DF",2,6,NA,NA,NA,NA,NA
"7",2020-03-13,"DF",2,7,NA,NA,NA,NA,NA
"8",2020-03-14,"DF",8,8,NA,NA,NA,NA,NA
"9",2020-03-15,"DF",14,9,NA,NA,NA,NA,NA
"10",2020-03-16,"DF",19,10,NA,NA,NA,NA,NA
"11",2020-03-18,"DF",34,11,NA,NA,NA,NA,NA
"12",2020-03-19,"DF",42,12,NA,NA,NA,NA,NA
"13",2020-03-20,"DF",87,13,NA,NA,NA,NA,NA
"14",2020-03-21,"DF",108,14,NA,NA,NA,NA,NA
"15",2020-03-22,"DF",117,15,NA,NA,NA,NA,NA
"16",2020-03-23,"DF",138,16,NA,NA,NA,NA,NA
"17",2020-03-24,"DF",161,17,NA,NA,NA,NA,NA
"18",2020-03-25,"DF",195,18,NA,NA,NA,NA,NA
"19",2020-03-26,"DF",201,19,NA,NA,NA,NA,NA
"20",2020-03-27,"DF",241,20,NA,NA,NA,NA,NA
"21",2020-03-28,"DF",260,21,NA,NA,NA,NA,NA
"22",2020-03-29,"DF",298,22,NA,NA,NA,NA,NA
"23",2020-03-30,"DF",312,23,NA,NA,NA,NA,NA
"24",2020-03-31,"DF",333,24,NA,NA,NA,NA,NA
"25",2020-04-01,"DF",370,25,NA,NA,NA,NA,NA
"26",2020-04-02,"DF",400,26,NA,NA,NA,NA,NA
"27",2020-04-03,"DF",419,27,NA,NA,NA,NA,NA
"28",2020-04-04,"DF",456,28,NA,NA,NA,NA,NA
"29",2020-04-05,"DF",468,29,NA,NA,NA,NA,NA
"30",2020-04-06,"DF",485,30,NA,NA,NA,NA,NA
"31",2020-04-07,"DF",503,31,NA,NA,NA,NA,NA
"32",2020-04-08,"DF",509,32,NA,NA,NA,NA,NA
"33",2020-04-09,"DF",527,33,NA,NA,NA,NA,NA
"34",2020-04-10,"DF",556,34,NA,NA,NA,NA,NA
"35",2020-04-11,"DF",592,35,NA,NA,NA,NA,NA
"36",2020-04-12,"DF",618,36,NA,NA,NA,NA,NA
"37",2020-04-13,"DF",641,37,NA,NA,NA,NA,NA
"38",2020-04-14,"DF",651,38,NA,NA,NA,NA,NA
"39",2020-04-15,"DF",688,39,NA,NA,NA,NA,NA
"40",2020-04-16,"DF",727,40,NA,NA,NA,NA,NA
"41",2020-04-17,"DF",756,41,NA,NA,NA,NA,NA
"42",2020-04-18,"DF",796,42,NA,NA,NA,NA,NA
"43",2020-04-19,"DF",860,43,NA,NA,NA,NA,NA
"44",2020-04-20,"DF",875,44,NA,NA,NA,NA,NA
"45",2020-04-21,"DF",913,45,NA,NA,NA,NA,NA
"46",2020-04-22,"DF",959,46,NA,NA,NA,NA,NA
"47",2020-04-23,"DF",968,47,NA,NA,NA,NA,NA
"48",2020-04-24,"DF",1012,48,NA,NA,NA,NA,NA
"49",2020-04-25,"DF",1020,49,NA,NA,NA,NA,NA
"50",2020-04-26,"DF",1125,50,NA,NA,NA,NA,NA
"51",2020-04-27,"DF",1189,51,NA,NA,NA,NA,NA
"52",2020-04-28,"DF",1230,52,NA,NA,NA,NA,NA
"53",2020-04-29,"DF",1313,53,NA,NA,NA,NA,NA
"54",2020-04-30,"DF",1423,54,NA,NA,NA,NA,NA
"55",2020-05-01,"DF",1546,55,NA,NA,NA,NA,NA
"56",2020-05-02,"DF",1605,56,NA,NA,NA,NA,NA
"57",2020-05-03,"DF",1720,57,NA,NA,NA,NA,NA
"58",2020-05-04,"DF",1793,58,NA,NA,NA,NA,NA
"59",2020-05-05,"DF",1837,59,NA,NA,NA,NA,NA
"60",2020-05-06,"DF",2046,60,NA,NA,NA,NA,NA
"61",2020-05-07,"DF",2258,61,NA,NA,NA,NA,NA
"62",2020-05-08,"DF",2442,62,NA,NA,NA,NA,NA
"63",2020-05-09,"DF",2576,63,NA,NA,NA,NA,NA
"64",2020-05-10,"DF",2682,64,NA,NA,NA,NA,NA
"65",2020-05-11,"DF",2799,65,NA,NA,NA,NA,NA
"66",2020-05-12,"DF",2979,66,NA,NA,NA,NA,NA
"67",2020-05-13,"DF",3192,67,NA,NA,NA,NA,NA
"68",2020-05-14,"DF",3416,68,NA,NA,NA,NA,NA
"69",2020-05-15,"DF",3787,69,NA,NA,NA,NA,NA
"70",2020-05-16,"DF",4140,70,NA,NA,NA,NA,NA
"71",2020-05-17,"DF",4368,71,NA,NA,NA,NA,NA
"72",2020-05-18,"DF",4618,72,NA,NA,NA,NA,NA
"73",2020-05-19,"DF",4853,73,NA,NA,NA,NA,NA
"74",2020-05-20,"DF",5271,74,NA,NA,NA,NA,NA
"75",2020-05-21,"DF",5542,75,NA,NA,NA,NA,NA
"76",2020-05-22,"DF",5948,76,NA,NA,NA,NA,NA
"77",2020-05-23,"DF",6248,77,NA,NA,NA,NA,NA
"78",2020-05-24,"DF",6638,78,NA,NA,NA,NA,NA
"79",2020-05-25,"DF",6930,79,NA,NA,NA,NA,NA
"80",2020-05-26,"DF",7210,80,NA,NA,NA,NA,NA
"81",2020-05-27,"DF",7761,81,NA,NA,NA,NA,NA
"82",2020-05-28,"DF",8300,82,NA,NA,NA,NA,NA
"83",2020-05-29,"DF",8722,83,NA,NA,NA,NA,NA
"84",2020-05-30,"DF",9474,84,NA,NA,NA,NA,NA
"85",2020-05-31,"DF",9780,85,NA,NA,NA,NA,NA
"86",2020-06-01,"DF",10510,86,NA,NA,NA,NA,NA
"87",2020-06-02,"DF",11256,87,NA,NA,NA,NA,NA
"88",2020-06-03,"DF",12020,88,NA,NA,NA,NA,NA
"89",2020-06-04,"DF",12923,89,NA,NA,NA,NA,NA
"90",2020-06-05,"DF",14208,90,NA,NA,NA,NA,NA
"91",2020-06-06,"DF",15850,91,NA,NA,NA,NA,NA
"92",2020-06-07,"DF",16623,92,NA,NA,NA,NA,NA
"93",2020-06-08,"DF",16948,93,NA,NA,NA,NA,NA
"94",2020-06-09,"DF",18090,94,NA,NA,NA,NA,NA
"95",2020-06-10,"DF",19433,95,NA,NA,NA,NA,NA
"96",2020-06-11,"DF",20507,96,NA,NA,NA,NA,NA
"97",2020-06-12,"DF",21396,97,NA,NA,NA,NA,NA
"98",2020-06-13,"DF",21959,98,NA,NA,NA,NA,NA
"99",2020-06-14,"DF",22871,99,NA,NA,NA,NA,NA
"100",2020-06-15,"DF",23684,100,NA,NA,NA,NA,NA
"101",2020-06-16,"DF",25380,101,NA,NA,NA,NA,NA
"102",2020-06-17,"DF",27140,102,NA,NA,NA,NA,NA
"103",2020-06-18,"DF",28521,103,NA,NA,NA,NA,NA
"104",2020-06-19,"DF",30902,104,NA,NA,NA,NA,NA
"105",2020-06-20,"DF",32238,105,NA,NA,NA,NA,NA
"106",2020-06-21,"DF",33227,106,NA,NA,NA,NA,NA
"107",2020-06-22,"DF",34148,107,NA,NA,NA,NA,NA
"108",2020-06-23,"DF",35368,108,NA,NA,NA,NA,NA
"109",2020-06-24,"DF",37254,109,NA,NA,NA,NA,NA
"110",2020-06-25,"DF",38871,110,NA,NA,NA,NA,NA
"111",2020-06-26,"DF",41326,111,NA,NA,NA,NA,NA
"112",2020-06-27,"DF",42766,112,NA,NA,NA,NA,NA
"113",2020-06-28,"DF",44905,113,NA,NA,NA,NA,NA
"114",2020-06-29,"DF",47071,114,NA,NA,NA,NA,NA
"115",2020-06-30,"DF",49218,115,NA,NA,NA,NA,NA
"116",2020-07-01,"DF",50676,116,NA,NA,NA,NA,NA
"117",2020-07-02,"DF",52281,117,NA,NA,NA,NA,NA
"118",2020-07-03,"DF",53996,118,NA,NA,NA,NA,NA
"119",2020-07-04,"DF",55760,119,NA,NA,NA,NA,NA
"120",2020-07-05,"DF",57854,120,NA,NA,NA,NA,NA
"121",2020-07-06,"DF",60383,121,NA,NA,NA,NA,NA
"122",2020-07-07,"DF",62694,122,NA,NA,NA,NA,NA
"123",2020-07-08,"DF",64314,123,NA,NA,NA,NA,NA
"124",2020-07-09,"DF",65677,124,NA,NA,NA,NA,NA
"125",2020-07-10,"DF",67297,125,NA,NA,NA,NA,NA
"126",2020-07-11,"DF",68406,126,NA,NA,NA,NA,NA
"127",2020-07-12,"DF",70712,127,NA,NA,NA,NA,NA
"128",2020-07-13,"DF",72284,128,NA,NA,NA,NA,NA
"129",2020-07-14,"DF",73654,129,NA,NA,NA,NA,NA
"130",2020-07-15,"DF",75379,130,NA,NA,NA,NA,NA
"131",2020-07-16,"DF",77621,131,NA,NA,NA,NA,NA
"132",2020-07-17,"DF",79400,132,NA,NA,NA,NA,NA
"133",2020-07-18,"DF",81163,133,NA,NA,NA,NA,NA
"134",2020-07-19,"DF",82412,134,NA,NA,NA,NA,NA
"135",2020-07-20,"DF",84287,135,NA,NA,NA,NA,NA
"136",2020-07-21,"DF",86076,136,NA,NA,NA,NA,NA
"137",2020-07-22,"DF",87801,137,NA,NA,NA,NA,NA
"138",2020-07-23,"DF",88000,138,NA,NA,NA,NA,NA
"139",2020-07-24,NA,NA,139,89055.4832994656,88658.1500883779,89452.8165105533,88447.8145918373,89663.152007094
"140",2020-07-25,NA,NA,140,90295.3558703043,89598.720414201,90991.9913264077,89229.9438798505,91360.7678607582
"141",2020-07-26,NA,NA,141,91574.924957606,90587.9180615765,92561.9318536356,90065.4281720526,93084.4217431595
"142",2020-07-27,NA,NA,142,92863.0401680502,91582.4776679904,94143.6026681099,90904.5888286355,94821.4915074648
"143",2020-07-28,NA,NA,143,94152.9952432298,92570.1603035131,95735.8301829466,91732.2581002823,96573.7323861774
"144",2020-07-29,NA,NA,144,95443.3464164049,93547.0437004639,97339.6491323459,92543.2016801684,98343.4911526415
"145",2020-07-30,NA,NA,145,96733.7828641216,94511.7617995775,98955.8039286657,93335.494900933,100132.07082731
"146",2020-07-31,NA,NA,146,98024.2376702939,95463.8691310717,100584.606209516,94108.491898572,101939.983442016
"147",2020-08-01,NA,NA,147,99314.6964287934,96403.3041299077,102226.088727679,94862.1061436273,103767.286713959
"148",2020-08-02,NA,NA,148,100605.156038175,97330.1823660923,103880.129710259,95596.5160269776,105613.796049373
"149",2020-08-03,NA,NA,149,101895.615830741,98244.7047092587,105546.526952223,96312.0291056753,107479.202555807
"150",2020-08-04,NA,NA,150,103186.075662744,99147.1121057877,107225.039219699,97009.013951505,109363.137373982
"151",2020-08-05,NA,NA,151,104476.535503236,100037.661822422,108915.40918405,97687.8640363796,111265.206970093
"152",2020-08-06,NA,NA,152,105766.995345557,100916.614528566,110617.376162548,98348.978023276,113185.012667838
