"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-05,"ES",1,1,NA,NA,NA,NA,NA
"2",2020-03-06,"ES",1,2,NA,NA,NA,NA,NA
"3",2020-03-07,"ES",1,3,NA,NA,NA,NA,NA
"4",2020-03-08,"ES",1,4,NA,NA,NA,NA,NA
"5",2020-03-09,"ES",1,5,NA,NA,NA,NA,NA
"6",2020-03-10,"ES",1,6,NA,NA,NA,NA,NA
"7",2020-03-11,"ES",1,7,NA,NA,NA,NA,NA
"8",2020-03-12,"ES",2,8,NA,NA,NA,NA,NA
"9",2020-03-13,"ES",2,9,NA,NA,NA,NA,NA
"10",2020-03-14,"ES",4,10,NA,NA,NA,NA,NA
"11",2020-03-15,"ES",4,11,NA,NA,NA,NA,NA
"12",2020-03-16,"ES",8,12,NA,NA,NA,NA,NA
"13",2020-03-17,"ES",8,13,NA,NA,NA,NA,NA
"14",2020-03-18,"ES",11,14,NA,NA,NA,NA,NA
"15",2020-03-19,"ES",13,15,NA,NA,NA,NA,NA
"16",2020-03-20,"ES",16,16,NA,NA,NA,NA,NA
"17",2020-03-21,"ES",26,17,NA,NA,NA,NA,NA
"18",2020-03-22,"ES",26,18,NA,NA,NA,NA,NA
"19",2020-03-23,"ES",33,19,NA,NA,NA,NA,NA
"20",2020-03-24,"ES",40,20,NA,NA,NA,NA,NA
"21",2020-03-25,"ES",40,21,NA,NA,NA,NA,NA
"22",2020-03-26,"ES",48,22,NA,NA,NA,NA,NA
"23",2020-03-27,"ES",54,23,NA,NA,NA,NA,NA
"24",2020-03-28,"ES",61,24,NA,NA,NA,NA,NA
"25",2020-03-29,"ES",72,25,NA,NA,NA,NA,NA
"26",2020-03-30,"ES",85,26,NA,NA,NA,NA,NA
"27",2020-03-31,"ES",97,27,NA,NA,NA,NA,NA
"28",2020-04-01,"ES",120,28,NA,NA,NA,NA,NA
"29",2020-04-02,"ES",139,29,NA,NA,NA,NA,NA
"30",2020-04-03,"ES",153,30,NA,NA,NA,NA,NA
"31",2020-04-04,"ES",166,31,NA,NA,NA,NA,NA
"32",2020-04-05,"ES",194,32,NA,NA,NA,NA,NA
"33",2020-04-06,"ES",209,33,NA,NA,NA,NA,NA
"34",2020-04-07,"ES",227,34,NA,NA,NA,NA,NA
"35",2020-04-08,"ES",273,35,NA,NA,NA,NA,NA
"36",2020-04-09,"ES",300,36,NA,NA,NA,NA,NA
"37",2020-04-10,"ES",349,37,NA,NA,NA,NA,NA
"38",2020-04-11,"ES",383,38,NA,NA,NA,NA,NA
"39",2020-04-12,"ES",430,39,NA,NA,NA,NA,NA
"40",2020-04-13,"ES",463,40,NA,NA,NA,NA,NA
"41",2020-04-14,"ES",557,41,NA,NA,NA,NA,NA
"42",2020-04-15,"ES",734,42,NA,NA,NA,NA,NA
"43",2020-04-16,"ES",935,43,NA,NA,NA,NA,NA
"44",2020-04-17,"ES",952,44,NA,NA,NA,NA,NA
"45",2020-04-18,"ES",1099,45,NA,NA,NA,NA,NA
"46",2020-04-19,"ES",1195,46,NA,NA,NA,NA,NA
"47",2020-04-20,"ES",1212,47,NA,NA,NA,NA,NA
"48",2020-04-21,"ES",1313,48,NA,NA,NA,NA,NA
"49",2020-04-22,"ES",1351,49,NA,NA,NA,NA,NA
"50",2020-04-23,"ES",1453,50,NA,NA,NA,NA,NA
"51",2020-04-24,"ES",1665,51,NA,NA,NA,NA,NA
"52",2020-04-25,"ES",1711,52,NA,NA,NA,NA,NA
"53",2020-04-26,"ES",1819,53,NA,NA,NA,NA,NA
"54",2020-04-27,"ES",1944,54,NA,NA,NA,NA,NA
"55",2020-04-28,"ES",2164,55,NA,NA,NA,NA,NA
"56",2020-04-29,"ES",2538,56,NA,NA,NA,NA,NA
"57",2020-04-30,"ES",2688,57,NA,NA,NA,NA,NA
"58",2020-05-01,"ES",2913,58,NA,NA,NA,NA,NA
"59",2020-05-02,"ES",3104,59,NA,NA,NA,NA,NA
"60",2020-05-03,"ES",3208,60,NA,NA,NA,NA,NA
"61",2020-05-04,"ES",3351,61,NA,NA,NA,NA,NA
"62",2020-05-05,"ES",3540,62,NA,NA,NA,NA,NA
"63",2020-05-06,"ES",3714,63,NA,NA,NA,NA,NA
"64",2020-05-07,"ES",3988,64,NA,NA,NA,NA,NA
"65",2020-05-08,"ES",4242,65,NA,NA,NA,NA,NA
"66",2020-05-09,"ES",4412,66,NA,NA,NA,NA,NA
"67",2020-05-10,"ES",4599,67,NA,NA,NA,NA,NA
"68",2020-05-11,"ES",4819,68,NA,NA,NA,NA,NA
"69",2020-05-12,"ES",5087,69,NA,NA,NA,NA,NA
"70",2020-05-13,"ES",5401,70,NA,NA,NA,NA,NA
"71",2020-05-14,"ES",5813,71,NA,NA,NA,NA,NA
"72",2020-05-15,"ES",6198,72,NA,NA,NA,NA,NA
"73",2020-05-16,"ES",6595,73,NA,NA,NA,NA,NA
"74",2020-05-17,"ES",6744,74,NA,NA,NA,NA,NA
"75",2020-05-18,"ES",7157,75,NA,NA,NA,NA,NA
"76",2020-05-19,"ES",7693,76,NA,NA,NA,NA,NA
"77",2020-05-20,"ES",8495,77,NA,NA,NA,NA,NA
"78",2020-05-21,"ES",8878,78,NA,NA,NA,NA,NA
"79",2020-05-22,"ES",9520,79,NA,NA,NA,NA,NA
"80",2020-05-23,"ES",9918,80,NA,NA,NA,NA,NA
"81",2020-05-24,"ES",10007,81,NA,NA,NA,NA,NA
"82",2020-05-25,"ES",10365,82,NA,NA,NA,NA,NA
"83",2020-05-26,"ES",10889,83,NA,NA,NA,NA,NA
"84",2020-05-27,"ES",11484,84,NA,NA,NA,NA,NA
"85",2020-05-28,"ES",12203,85,NA,NA,NA,NA,NA
"86",2020-05-29,"ES",12903,86,NA,NA,NA,NA,NA
"87",2020-05-30,"ES",13437,87,NA,NA,NA,NA,NA
"88",2020-05-31,"ES",13690,88,NA,NA,NA,NA,NA
"89",2020-06-01,"ES",14285,89,NA,NA,NA,NA,NA
"90",2020-06-02,"ES",15151,90,NA,NA,NA,NA,NA
"91",2020-06-03,"ES",16121,91,NA,NA,NA,NA,NA
"92",2020-06-04,"ES",16894,92,NA,NA,NA,NA,NA
"93",2020-06-05,"ES",18109,93,NA,NA,NA,NA,NA
"94",2020-06-06,"ES",18950,94,NA,NA,NA,NA,NA
"95",2020-06-07,"ES",19619,95,NA,NA,NA,NA,NA
"96",2020-06-08,"ES",20659,96,NA,NA,NA,NA,NA
"97",2020-06-09,"ES",21964,97,NA,NA,NA,NA,NA
"98",2020-06-10,"ES",23391,98,NA,NA,NA,NA,NA
"99",2020-06-11,"ES",24428,99,NA,NA,NA,NA,NA
"100",2020-06-12,"ES",25502,100,NA,NA,NA,NA,NA
"101",2020-06-13,"ES",26011,101,NA,NA,NA,NA,NA
"102",2020-06-14,"ES",26469,102,NA,NA,NA,NA,NA
"103",2020-06-15,"ES",27652,103,NA,NA,NA,NA,NA
"104",2020-06-16,"ES",29030,104,NA,NA,NA,NA,NA
"105",2020-06-17,"ES",30507,105,NA,NA,NA,NA,NA
"106",2020-06-18,"ES",31772,106,NA,NA,NA,NA,NA
"107",2020-06-19,"ES",33232,107,NA,NA,NA,NA,NA
"108",2020-06-20,"ES",34238,108,NA,NA,NA,NA,NA
"109",2020-06-21,"ES",34866,109,NA,NA,NA,NA,NA
"110",2020-06-22,"ES",36147,110,NA,NA,NA,NA,NA
"111",2020-06-23,"ES",36827,111,NA,NA,NA,NA,NA
"112",2020-06-24,"ES",38483,112,NA,NA,NA,NA,NA
"113",2020-06-25,"ES",40406,113,NA,NA,NA,NA,NA
"114",2020-06-26,"ES",41652,114,NA,NA,NA,NA,NA
"115",2020-06-28,"ES",43683,115,NA,NA,NA,NA,NA
"116",2020-06-29,"ES",45097,116,NA,NA,NA,NA,NA
"117",2020-06-30,"ES",46893,117,NA,NA,NA,NA,NA
"118",2020-07-01,"ES",48821,118,NA,NA,NA,NA,NA
"119",2020-07-02,"ES",50242,119,NA,NA,NA,NA,NA
"120",2020-07-03,"ES",51689,120,NA,NA,NA,NA,NA
"121",2020-07-04,"ES",52824,121,NA,NA,NA,NA,NA
"122",2020-07-05,"ES",53393,122,NA,NA,NA,NA,NA
"123",2020-07-06,"ES",54547,123,NA,NA,NA,NA,NA
"124",2020-07-07,"ES",56703,124,NA,NA,NA,NA,NA
"125",2020-07-08,"ES",58841,125,NA,NA,NA,NA,NA
"126",2020-07-09,"ES",60009,126,NA,NA,NA,NA,NA
"127",2020-07-10,"ES",61361,127,NA,NA,NA,NA,NA
"128",2020-07-11,"ES",62393,128,NA,NA,NA,NA,NA
"129",2020-07-12,"ES",62873,129,NA,NA,NA,NA,NA
"130",2020-07-13,"ES",63881,130,NA,NA,NA,NA,NA
"131",2020-07-14,"ES",65213,131,NA,NA,NA,NA,NA
"132",2020-07-15,"ES",66352,132,NA,NA,NA,NA,NA
"133",2020-07-16,"ES",68118,133,NA,NA,NA,NA,NA
"134",2020-07-17,"ES",69463,134,NA,NA,NA,NA,NA
"135",2020-07-18,"ES",70131,135,NA,NA,NA,NA,NA
"136",2020-07-19,"ES",70609,136,NA,NA,NA,NA,NA
"137",2020-07-20,"ES",71703,137,NA,NA,NA,NA,NA
"138",2020-07-21,"ES",72605,138,NA,NA,NA,NA,NA
"139",2020-07-22,"ES",73755,139,NA,NA,NA,NA,NA
"140",2020-07-23,"ES",74610,140,NA,NA,NA,NA,NA
"141",2020-07-24,NA,NA,141,75515.6388607217,75177.3538748992,75853.9238465442,74998.276620646,76033.0011007975
"142",2020-07-25,NA,NA,142,76517.9110145582,75884.683262183,77151.1387669335,75549.4727386162,77486.3492905002
"143",2020-07-26,NA,NA,143,77520.1831683947,76633.8441805479,78406.5221562415,76164.6446625874,78875.7216742021
"144",2020-07-27,NA,NA,144,78522.4553222312,77389.8897019675,79655.020942495,76790.3456783232,80254.5649661392
"145",2020-07-28,NA,NA,145,79524.7274760677,78143.8902146824,80905.564737453,77412.9191231389,81636.5358289965
"146",2020-07-29,NA,NA,146,80526.9996299042,78892.3661285864,82161.633131222,78027.0434231916,83026.9558366169
"147",2020-07-30,NA,NA,147,81529.2717837407,79633.7348636628,83424.8087038186,78630.2982312096,84428.2453362718
"148",2020-07-31,NA,NA,148,82531.5439375772,80367.23757173,84695.8503034245,79221.5229890493,85841.5648861051
"149",2020-08-01,NA,NA,149,83533.8160914137,81092.5209267912,85975.1112560363,79800.1773312296,87267.4548515979
"150",2020-08-02,NA,NA,150,84536.0882452502,81809.4474127166,87262.7290777838,80366.0509449788,88706.1255455216
"151",2020-08-03,NA,NA,151,85538.3603990867,82518.0000895689,88558.7207086046,80919.1179228985,90157.602875275
"152",2020-08-04,NA,NA,152,86540.6325529232,83218.2312380011,89863.0338678453,81459.4582213476,91621.8068844989
"153",2020-08-05,NA,NA,153,87542.9047067597,83910.2331786046,91175.5762349149,81987.2130324863,93098.5963810331
"154",2020-08-06,NA,NA,154,88545.1768605962,84594.1210385275,92496.232682665,82502.5584280939,94587.7952930985
