"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-12,"GO",3,1,NA,NA,NA,NA,NA
"2",2020-03-13,"GO",3,2,NA,NA,NA,NA,NA
"3",2020-03-14,"GO",4,3,NA,NA,NA,NA,NA
"4",2020-03-15,"GO",4,4,NA,NA,NA,NA,NA
"5",2020-03-16,"GO",9,5,NA,NA,NA,NA,NA
"6",2020-03-17,"GO",10,6,NA,NA,NA,NA,NA
"7",2020-03-18,"GO",12,7,NA,NA,NA,NA,NA
"8",2020-03-19,"GO",15,8,NA,NA,NA,NA,NA
"9",2020-03-20,"GO",18,9,NA,NA,NA,NA,NA
"10",2020-03-21,"GO",19,10,NA,NA,NA,NA,NA
"11",2020-03-22,"GO",21,11,NA,NA,NA,NA,NA
"12",2020-03-23,"GO",23,12,NA,NA,NA,NA,NA
"13",2020-03-24,"GO",29,13,NA,NA,NA,NA,NA
"14",2020-03-25,"GO",35,14,NA,NA,NA,NA,NA
"15",2020-03-26,"GO",38,15,NA,NA,NA,NA,NA
"16",2020-03-27,"GO",49,16,NA,NA,NA,NA,NA
"17",2020-03-28,"GO",56,17,NA,NA,NA,NA,NA
"18",2020-03-29,"GO",56,18,NA,NA,NA,NA,NA
"19",2020-03-30,"GO",60,19,NA,NA,NA,NA,NA
"20",2020-03-31,"GO",65,20,NA,NA,NA,NA,NA
"21",2020-04-01,"GO",73,21,NA,NA,NA,NA,NA
"22",2020-04-02,"GO",73,22,NA,NA,NA,NA,NA
"23",2020-04-03,"GO",88,23,NA,NA,NA,NA,NA
"24",2020-04-04,"GO",103,24,NA,NA,NA,NA,NA
"25",2020-04-05,"GO",115,25,NA,NA,NA,NA,NA
"26",2020-04-06,"GO",119,26,NA,NA,NA,NA,NA
"27",2020-04-07,"GO",133,27,NA,NA,NA,NA,NA
"28",2020-04-08,"GO",159,28,NA,NA,NA,NA,NA
"29",2020-04-09,"GO",179,29,NA,NA,NA,NA,NA
"30",2020-04-10,"GO",191,30,NA,NA,NA,NA,NA
"31",2020-04-11,"GO",209,31,NA,NA,NA,NA,NA
"32",2020-04-12,"GO",229,32,NA,NA,NA,NA,NA
"33",2020-04-13,"GO",233,33,NA,NA,NA,NA,NA
"34",2020-04-14,"GO",284,34,NA,NA,NA,NA,NA
"35",2020-04-15,"GO",304,35,NA,NA,NA,NA,NA
"36",2020-04-16,"GO",318,36,NA,NA,NA,NA,NA
"37",2020-04-17,"GO",335,37,NA,NA,NA,NA,NA
"38",2020-04-18,"GO",378,38,NA,NA,NA,NA,NA
"39",2020-04-19,"GO",393,39,NA,NA,NA,NA,NA
"40",2020-04-20,"GO",403,40,NA,NA,NA,NA,NA
"41",2020-04-21,"GO",421,41,NA,NA,NA,NA,NA
"42",2020-04-22,"GO",438,42,NA,NA,NA,NA,NA
"43",2020-04-23,"GO",453,43,NA,NA,NA,NA,NA
"44",2020-04-24,"GO",486,44,NA,NA,NA,NA,NA
"45",2020-04-25,"GO",506,45,NA,NA,NA,NA,NA
"46",2020-04-26,"GO",573,46,NA,NA,NA,NA,NA
"47",2020-04-27,"GO",616,47,NA,NA,NA,NA,NA
"48",2020-04-28,"GO",661,48,NA,NA,NA,NA,NA
"49",2020-04-29,"GO",705,49,NA,NA,NA,NA,NA
"50",2020-04-30,"GO",781,50,NA,NA,NA,NA,NA
"51",2020-05-01,"GO",808,51,NA,NA,NA,NA,NA
"52",2020-05-02,"GO",825,52,NA,NA,NA,NA,NA
"53",2020-05-03,"GO",850,53,NA,NA,NA,NA,NA
"54",2020-05-04,"GO",861,54,NA,NA,NA,NA,NA
"55",2020-05-05,"GO",922,55,NA,NA,NA,NA,NA
"56",2020-05-06,"GO",1024,56,NA,NA,NA,NA,NA
"57",2020-05-07,"GO",1027,57,NA,NA,NA,NA,NA
"58",2020-05-08,"GO",1053,58,NA,NA,NA,NA,NA
"59",2020-05-09,"GO",1069,59,NA,NA,NA,NA,NA
"60",2020-05-10,"GO",1093,60,NA,NA,NA,NA,NA
"61",2020-05-11,"GO",1100,61,NA,NA,NA,NA,NA
"62",2020-05-12,"GO",1115,62,NA,NA,NA,NA,NA
"63",2020-05-13,"GO",1225,63,NA,NA,NA,NA,NA
"64",2020-05-14,"GO",1460,64,NA,NA,NA,NA,NA
"65",2020-05-15,"GO",1605,65,NA,NA,NA,NA,NA
"66",2020-05-16,"GO",1652,66,NA,NA,NA,NA,NA
"67",2020-05-17,"GO",1692,67,NA,NA,NA,NA,NA
"68",2020-05-18,"GO",1781,68,NA,NA,NA,NA,NA
"69",2020-05-19,"GO",1880,69,NA,NA,NA,NA,NA
"70",2020-05-20,"GO",2049,70,NA,NA,NA,NA,NA
"71",2020-05-21,"GO",2155,71,NA,NA,NA,NA,NA
"72",2020-05-22,"GO",2344,72,NA,NA,NA,NA,NA
"73",2020-05-23,"GO",2435,73,NA,NA,NA,NA,NA
"74",2020-05-24,"GO",2488,74,NA,NA,NA,NA,NA
"75",2020-05-25,"GO",2515,75,NA,NA,NA,NA,NA
"76",2020-05-26,"GO",2706,76,NA,NA,NA,NA,NA
"77",2020-05-27,"GO",2906,77,NA,NA,NA,NA,NA
"78",2020-05-28,"GO",3101,78,NA,NA,NA,NA,NA
"79",2020-05-29,"GO",3521,79,NA,NA,NA,NA,NA
"80",2020-05-30,"GO",3609,80,NA,NA,NA,NA,NA
"81",2020-05-31,"GO",3726,81,NA,NA,NA,NA,NA
"82",2020-06-01,"GO",4017,82,NA,NA,NA,NA,NA
"83",2020-06-02,"GO",4486,83,NA,NA,NA,NA,NA
"84",2020-06-03,"GO",4701,84,NA,NA,NA,NA,NA
"85",2020-06-04,"GO",5102,85,NA,NA,NA,NA,NA
"86",2020-06-05,"GO",5605,86,NA,NA,NA,NA,NA
"87",2020-06-06,"GO",5770,87,NA,NA,NA,NA,NA
"88",2020-06-07,"GO",5857,88,NA,NA,NA,NA,NA
"89",2020-06-08,"GO",6302,89,NA,NA,NA,NA,NA
"90",2020-06-09,"GO",6936,90,NA,NA,NA,NA,NA
"91",2020-06-10,"GO",7380,91,NA,NA,NA,NA,NA
"92",2020-06-11,"GO",7774,92,NA,NA,NA,NA,NA
"93",2020-06-12,"GO",7926,93,NA,NA,NA,NA,NA
"94",2020-06-13,"GO",7941,94,NA,NA,NA,NA,NA
"95",2020-06-14,"GO",7960,95,NA,NA,NA,NA,NA
"96",2020-06-15,"GO",10441,96,NA,NA,NA,NA,NA
"97",2020-06-16,"GO",11836,97,NA,NA,NA,NA,NA
"98",2020-06-17,"GO",12776,98,NA,NA,NA,NA,NA
"99",2020-06-18,"GO",13665,99,NA,NA,NA,NA,NA
"100",2020-06-19,"GO",14540,100,NA,NA,NA,NA,NA
"101",2020-06-20,"GO",15450,101,NA,NA,NA,NA,NA
"102",2020-06-21,"GO",15904,102,NA,NA,NA,NA,NA
"103",2020-06-22,"GO",17085,103,NA,NA,NA,NA,NA
"104",2020-06-23,"GO",18014,104,NA,NA,NA,NA,NA
"105",2020-06-24,"GO",19280,105,NA,NA,NA,NA,NA
"106",2020-06-25,"GO",20377,106,NA,NA,NA,NA,NA
"107",2020-06-26,"GO",21441,107,NA,NA,NA,NA,NA
"108",2020-06-27,"GO",21865,108,NA,NA,NA,NA,NA
"109",2020-06-28,"GO",22165,109,NA,NA,NA,NA,NA
"110",2020-06-29,"GO",23379,110,NA,NA,NA,NA,NA
"111",2020-06-30,"GO",24910,111,NA,NA,NA,NA,NA
"112",2020-07-01,"GO",26145,112,NA,NA,NA,NA,NA
"113",2020-07-02,"GO",26318,113,NA,NA,NA,NA,NA
"114",2020-07-03,"GO",27502,114,NA,NA,NA,NA,NA
"115",2020-07-04,"GO",28526,115,NA,NA,NA,NA,NA
"116",2020-07-05,"GO",28526,116,NA,NA,NA,NA,NA
"117",2020-07-06,"GO",30187,117,NA,NA,NA,NA,NA
"118",2020-07-07,"GO",32001,118,NA,NA,NA,NA,NA
"119",2020-07-08,"GO",33367,119,NA,NA,NA,NA,NA
"120",2020-07-09,"GO",34627,120,NA,NA,NA,NA,NA
"121",2020-07-10,"GO",35706,121,NA,NA,NA,NA,NA
"122",2020-07-11,"GO",36273,122,NA,NA,NA,NA,NA
"123",2020-07-12,"GO",36556,123,NA,NA,NA,NA,NA
"124",2020-07-13,"GO",37333,124,NA,NA,NA,NA,NA
"125",2020-07-14,"GO",38299,125,NA,NA,NA,NA,NA
"126",2020-07-15,"GO",39474,126,NA,NA,NA,NA,NA
"127",2020-07-16,"GO",40544,127,NA,NA,NA,NA,NA
"128",2020-07-17,"GO",40718,128,NA,NA,NA,NA,NA
"129",2020-07-18,"GO",40768,129,NA,NA,NA,NA,NA
"130",2020-07-19,"GO",40782,130,NA,NA,NA,NA,NA
"131",2020-07-20,"GO",41433,131,NA,NA,NA,NA,NA
"132",2020-07-21,"GO",45254,132,NA,NA,NA,NA,NA
"133",2020-07-22,"GO",48682,133,NA,NA,NA,NA,NA
"134",2020-07-23,"GO",51423,134,NA,NA,NA,NA,NA
"135",2020-07-24,NA,NA,135,53804.1959427154,53258.5496466777,54349.8422387531,52969.7019455292,54638.6899399016
"136",2020-07-25,NA,NA,136,55523.0387890584,54423.2115268506,56622.8660512662,53840.9981430961,57205.0794350207
"137",2020-07-26,NA,NA,137,57308.5631439633,55735.1228822183,58882.0034057082,54902.1939210948,59714.9323668317
"138",2020-07-27,NA,NA,138,58856.5407650728,56804.4118404509,60908.6696896948,55718.0804080894,61995.0011220563
"139",2020-07-28,NA,NA,139,60493.1063655454,57995.0423995598,62991.170331531,56672.6472158362,64313.5655152546
"140",2020-07-29,NA,NA,140,62026.3583699684,59079.8195384202,64972.8972015166,57520.0161016188,66532.7006383179
"141",2020-07-30,NA,NA,141,63617.8285551779,60233.9287937645,67001.7283165914,58442.6004660565,68793.0566442994
"142",2020-07-31,NA,NA,142,65158.8492083329,61332.6193856644,68985.0790310014,59307.1356677884,71010.5627488774
"143",2020-08-01,NA,NA,143,66733.2417438569,62465.7530444846,71000.7304432293,60206.6809872891,73259.8025004248
"144",2020-08-02,NA,NA,144,68281.6141180729,63566.3212413722,72996.9069947737,61070.1959720037,75493.0322641421
"145",2020-08-03,NA,NA,145,69848.3038555599,64681.5536374949,75015.0540736249,61946.4412877291,77750.1664233907
"146",2020-08-04,NA,NA,146,71401.2636063866,65775.6959066549,77026.8313061184,62797.7002535686,80004.8269592046
"147",2020-08-05,NA,NA,147,72964.122815177,66873.8116180432,79054.4340123109,63649.7956184007,82278.4500119533
"148",2020-08-06,NA,NA,148,74519.6716034915,67956.8582981696,81082.4849088133,64482.7147915156,84556.6284154673
