"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-20,"MA",1,1,NA,NA,NA,NA,NA
"2",2020-03-21,"MA",2,2,NA,NA,NA,NA,NA
"3",2020-03-22,"MA",2,3,NA,NA,NA,NA,NA
"4",2020-03-23,"MA",8,4,NA,NA,NA,NA,NA
"5",2020-03-24,"MA",8,5,NA,NA,NA,NA,NA
"6",2020-03-25,"MA",8,6,NA,NA,NA,NA,NA
"7",2020-03-26,"MA",10,7,NA,NA,NA,NA,NA
"8",2020-03-27,"MA",13,8,NA,NA,NA,NA,NA
"9",2020-03-28,"MA",15,9,NA,NA,NA,NA,NA
"10",2020-03-29,"MA",21,10,NA,NA,NA,NA,NA
"11",2020-03-30,"MA",30,11,NA,NA,NA,NA,NA
"12",2020-03-31,"MA",51,12,NA,NA,NA,NA,NA
"13",2020-04-01,"MA",70,13,NA,NA,NA,NA,NA
"14",2020-04-02,"MA",80,14,NA,NA,NA,NA,NA
"15",2020-04-03,"MA",87,15,NA,NA,NA,NA,NA
"16",2020-04-04,"MA",95,16,NA,NA,NA,NA,NA
"17",2020-04-05,"MA",132,17,NA,NA,NA,NA,NA
"18",2020-04-06,"MA",171,18,NA,NA,NA,NA,NA
"19",2020-04-07,"MA",229,19,NA,NA,NA,NA,NA
"20",2020-04-08,"MA",272,20,NA,NA,NA,NA,NA
"21",2020-04-09,"MA",293,21,NA,NA,NA,NA,NA
"22",2020-04-10,"MA",344,22,NA,NA,NA,NA,NA
"23",2020-04-11,"MA",398,23,NA,NA,NA,NA,NA
"24",2020-04-12,"MA",445,24,NA,NA,NA,NA,NA
"25",2020-04-13,"MA",478,25,NA,NA,NA,NA,NA
"26",2020-04-14,"MA",630,26,NA,NA,NA,NA,NA
"27",2020-04-15,"MA",695,27,NA,NA,NA,NA,NA
"28",2020-04-16,"MA",797,28,NA,NA,NA,NA,NA
"29",2020-04-17,"MA",1040,29,NA,NA,NA,NA,NA
"30",2020-04-18,"MA",1205,30,NA,NA,NA,NA,NA
"31",2020-04-19,"MA",1320,31,NA,NA,NA,NA,NA
"32",2020-04-20,"MA",1396,32,NA,NA,NA,NA,NA
"33",2020-04-21,"MA",1604,33,NA,NA,NA,NA,NA
"34",2020-04-22,"MA",1757,34,NA,NA,NA,NA,NA
"35",2020-04-23,"MA",1951,35,NA,NA,NA,NA,NA
"36",2020-04-24,"MA",2105,36,NA,NA,NA,NA,NA
"37",2020-04-25,"MA",2223,37,NA,NA,NA,NA,NA
"38",2020-04-26,"MA",2410,38,NA,NA,NA,NA,NA
"39",2020-04-27,"MA",2528,39,NA,NA,NA,NA,NA
"40",2020-04-28,"MA",2804,40,NA,NA,NA,NA,NA
"41",2020-04-29,"MA",3190,41,NA,NA,NA,NA,NA
"42",2020-04-30,"MA",3506,42,NA,NA,NA,NA,NA
"43",2020-05-01,"MA",3805,43,NA,NA,NA,NA,NA
"44",2020-05-02,"MA",4040,44,NA,NA,NA,NA,NA
"45",2020-05-03,"MA",4227,45,NA,NA,NA,NA,NA
"46",2020-05-04,"MA",4530,46,NA,NA,NA,NA,NA
"47",2020-05-05,"MA",5028,47,NA,NA,NA,NA,NA
"48",2020-05-06,"MA",5389,48,NA,NA,NA,NA,NA
"49",2020-05-07,"MA",5909,49,NA,NA,NA,NA,NA
"50",2020-05-08,"MA",6765,50,NA,NA,NA,NA,NA
"51",2020-05-09,"MA",7599,51,NA,NA,NA,NA,NA
"52",2020-05-10,"MA",8144,52,NA,NA,NA,NA,NA
"53",2020-05-11,"MA",8526,53,NA,NA,NA,NA,NA
"54",2020-05-12,"MA",9112,54,NA,NA,NA,NA,NA
"55",2020-05-13,"MA",9801,55,NA,NA,NA,NA,NA
"56",2020-05-14,"MA",10739,56,NA,NA,NA,NA,NA
"57",2020-05-15,"MA",11592,57,NA,NA,NA,NA,NA
"58",2020-05-16,"MA",12492,58,NA,NA,NA,NA,NA
"59",2020-05-17,"MA",13238,59,NA,NA,NA,NA,NA
"60",2020-05-18,"MA",14198,60,NA,NA,NA,NA,NA
"61",2020-05-19,"MA",15114,61,NA,NA,NA,NA,NA
"62",2020-05-20,"MA",16058,62,NA,NA,NA,NA,NA
"63",2020-05-21,"MA",17212,63,NA,NA,NA,NA,NA
"64",2020-05-22,"MA",18767,64,NA,NA,NA,NA,NA
"65",2020-05-23,"MA",21191,65,NA,NA,NA,NA,NA
"66",2020-05-24,"MA",22786,66,NA,NA,NA,NA,NA
"67",2020-05-25,"MA",24278,67,NA,NA,NA,NA,NA
"68",2020-05-26,"MA",26145,68,NA,NA,NA,NA,NA
"69",2020-05-27,"MA",27979,69,NA,NA,NA,NA,NA
"70",2020-05-28,"MA",30482,70,NA,NA,NA,NA,NA
"71",2020-05-29,"MA",32620,71,NA,NA,NA,NA,NA
"72",2020-05-30,"MA",34639,72,NA,NA,NA,NA,NA
"73",2020-05-31,"MA",35297,73,NA,NA,NA,NA,NA
"74",2020-06-01,"MA",36625,74,NA,NA,NA,NA,NA
"75",2020-06-02,"MA",38174,75,NA,NA,NA,NA,NA
"76",2020-06-03,"MA",40629,76,NA,NA,NA,NA,NA
"77",2020-06-04,"MA",43313,77,NA,NA,NA,NA,NA
"78",2020-06-05,"MA",45470,78,NA,NA,NA,NA,NA
"79",2020-06-06,"MA",47593,79,NA,NA,NA,NA,NA
"80",2020-06-07,"MA",48537,80,NA,NA,NA,NA,NA
"81",2020-06-08,"MA",49371,81,NA,NA,NA,NA,NA
"82",2020-06-09,"MA",52069,82,NA,NA,NA,NA,NA
"83",2020-06-10,"MA",53508,83,NA,NA,NA,NA,NA
"84",2020-06-11,"MA",55680,84,NA,NA,NA,NA,NA
"85",2020-06-12,"MA",57605,85,NA,NA,NA,NA,NA
"86",2020-06-13,"MA",58859,86,NA,NA,NA,NA,NA
"87",2020-06-14,"MA",59850,87,NA,NA,NA,NA,NA
"88",2020-06-15,"MA",60592,88,NA,NA,NA,NA,NA
"89",2020-06-16,"MA",62711,89,NA,NA,NA,NA,NA
"90",2020-06-17,"MA",64735,90,NA,NA,NA,NA,NA
"91",2020-06-18,"MA",66091,91,NA,NA,NA,NA,NA
"92",2020-06-19,"MA",68500,92,NA,NA,NA,NA,NA
"93",2020-06-20,"MA",69673,93,NA,NA,NA,NA,NA
"94",2020-06-21,"MA",70059,94,NA,NA,NA,NA,NA
"95",2020-06-22,"MA",70689,95,NA,NA,NA,NA,NA
"96",2020-06-23,"MA",72021,96,NA,NA,NA,NA,NA
"97",2020-06-24,"MA",73314,97,NA,NA,NA,NA,NA
"98",2020-06-25,"MA",74925,98,NA,NA,NA,NA,NA
"99",2020-06-26,"MA",76698,99,NA,NA,NA,NA,NA
"100",2020-06-27,"MA",78115,100,NA,NA,NA,NA,NA
"101",2020-06-28,"MA",78512,101,NA,NA,NA,NA,NA
"102",2020-06-29,"MA",78969,102,NA,NA,NA,NA,NA
"103",2020-06-30,"MA",80451,103,NA,NA,NA,NA,NA
"104",2020-07-01,"MA",83256,104,NA,NA,NA,NA,NA
"105",2020-07-02,"MA",86025,105,NA,NA,NA,NA,NA
"106",2020-07-03,"MA",88214,106,NA,NA,NA,NA,NA
"107",2020-07-04,"MA",89057,107,NA,NA,NA,NA,NA
"108",2020-07-05,"MA",89714,108,NA,NA,NA,NA,NA
"109",2020-07-06,"MA",90251,109,NA,NA,NA,NA,NA
"110",2020-07-07,"MA",92088,110,NA,NA,NA,NA,NA
"111",2020-07-08,"MA",92939,111,NA,NA,NA,NA,NA
"112",2020-07-09,"MA",95323,112,NA,NA,NA,NA,NA
"113",2020-07-10,"MA",96718,113,NA,NA,NA,NA,NA
"114",2020-07-11,"MA",98398,114,NA,NA,NA,NA,NA
"115",2020-07-12,"MA",98952,115,NA,NA,NA,NA,NA
"116",2020-07-13,"MA",99830,116,NA,NA,NA,NA,NA
"117",2020-07-14,"MA",101467,117,NA,NA,NA,NA,NA
"118",2020-07-15,"MA",102469,118,NA,NA,NA,NA,NA
"119",2020-07-16,"MA",104126,119,NA,NA,NA,NA,NA
"120",2020-07-17,"MA",105183,120,NA,NA,NA,NA,NA
"121",2020-07-18,"MA",106092,121,NA,NA,NA,NA,NA
"122",2020-07-19,"MA",106325,122,NA,NA,NA,NA,NA
"123",2020-07-20,"MA",106906,123,NA,NA,NA,NA,NA
