"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-08,"MG",1,1,NA,NA,NA,NA,NA
"2",2020-03-09,"MG",1,2,NA,NA,NA,NA,NA
"3",2020-03-10,"MG",1,3,NA,NA,NA,NA,NA
"4",2020-03-11,"MG",1,4,NA,NA,NA,NA,NA
"5",2020-03-12,"MG",2,5,NA,NA,NA,NA,NA
"6",2020-03-13,"MG",2,6,NA,NA,NA,NA,NA
"7",2020-03-14,"MG",4,7,NA,NA,NA,NA,NA
"8",2020-03-16,"MG",6,8,NA,NA,NA,NA,NA
"9",2020-03-17,"MG",14,9,NA,NA,NA,NA,NA
"10",2020-03-18,"MG",19,10,NA,NA,NA,NA,NA
"11",2020-03-19,"MG",29,11,NA,NA,NA,NA,NA
"12",2020-03-20,"MG",38,12,NA,NA,NA,NA,NA
"13",2020-03-21,"MG",55,13,NA,NA,NA,NA,NA
"14",2020-03-22,"MG",83,14,NA,NA,NA,NA,NA
"15",2020-03-23,"MG",128,15,NA,NA,NA,NA,NA
"16",2020-03-24,"MG",130,16,NA,NA,NA,NA,NA
"17",2020-03-25,"MG",133,17,NA,NA,NA,NA,NA
"18",2020-03-26,"MG",153,18,NA,NA,NA,NA,NA
"19",2020-03-27,"MG",189,19,NA,NA,NA,NA,NA
"20",2020-03-28,"MG",205,20,NA,NA,NA,NA,NA
"21",2020-03-29,"MG",231,21,NA,NA,NA,NA,NA
"22",2020-03-30,"MG",261,22,NA,NA,NA,NA,NA
"23",2020-03-31,"MG",275,23,NA,NA,NA,NA,NA
"24",2020-04-01,"MG",314,24,NA,NA,NA,NA,NA
"25",2020-04-02,"MG",370,25,NA,NA,NA,NA,NA
"26",2020-04-03,"MG",397,26,NA,NA,NA,NA,NA
"27",2020-04-04,"MG",430,27,NA,NA,NA,NA,NA
"28",2020-04-05,"MG",498,28,NA,NA,NA,NA,NA
"29",2020-04-06,"MG",525,29,NA,NA,NA,NA,NA
"30",2020-04-07,"MG",559,30,NA,NA,NA,NA,NA
"31",2020-04-08,"MG",614,31,NA,NA,NA,NA,NA
"32",2020-04-09,"MG",655,32,NA,NA,NA,NA,NA
"33",2020-04-10,"MG",698,33,NA,NA,NA,NA,NA
"34",2020-04-11,"MG",750,34,NA,NA,NA,NA,NA
"35",2020-04-12,"MG",806,35,NA,NA,NA,NA,NA
"36",2020-04-13,"MG",815,36,NA,NA,NA,NA,NA
"37",2020-04-14,"MG",884,37,NA,NA,NA,NA,NA
"38",2020-04-15,"MG",903,38,NA,NA,NA,NA,NA
"39",2020-04-16,"MG",958,39,NA,NA,NA,NA,NA
"40",2020-04-17,"MG",1021,40,NA,NA,NA,NA,NA
"41",2020-04-18,"MG",1077,41,NA,NA,NA,NA,NA
"42",2020-04-19,"MG",1154,42,NA,NA,NA,NA,NA
"43",2020-04-20,"MG",1189,43,NA,NA,NA,NA,NA
"44",2020-04-21,"MG",1230,44,NA,NA,NA,NA,NA
"45",2020-04-22,"MG",1283,45,NA,NA,NA,NA,NA
"46",2020-04-23,"MG",1308,46,NA,NA,NA,NA,NA
"47",2020-04-24,"MG",1419,47,NA,NA,NA,NA,NA
"48",2020-04-25,"MG",1481,48,NA,NA,NA,NA,NA
"49",2020-04-26,"MG",1548,49,NA,NA,NA,NA,NA
"50",2020-04-27,"MG",1586,50,NA,NA,NA,NA,NA
"51",2020-04-28,"MG",1649,51,NA,NA,NA,NA,NA
"52",2020-04-29,"MG",1758,52,NA,NA,NA,NA,NA
"53",2020-04-30,"MG",1827,53,NA,NA,NA,NA,NA
"54",2020-05-01,"MG",1935,54,NA,NA,NA,NA,NA
"55",2020-05-02,"MG",2023,55,NA,NA,NA,NA,NA
"56",2020-05-03,"MG",2118,56,NA,NA,NA,NA,NA
"57",2020-05-04,"MG",2347,57,NA,NA,NA,NA,NA
"58",2020-05-05,"MG",2452,58,NA,NA,NA,NA,NA
"59",2020-05-06,"MG",2605,59,NA,NA,NA,NA,NA
"60",2020-05-07,"MG",2770,60,NA,NA,NA,NA,NA
"61",2020-05-08,"MG",2943,61,NA,NA,NA,NA,NA
"62",2020-05-09,"MG",3123,62,NA,NA,NA,NA,NA
"63",2020-05-10,"MG",3237,63,NA,NA,NA,NA,NA
"64",2020-05-11,"MG",3320,64,NA,NA,NA,NA,NA
"65",2020-05-12,"MG",3435,65,NA,NA,NA,NA,NA
"66",2020-05-13,"MG",3733,66,NA,NA,NA,NA,NA
"67",2020-05-14,"MG",3950,67,NA,NA,NA,NA,NA
"68",2020-05-15,"MG",4196,68,NA,NA,NA,NA,NA
"69",2020-05-16,"MG",4474,69,NA,NA,NA,NA,NA
"70",2020-05-17,"MG",4611,70,NA,NA,NA,NA,NA
"71",2020-05-18,"MG",4695,71,NA,NA,NA,NA,NA
"72",2020-05-19,"MG",4977,72,NA,NA,NA,NA,NA
"73",2020-05-20,"MG",5286,73,NA,NA,NA,NA,NA
"74",2020-05-21,"MG",5596,74,NA,NA,NA,NA,NA
"75",2020-05-22,"MG",5995,75,NA,NA,NA,NA,NA
"76",2020-05-23,"MG",6338,76,NA,NA,NA,NA,NA
"77",2020-05-24,"MG",6668,77,NA,NA,NA,NA,NA
"78",2020-05-25,"MG",6962,78,NA,NA,NA,NA,NA
"79",2020-05-26,"MG",7516,79,NA,NA,NA,NA,NA
"80",2020-05-27,"MG",8011,80,NA,NA,NA,NA,NA
"81",2020-05-28,"MG",8686,81,NA,NA,NA,NA,NA
"82",2020-05-29,"MG",9232,82,NA,NA,NA,NA,NA
"83",2020-05-30,"MG",9630,83,NA,NA,NA,NA,NA
"84",2020-05-31,"MG",10464,84,NA,NA,NA,NA,NA
"85",2020-06-01,"MG",10670,85,NA,NA,NA,NA,NA
"86",2020-06-02,"MG",10939,86,NA,NA,NA,NA,NA
"87",2020-06-03,"MG",12010,87,NA,NA,NA,NA,NA
"88",2020-06-04,"MG",13034,88,NA,NA,NA,NA,NA
"89",2020-06-05,"MG",13995,89,NA,NA,NA,NA,NA
"90",2020-06-06,"MG",14939,90,NA,NA,NA,NA,NA
"91",2020-06-07,"MG",15703,91,NA,NA,NA,NA,NA
"92",2020-06-08,"MG",15883,92,NA,NA,NA,NA,NA
"93",2020-06-09,"MG",16102,93,NA,NA,NA,NA,NA
"94",2020-06-10,"MG",17501,94,NA,NA,NA,NA,NA
"95",2020-06-11,"MG",18448,95,NA,NA,NA,NA,NA
"96",2020-06-12,"MG",20106,96,NA,NA,NA,NA,NA
"97",2020-06-13,"MG",20614,97,NA,NA,NA,NA,NA
