"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-20,"MT",1,1,NA,NA,NA,NA,NA
"2",2020-03-22,"MT",2,2,NA,NA,NA,NA,NA
"3",2020-03-23,"MT",6,3,NA,NA,NA,NA,NA
"4",2020-03-24,"MT",7,4,NA,NA,NA,NA,NA
"5",2020-03-25,"MT",9,5,NA,NA,NA,NA,NA
"6",2020-03-26,"MT",11,6,NA,NA,NA,NA,NA
"7",2020-03-27,"MT",11,7,NA,NA,NA,NA,NA
"8",2020-03-30,"MT",18,8,NA,NA,NA,NA,NA
"9",2020-03-31,"MT",25,9,NA,NA,NA,NA,NA
"10",2020-04-01,"MT",28,10,NA,NA,NA,NA,NA
"11",2020-04-02,"MT",41,11,NA,NA,NA,NA,NA
"12",2020-04-03,"MT",44,12,NA,NA,NA,NA,NA
"13",2020-04-04,"MT",60,13,NA,NA,NA,NA,NA
"14",2020-04-05,"MT",60,14,NA,NA,NA,NA,NA
"15",2020-04-06,"MT",76,15,NA,NA,NA,NA,NA
"16",2020-04-07,"MT",78,16,NA,NA,NA,NA,NA
"17",2020-04-08,"MT",90,17,NA,NA,NA,NA,NA
"18",2020-04-09,"MT",108,18,NA,NA,NA,NA,NA
"19",2020-04-10,"MT",112,19,NA,NA,NA,NA,NA
"20",2020-04-11,"MT",121,20,NA,NA,NA,NA,NA
"21",2020-04-12,"MT",123,21,NA,NA,NA,NA,NA
"22",2020-04-13,"MT",134,22,NA,NA,NA,NA,NA
"23",2020-04-14,"MT",138,23,NA,NA,NA,NA,NA
"24",2020-04-15,"MT",151,24,NA,NA,NA,NA,NA
"25",2020-04-16,"MT",156,25,NA,NA,NA,NA,NA
"26",2020-04-17,"MT",162,26,NA,NA,NA,NA,NA
"27",2020-04-18,"MT",171,27,NA,NA,NA,NA,NA
"28",2020-04-19,"MT",174,28,NA,NA,NA,NA,NA
"29",2020-04-20,"MT",181,29,NA,NA,NA,NA,NA
"30",2020-04-21,"MT",181,30,NA,NA,NA,NA,NA
"31",2020-04-22,"MT",205,31,NA,NA,NA,NA,NA
"32",2020-04-23,"MT",220,32,NA,NA,NA,NA,NA
"33",2020-04-24,"MT",241,33,NA,NA,NA,NA,NA
"34",2020-04-25,"MT",246,34,NA,NA,NA,NA,NA
"35",2020-04-26,"MT",249,35,NA,NA,NA,NA,NA
"36",2020-04-27,"MT",256,36,NA,NA,NA,NA,NA
"37",2020-04-28,"MT",263,37,NA,NA,NA,NA,NA
"38",2020-04-29,"MT",292,38,NA,NA,NA,NA,NA
"39",2020-04-30,"MT",302,39,NA,NA,NA,NA,NA
"40",2020-05-01,"MT",320,40,NA,NA,NA,NA,NA
"41",2020-05-02,"MT",333,41,NA,NA,NA,NA,NA
"42",2020-05-03,"MT",337,42,NA,NA,NA,NA,NA
"43",2020-05-04,"MT",344,43,NA,NA,NA,NA,NA
"44",2020-05-05,"MT",366,44,NA,NA,NA,NA,NA
