"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-18,"PA",1,1,NA,NA,NA,NA,NA
"2",2020-03-19,"PA",1,2,NA,NA,NA,NA,NA
"3",2020-03-20,"PA",2,3,NA,NA,NA,NA,NA
"4",2020-03-21,"PA",2,4,NA,NA,NA,NA,NA
"5",2020-03-22,"PA",4,5,NA,NA,NA,NA,NA
"6",2020-03-23,"PA",5,6,NA,NA,NA,NA,NA
"7",2020-03-24,"PA",5,7,NA,NA,NA,NA,NA
"8",2020-03-25,"PA",7,8,NA,NA,NA,NA,NA
"9",2020-03-26,"PA",13,9,NA,NA,NA,NA,NA
"10",2020-03-27,"PA",16,10,NA,NA,NA,NA,NA
"11",2020-03-28,"PA",18,11,NA,NA,NA,NA,NA
"12",2020-03-29,"PA",20,12,NA,NA,NA,NA,NA
"13",2020-03-30,"PA",26,13,NA,NA,NA,NA,NA
"14",2020-03-31,"PA",34,14,NA,NA,NA,NA,NA
"15",2020-04-01,"PA",41,15,NA,NA,NA,NA,NA
"16",2020-04-02,"PA",49,16,NA,NA,NA,NA,NA
"17",2020-04-03,"PA",75,17,NA,NA,NA,NA,NA
"18",2020-04-04,"PA",82,18,NA,NA,NA,NA,NA
"19",2020-04-05,"PA",86,19,NA,NA,NA,NA,NA
"20",2020-04-06,"PA",123,20,NA,NA,NA,NA,NA
"21",2020-04-07,"PA",154,21,NA,NA,NA,NA,NA
"22",2020-04-08,"PA",165,22,NA,NA,NA,NA,NA
"23",2020-04-09,"PA",169,23,NA,NA,NA,NA,NA
"24",2020-04-10,"PA",217,24,NA,NA,NA,NA,NA
"25",2020-04-11,"PA",237,25,NA,NA,NA,NA,NA
"26",2020-04-12,"PA",259,26,NA,NA,NA,NA,NA
"27",2020-04-13,"PA",310,27,NA,NA,NA,NA,NA
"28",2020-04-14,"PA",384,28,NA,NA,NA,NA,NA
"29",2020-04-15,"PA",487,29,NA,NA,NA,NA,NA
"30",2020-04-16,"PA",557,30,NA,NA,NA,NA,NA
"31",2020-04-17,"PA",627,31,NA,NA,NA,NA,NA
"32",2020-04-18,"PA",641,32,NA,NA,NA,NA,NA
"33",2020-04-19,"PA",685,33,NA,NA,NA,NA,NA
"34",2020-04-20,"PA",902,34,NA,NA,NA,NA,NA
"35",2020-04-21,"PA",1026,35,NA,NA,NA,NA,NA
"36",2020-04-22,"PA",1195,36,NA,NA,NA,NA,NA
"37",2020-04-23,"PA",1267,37,NA,NA,NA,NA,NA
"38",2020-04-24,"PA",1579,38,NA,NA,NA,NA,NA
"39",2020-04-25,"PA",1745,39,NA,NA,NA,NA,NA
"40",2020-04-26,"PA",2070,40,NA,NA,NA,NA,NA
"41",2020-04-27,"PA",2219,41,NA,NA,NA,NA,NA
"42",2020-04-28,"PA",2319,42,NA,NA,NA,NA,NA
"43",2020-04-29,"PA",2586,43,NA,NA,NA,NA,NA
"44",2020-04-30,"PA",2999,44,NA,NA,NA,NA,NA
"45",2020-05-01,"PA",3359,45,NA,NA,NA,NA,NA
"46",2020-05-02,"PA",3727,46,NA,NA,NA,NA,NA
"47",2020-05-03,"PA",3920,47,NA,NA,NA,NA,NA
"48",2020-05-04,"PA",4262,48,NA,NA,NA,NA,NA
"49",2020-05-05,"PA",4756,49,NA,NA,NA,NA,NA
"50",2020-05-06,"PA",5524,50,NA,NA,NA,NA,NA
"51",2020-05-07,"PA",5935,51,NA,NA,NA,NA,NA
"52",2020-05-08,"PA",6519,52,NA,NA,NA,NA,NA
"53",2020-05-09,"PA",7018,53,NA,NA,NA,NA,NA
"54",2020-05-10,"PA",7348,54,NA,NA,NA,NA,NA
"55",2020-05-11,"PA",8069,55,NA,NA,NA,NA,NA
"56",2020-05-12,"PA",9059,56,NA,NA,NA,NA,NA
"57",2020-05-13,"PA",10344,57,NA,NA,NA,NA,NA
"58",2020-05-14,"PA",11479,58,NA,NA,NA,NA,NA
"59",2020-05-15,"PA",12626,59,NA,NA,NA,NA,NA
"60",2020-05-16,"PA",13464,60,NA,NA,NA,NA,NA
"61",2020-05-17,"PA",14201,61,NA,NA,NA,NA,NA
"62",2020-05-18,"PA",15467,62,NA,NA,NA,NA,NA
"63",2020-05-19,"PA",17177,63,NA,NA,NA,NA,NA
"64",2020-05-20,"PA",18929,64,NA,NA,NA,NA,NA
"65",2020-05-21,"PA",20532,65,NA,NA,NA,NA,NA
"66",2020-05-22,"PA",22697,66,NA,NA,NA,NA,NA
"67",2020-05-23,"PA",24125,67,NA,NA,NA,NA,NA
"68",2020-05-24,"PA",24815,68,NA,NA,NA,NA,NA
"69",2020-05-25,"PA",27366,69,NA,NA,NA,NA,NA
"70",2020-05-26,"PA",29882,70,NA,NA,NA,NA,NA
"71",2020-05-27,"PA",31671,71,NA,NA,NA,NA,NA
"72",2020-05-28,"PA",35132,72,NA,NA,NA,NA,NA
"73",2020-05-29,"PA",37296,73,NA,NA,NA,NA,NA
"74",2020-05-30,"PA",37859,74,NA,NA,NA,NA,NA
"75",2020-05-31,"PA",37961,75,NA,NA,NA,NA,NA
"76",2020-06-01,"PA",40014,76,NA,NA,NA,NA,NA
"77",2020-06-02,"PA",43652,77,NA,NA,NA,NA,NA
"78",2020-06-03,"PA",46473,78,NA,NA,NA,NA,NA
"79",2020-06-04,"PA",49473,79,NA,NA,NA,NA,NA
"80",2020-06-05,"PA",53860,80,NA,NA,NA,NA,NA
"81",2020-06-06,"PA",53860,81,NA,NA,NA,NA,NA
"82",2020-06-07,"PA",54271,82,NA,NA,NA,NA,NA
"83",2020-06-08,"PA",57570,83,NA,NA,NA,NA,NA
"84",2020-06-09,"PA",60636,84,NA,NA,NA,NA,NA
"85",2020-06-10,"PA",63405,85,NA,NA,NA,NA,NA
"86",2020-06-11,"PA",65151,86,NA,NA,NA,NA,NA
"87",2020-06-12,"PA",66328,87,NA,NA,NA,NA,NA
"88",2020-06-13,"PA",68456,88,NA,NA,NA,NA,NA
"89",2020-06-14,"PA",69224,89,NA,NA,NA,NA,NA
"90",2020-06-15,"PA",71243,90,NA,NA,NA,NA,NA
"91",2020-06-16,"PA",74192,91,NA,NA,NA,NA,NA
"92",2020-06-17,"PA",76623,92,NA,NA,NA,NA,NA
"93",2020-06-18,"PA",80072,93,NA,NA,NA,NA,NA
"94",2020-06-19,"PA",82881,94,NA,NA,NA,NA,NA
"95",2020-06-20,"PA",84654,95,NA,NA,NA,NA,NA
"96",2020-06-21,"PA",86020,96,NA,NA,NA,NA,NA
