"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-12,"PB",0,1,NA,NA,NA,NA,NA
"2",2020-03-13,"PB",0,2,NA,NA,NA,NA,NA
"3",2020-03-14,"PB",0,3,NA,NA,NA,NA,NA
"4",2020-03-15,"PB",0,4,NA,NA,NA,NA,NA
"5",2020-03-16,"PB",0,5,NA,NA,NA,NA,NA
"6",2020-03-17,"PB",0,6,NA,NA,NA,NA,NA
"7",2020-03-18,"PB",1,7,NA,NA,NA,NA,NA
"8",2020-03-19,"PB",1,8,NA,NA,NA,NA,NA
"9",2020-03-20,"PB",1,9,NA,NA,NA,NA,NA
"10",2020-03-21,"PB",1,10,NA,NA,NA,NA,NA
"11",2020-03-22,"PB",1,11,NA,NA,NA,NA,NA
"12",2020-03-23,"PB",2,12,NA,NA,NA,NA,NA
"13",2020-03-24,"PB",3,13,NA,NA,NA,NA,NA
"14",2020-03-25,"PB",5,14,NA,NA,NA,NA,NA
"15",2020-03-26,"PB",6,15,NA,NA,NA,NA,NA
"16",2020-03-27,"PB",10,16,NA,NA,NA,NA,NA
"17",2020-03-28,"PB",14,17,NA,NA,NA,NA,NA
"18",2020-03-29,"PB",14,18,NA,NA,NA,NA,NA
"19",2020-03-30,"PB",17,19,NA,NA,NA,NA,NA
"20",2020-03-31,"PB",18,20,NA,NA,NA,NA,NA
"21",2020-04-01,"PB",21,21,NA,NA,NA,NA,NA
"22",2020-04-02,"PB",29,22,NA,NA,NA,NA,NA
"23",2020-04-03,"PB",32,23,NA,NA,NA,NA,NA
"24",2020-04-04,"PB",34,24,NA,NA,NA,NA,NA
"25",2020-04-05,"PB",35,25,NA,NA,NA,NA,NA
"26",2020-04-06,"PB",36,26,NA,NA,NA,NA,NA
"27",2020-04-07,"PB",41,27,NA,NA,NA,NA,NA
"28",2020-04-08,"PB",55,28,NA,NA,NA,NA,NA
"29",2020-04-09,"PB",79,29,NA,NA,NA,NA,NA
"30",2020-04-10,"PB",85,30,NA,NA,NA,NA,NA
"31",2020-04-11,"PB",101,31,NA,NA,NA,NA,NA
"32",2020-04-12,"PB",111,32,NA,NA,NA,NA,NA
"33",2020-04-13,"PB",136,33,NA,NA,NA,NA,NA
"34",2020-04-14,"PB",152,34,NA,NA,NA,NA,NA
"35",2020-04-15,"PB",165,35,NA,NA,NA,NA,NA
"36",2020-04-16,"PB",195,36,NA,NA,NA,NA,NA
"37",2020-04-17,"PB",205,37,NA,NA,NA,NA,NA
"38",2020-04-18,"PB",236,38,NA,NA,NA,NA,NA
"39",2020-04-19,"PB",245,39,NA,NA,NA,NA,NA
"40",2020-04-20,"PB",263,40,NA,NA,NA,NA,NA
"41",2020-04-21,"PB",301,41,NA,NA,NA,NA,NA
