"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-12,"PE",2,1,NA,NA,NA,NA,NA
"2",2020-03-13,"PE",2,2,NA,NA,NA,NA,NA
"3",2020-03-14,"PE",7,3,NA,NA,NA,NA,NA
"4",2020-03-15,"PE",8,4,NA,NA,NA,NA,NA
"5",2020-03-16,"PE",8,5,NA,NA,NA,NA,NA
"6",2020-03-17,"PE",18,6,NA,NA,NA,NA,NA
"7",2020-03-18,"PE",19,7,NA,NA,NA,NA,NA
"8",2020-03-19,"PE",28,8,NA,NA,NA,NA,NA
"9",2020-03-20,"PE",31,9,NA,NA,NA,NA,NA
"10",2020-03-21,"PE",33,10,NA,NA,NA,NA,NA
"11",2020-03-22,"PE",37,11,NA,NA,NA,NA,NA
"12",2020-03-23,"PE",42,12,NA,NA,NA,NA,NA
"13",2020-03-24,"PE",42,13,NA,NA,NA,NA,NA
"14",2020-03-25,"PE",46,14,NA,NA,NA,NA,NA
"15",2020-03-26,"PE",48,15,NA,NA,NA,NA,NA
"16",2020-03-27,"PE",57,16,NA,NA,NA,NA,NA
"17",2020-03-28,"PE",68,17,NA,NA,NA,NA,NA
"18",2020-03-29,"PE",73,18,NA,NA,NA,NA,NA
"19",2020-03-30,"PE",77,19,NA,NA,NA,NA,NA
"20",2020-03-31,"PE",87,20,NA,NA,NA,NA,NA
"21",2020-04-01,"PE",95,21,NA,NA,NA,NA,NA
"22",2020-04-02,"PE",106,22,NA,NA,NA,NA,NA
"23",2020-04-03,"PE",136,23,NA,NA,NA,NA,NA
"24",2020-04-04,"PE",176,24,NA,NA,NA,NA,NA
"25",2020-04-05,"PE",201,25,NA,NA,NA,NA,NA
"26",2020-04-06,"PE",223,26,NA,NA,NA,NA,NA
"27",2020-04-07,"PE",352,27,NA,NA,NA,NA,NA
"28",2020-04-08,"PE",401,28,NA,NA,NA,NA,NA
"29",2020-04-09,"PE",555,29,NA,NA,NA,NA,NA
"30",2020-04-10,"PE",684,30,NA,NA,NA,NA,NA
"31",2020-04-11,"PE",816,31,NA,NA,NA,NA,NA
"32",2020-04-12,"PE",960,32,NA,NA,NA,NA,NA
"33",2020-04-13,"PE",1154,33,NA,NA,NA,NA,NA
