"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-19,"PI",3,1,NA,NA,NA,NA,NA
"2",2020-03-20,"PI",4,2,NA,NA,NA,NA,NA
"3",2020-03-21,"PI",4,3,NA,NA,NA,NA,NA
"4",2020-03-22,"PI",6,4,NA,NA,NA,NA,NA
"5",2020-03-23,"PI",6,5,NA,NA,NA,NA,NA
"6",2020-03-24,"PI",8,6,NA,NA,NA,NA,NA
"7",2020-03-25,"PI",8,7,NA,NA,NA,NA,NA
"8",2020-03-26,"PI",9,8,NA,NA,NA,NA,NA
"9",2020-03-27,"PI",10,9,NA,NA,NA,NA,NA
"10",2020-03-28,"PI",11,10,NA,NA,NA,NA,NA
"11",2020-03-30,"PI",18,11,NA,NA,NA,NA,NA
"12",2020-03-31,"PI",18,12,NA,NA,NA,NA,NA
"13",2020-04-01,"PI",19,13,NA,NA,NA,NA,NA
"14",2020-04-02,"PI",19,14,NA,NA,NA,NA,NA
"15",2020-04-03,"PI",22,15,NA,NA,NA,NA,NA
"16",2020-04-04,"PI",24,16,NA,NA,NA,NA,NA
"17",2020-04-05,"PI",24,17,NA,NA,NA,NA,NA
"18",2020-04-06,"PI",26,18,NA,NA,NA,NA,NA
"19",2020-04-07,"PI",31,19,NA,NA,NA,NA,NA
"20",2020-04-08,"PI",38,20,NA,NA,NA,NA,NA
"21",2020-04-09,"PI",40,21,NA,NA,NA,NA,NA
"22",2020-04-10,"PI",41,22,NA,NA,NA,NA,NA
"23",2020-04-11,"PI",44,23,NA,NA,NA,NA,NA
"24",2020-04-12,"PI",51,24,NA,NA,NA,NA,NA
"25",2020-04-13,"PI",58,25,NA,NA,NA,NA,NA
"26",2020-04-14,"PI",75,26,NA,NA,NA,NA,NA
"27",2020-04-15,"PI",91,27,NA,NA,NA,NA,NA
"28",2020-04-16,"PI",102,28,NA,NA,NA,NA,NA
"29",2020-04-17,"PI",123,29,NA,NA,NA,NA,NA
"30",2020-04-18,"PI",144,30,NA,NA,NA,NA,NA
"31",2020-04-19,"PI",158,31,NA,NA,NA,NA,NA
"32",2020-04-20,"PI",186,32,NA,NA,NA,NA,NA
"33",2020-04-21,"PI",206,33,NA,NA,NA,NA,NA
"34",2020-04-22,"PI",217,34,NA,NA,NA,NA,NA
"35",2020-04-23,"PI",256,35,NA,NA,NA,NA,NA
"36",2020-04-24,"PI",297,36,NA,NA,NA,NA,NA
"37",2020-04-25,"PI",331,37,NA,NA,NA,NA,NA
"38",2020-04-26,"PI",364,38,NA,NA,NA,NA,NA
"39",2020-04-27,"PI",408,39,NA,NA,NA,NA,NA
"40",2020-04-28,"PI",454,40,NA,NA,NA,NA,NA
"41",2020-04-29,"PI",513,41,NA,NA,NA,NA,NA
"42",2020-04-30,"PI",600,42,NA,NA,NA,NA,NA
"43",2020-05-01,"PI",665,43,NA,NA,NA,NA,NA
"44",2020-05-02,"PI",742,44,NA,NA,NA,NA,NA
"45",2020-05-03,"PI",784,45,NA,NA,NA,NA,NA
"46",2020-05-04,"PI",875,46,NA,NA,NA,NA,NA
"47",2020-05-05,"PI",949,47,NA,NA,NA,NA,NA
"48",2020-05-06,"PI",1051,48,NA,NA,NA,NA,NA
"49",2020-05-07,"PI",1131,49,NA,NA,NA,NA,NA
"50",2020-05-08,"PI",1233,50,NA,NA,NA,NA,NA
"51",2020-05-09,"PI",1278,51,NA,NA,NA,NA,NA
"52",2020-05-10,"PI",1332,52,NA,NA,NA,NA,NA
"53",2020-05-11,"PI",1443,53,NA,NA,NA,NA,NA
"54",2020-05-12,"PI",1612,54,NA,NA,NA,NA,NA
"55",2020-05-13,"PI",1784,55,NA,NA,NA,NA,NA
"56",2020-05-14,"PI",1905,56,NA,NA,NA,NA,NA
"57",2020-05-15,"PI",2085,57,NA,NA,NA,NA,NA
"58",2020-05-16,"PI",2252,58,NA,NA,NA,NA,NA
"59",2020-05-17,"PI",2287,59,NA,NA,NA,NA,NA
"60",2020-05-18,"PI",2440,60,NA,NA,NA,NA,NA
"61",2020-05-19,"PI",2637,61,NA,NA,NA,NA,NA
"62",2020-05-20,"PI",2852,62,NA,NA,NA,NA,NA
"63",2020-05-21,"PI",3074,63,NA,NA,NA,NA,NA
"64",2020-05-22,"PI",3258,64,NA,NA,NA,NA,NA
"65",2020-05-23,"PI",3390,65,NA,NA,NA,NA,NA
"66",2020-05-24,"PI",3550,66,NA,NA,NA,NA,NA
"67",2020-05-25,"PI",3720,67,NA,NA,NA,NA,NA
