"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-12,"PR",6,1,NA,NA,NA,NA,NA
"2",2020-03-13,"PR",6,2,NA,NA,NA,NA,NA
"3",2020-03-16,"PR",6,3,NA,NA,NA,NA,NA
"4",2020-03-17,"PR",12,4,NA,NA,NA,NA,NA
"5",2020-03-18,"PR",14,5,NA,NA,NA,NA,NA
"6",2020-03-19,"PR",23,6,NA,NA,NA,NA,NA
"7",2020-03-20,"PR",36,7,NA,NA,NA,NA,NA
"8",2020-03-21,"PR",43,8,NA,NA,NA,NA,NA
"9",2020-03-22,"PR",54,9,NA,NA,NA,NA,NA
"10",2020-03-23,"PR",60,10,NA,NA,NA,NA,NA
"11",2020-03-24,"PR",70,11,NA,NA,NA,NA,NA
"12",2020-03-25,"PR",97,12,NA,NA,NA,NA,NA
"13",2020-03-26,"PR",106,13,NA,NA,NA,NA,NA
"14",2020-03-27,"PR",125,14,NA,NA,NA,NA,NA
"15",2020-03-28,"PR",137,15,NA,NA,NA,NA,NA
"16",2020-03-29,"PR",152,16,NA,NA,NA,NA,NA
"17",2020-03-30,"PR",160,17,NA,NA,NA,NA,NA
"18",2020-03-31,"PR",185,18,NA,NA,NA,NA,NA
"19",2020-04-01,"PR",229,19,NA,NA,NA,NA,NA
"20",2020-04-02,"PR",258,20,NA,NA,NA,NA,NA
"21",2020-04-03,"PR",307,21,NA,NA,NA,NA,NA
"22",2020-04-04,"PR",401,22,NA,NA,NA,NA,NA
"23",2020-04-05,"PR",445,23,NA,NA,NA,NA,NA
"24",2020-04-06,"PR",466,24,NA,NA,NA,NA,NA
"25",2020-04-07,"PR",511,25,NA,NA,NA,NA,NA
"26",2020-04-08,"PR",550,26,NA,NA,NA,NA,NA
"27",2020-04-09,"PR",621,27,NA,NA,NA,NA,NA
"28",2020-04-10,"PR",655,28,NA,NA,NA,NA,NA
"29",2020-04-11,"PR",688,29,NA,NA,NA,NA,NA
"30",2020-04-12,"PR",750,30,NA,NA,NA,NA,NA
"31",2020-04-13,"PR",768,31,NA,NA,NA,NA,NA
"32",2020-04-14,"PR",803,32,NA,NA,NA,NA,NA
"33",2020-04-15,"PR",816,33,NA,NA,NA,NA,NA
"34",2020-04-16,"PR",845,34,NA,NA,NA,NA,NA
"35",2020-04-17,"PR",887,35,NA,NA,NA,NA,NA
"36",2020-04-18,"PR",960,36,NA,NA,NA,NA,NA
"37",2020-04-19,"PR",1002,37,NA,NA,NA,NA,NA
"38",2020-04-20,"PR",1022,38,NA,NA,NA,NA,NA
"39",2020-04-21,"PR",1039,39,NA,NA,NA,NA,NA
"40",2020-04-22,"PR",1077,40,NA,NA,NA,NA,NA
"41",2020-04-23,"PR",1096,41,NA,NA,NA,NA,NA
"42",2020-04-24,"PR",1133,42,NA,NA,NA,NA,NA
"43",2020-04-25,"PR",1155,43,NA,NA,NA,NA,NA
"44",2020-04-26,"PR",1171,44,NA,NA,NA,NA,NA
"45",2020-04-27,"PR",1201,45,NA,NA,NA,NA,NA
"46",2020-04-28,"PR",1286,46,NA,NA,NA,NA,NA
"47",2020-04-29,"PR",1364,47,NA,NA,NA,NA,NA
"48",2020-04-30,"PR",1423,48,NA,NA,NA,NA,NA
"49",2020-05-01,"PR",1464,49,NA,NA,NA,NA,NA
"50",2020-05-02,"PR",1510,50,NA,NA,NA,NA,NA
"51",2020-05-03,"PR",1533,51,NA,NA,NA,NA,NA
"52",2020-05-04,"PR",1581,52,NA,NA,NA,NA,NA
"53",2020-05-05,"PR",1608,53,NA,NA,NA,NA,NA
"54",2020-05-06,"PR",1647,54,NA,NA,NA,NA,NA
"55",2020-05-07,"PR",1678,55,NA,NA,NA,NA,NA
"56",2020-05-08,"PR",1734,56,NA,NA,NA,NA,NA
"57",2020-05-09,"PR",1809,57,NA,NA,NA,NA,NA
"58",2020-05-10,"PR",1859,58,NA,NA,NA,NA,NA
"59",2020-05-11,"PR",1873,59,NA,NA,NA,NA,NA
"60",2020-05-12,"PR",1930,60,NA,NA,NA,NA,NA
"61",2020-05-13,"PR",2023,61,NA,NA,NA,NA,NA
"62",2020-05-14,"PR",2091,62,NA,NA,NA,NA,NA
"63",2020-05-15,"PR",2167,63,NA,NA,NA,NA,NA
"64",2020-05-16,"PR",2272,64,NA,NA,NA,NA,NA
"65",2020-05-17,"PR",2316,65,NA,NA,NA,NA,NA
"66",2020-05-18,"PR",2390,66,NA,NA,NA,NA,NA
"67",2020-05-19,"PR",2519,67,NA,NA,NA,NA,NA
"68",2020-05-20,"PR",2656,68,NA,NA,NA,NA,NA
"69",2020-05-21,"PR",2855,69,NA,NA,NA,NA,NA
"70",2020-05-22,"PR",2985,70,NA,NA,NA,NA,NA
"71",2020-05-23,"PR",3147,71,NA,NA,NA,NA,NA
"72",2020-05-24,"PR",3260,72,NA,NA,NA,NA,NA
"73",2020-05-25,"PR",3384,73,NA,NA,NA,NA,NA
"74",2020-05-26,"PR",3567,74,NA,NA,NA,NA,NA
"75",2020-05-27,"PR",3768,75,NA,NA,NA,NA,NA
"76",2020-05-28,"PR",4041,76,NA,NA,NA,NA,NA
"77",2020-05-29,"PR",4300,77,NA,NA,NA,NA,NA
"78",2020-05-30,"PR",4538,78,NA,NA,NA,NA,NA
"79",2020-05-31,"PR",4752,79,NA,NA,NA,NA,NA
"80",2020-06-01,"PR",4900,80,NA,NA,NA,NA,NA
"81",2020-06-02,"PR",5235,81,NA,NA,NA,NA,NA
"82",2020-06-03,"PR",5567,82,NA,NA,NA,NA,NA
"83",2020-06-04,"PR",5895,83,NA,NA,NA,NA,NA
"84",2020-06-05,"PR",6434,84,NA,NA,NA,NA,NA
"85",2020-06-06,"PR",6693,85,NA,NA,NA,NA,NA
"86",2020-06-07,"PR",6987,86,NA,NA,NA,NA,NA
"87",2020-06-08,"PR",7121,87,NA,NA,NA,NA,NA
"88",2020-06-09,"PR",7410,88,NA,NA,NA,NA,NA
"89",2020-06-10,"PR",7934,89,NA,NA,NA,NA,NA
"90",2020-06-11,"PR",8569,90,NA,NA,NA,NA,NA
"91",2020-06-12,"PR",8818,91,NA,NA,NA,NA,NA
"92",2020-06-13,"PR",9353,92,NA,NA,NA,NA,NA
"93",2020-06-14,"PR",9706,93,NA,NA,NA,NA,NA
"94",2020-06-15,"PR",9839,94,NA,NA,NA,NA,NA
"95",2020-06-16,"PR",10690,95,NA,NA,NA,NA,NA
"96",2020-06-17,"PR",11225,96,NA,NA,NA,NA,NA
"97",2020-06-18,"PR",12059,97,NA,NA,NA,NA,NA
"98",2020-06-19,"PR",12932,98,NA,NA,NA,NA,NA
"99",2020-06-20,"PR",13821,99,NA,NA,NA,NA,NA
"100",2020-06-21,"PR",14501,100,NA,NA,NA,NA,NA
"101",2020-06-22,"PR",15124,101,NA,NA,NA,NA,NA
"102",2020-06-23,"PR",15853,102,NA,NA,NA,NA,NA
"103",2020-06-24,"PR",16963,103,NA,NA,NA,NA,NA
"104",2020-06-25,"PR",17822,104,NA,NA,NA,NA,NA
"105",2020-06-26,"PR",18672,105,NA,NA,NA,NA,NA
"106",2020-06-27,"PR",19819,106,NA,NA,NA,NA,NA
"107",2020-06-28,"PR",20742,107,NA,NA,NA,NA,NA
"108",2020-06-29,"PR",21326,108,NA,NA,NA,NA,NA
"109",2020-06-30,"PR",22877,109,NA,NA,NA,NA,NA
"110",2020-07-01,"PR",24225,110,NA,NA,NA,NA,NA
"111",2020-07-02,"PR",26304,111,NA,NA,NA,NA,NA
"112",2020-07-03,"PR",28166,112,NA,NA,NA,NA,NA
"113",2020-07-04,"PR",30570,113,NA,NA,NA,NA,NA
"114",2020-07-05,"PR",31459,114,NA,NA,NA,NA,NA
"115",2020-07-06,"PR",32769,115,NA,NA,NA,NA,NA
"116",2020-07-07,"PR",34308,116,NA,NA,NA,NA,NA
"117",2020-07-08,"PR",35715,117,NA,NA,NA,NA,NA
"118",2020-07-09,"PR",37424,118,NA,NA,NA,NA,NA
"119",2020-07-10,"PR",39512,119,NA,NA,NA,NA,NA
"120",2020-07-11,"PR",40797,120,NA,NA,NA,NA,NA
"121",2020-07-12,"PR",42537,121,NA,NA,NA,NA,NA
"122",2020-07-13,"PR",43582,122,NA,NA,NA,NA,NA
"123",2020-07-14,"PR",45363,123,NA,NA,NA,NA,NA
"124",2020-07-15,"PR",47124,124,NA,NA,NA,NA,NA
"125",2020-07-16,"PR",49405,125,NA,NA,NA,NA,NA
"126",2020-07-17,"PR",51321,126,NA,NA,NA,NA,NA
"127",2020-07-18,"PR",53553,127,NA,NA,NA,NA,NA
"128",2020-07-19,"PR",54629,128,NA,NA,NA,NA,NA
"129",2020-07-20,"PR",55909,129,NA,NA,NA,NA,NA
"130",2020-07-21,"PR",57538,130,NA,NA,NA,NA,NA
"131",2020-07-22,"PR",59927,131,NA,NA,NA,NA,NA
"132",2020-07-23,"PR",62004,132,NA,NA,NA,NA,NA
"133",2020-07-24,NA,NA,133,63927.3374320608,63607.0393459751,64247.6355181465,63437.4837812805,64417.191082841
"134",2020-07-25,NA,NA,134,65850.6748641216,65316.9665693566,66384.3831588866,65034.4384643439,66666.9112638993
"135",2020-07-26,NA,NA,135,67774.0122961824,67019.3640302135,68528.6605621512,66619.877369379,68928.1472229857
"136",2020-07-27,NA,NA,136,69697.3497282432,68707.7678904377,70686.9315660486,68183.9149090758,71210.7845474106
