"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-12,"RN",1,1,NA,NA,NA,NA,NA
"2",2020-03-13,"RN",1,2,NA,NA,NA,NA,NA
"3",2020-03-16,"RN",1,3,NA,NA,NA,NA,NA
"4",2020-03-18,"RN",1,4,NA,NA,NA,NA,NA
"5",2020-03-20,"RN",6,5,NA,NA,NA,NA,NA
"6",2020-03-21,"RN",9,6,NA,NA,NA,NA,NA
"7",2020-03-22,"RN",13,7,NA,NA,NA,NA,NA
"8",2020-03-24,"RN",14,8,NA,NA,NA,NA,NA
"9",2020-03-25,"RN",14,9,NA,NA,NA,NA,NA
"10",2020-03-26,"RN",19,10,NA,NA,NA,NA,NA
"11",2020-03-27,"RN",28,11,NA,NA,NA,NA,NA
"12",2020-03-28,"RN",68,12,NA,NA,NA,NA,NA
"13",2020-03-30,"RN",77,13,NA,NA,NA,NA,NA
"14",2020-03-31,"RN",82,14,NA,NA,NA,NA,NA
"15",2020-04-01,"RN",92,15,NA,NA,NA,NA,NA
"16",2020-04-02,"RN",106,16,NA,NA,NA,NA,NA
"17",2020-04-03,"RN",176,17,NA,NA,NA,NA,NA
"18",2020-04-04,"RN",215,18,NA,NA,NA,NA,NA
"19",2020-04-05,"RN",246,19,NA,NA,NA,NA,NA
"20",2020-04-07,"RN",254,20,NA,NA,NA,NA,NA
"21",2020-04-08,"RN",261,21,NA,NA,NA,NA,NA
"22",2020-04-10,"RN",263,22,NA,NA,NA,NA,NA
"23",2020-04-11,"RN",289,23,NA,NA,NA,NA,NA
"24",2020-04-12,"RN",339,24,NA,NA,NA,NA,NA
"25",2020-04-13,"RN",376,25,NA,NA,NA,NA,NA
"26",2020-04-14,"RN",399,26,NA,NA,NA,NA,NA
"27",2020-04-15,"RN",400,27,NA,NA,NA,NA,NA
"28",2020-04-16,"RN",463,28,NA,NA,NA,NA,NA
"29",2020-04-17,"RN",516,29,NA,NA,NA,NA,NA
"30",2020-04-18,"RN",561,30,NA,NA,NA,NA,NA
"31",2020-04-19,"RN",595,31,NA,NA,NA,NA,NA
"32",2020-04-20,"RN",608,32,NA,NA,NA,NA,NA
"33",2020-04-21,"RN",646,33,NA,NA,NA,NA,NA
"34",2020-04-22,"RN",708,34,NA,NA,NA,NA,NA
"35",2020-04-23,"RN",754,35,NA,NA,NA,NA,NA
