"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-20,"RO",1,1,NA,NA,NA,NA,NA
"2",2020-03-21,"RO",3,2,NA,NA,NA,NA,NA
"3",2020-03-22,"RO",3,3,NA,NA,NA,NA,NA
"4",2020-03-24,"RO",5,4,NA,NA,NA,NA,NA
"5",2020-03-25,"RO",5,5,NA,NA,NA,NA,NA
"6",2020-03-26,"RO",6,6,NA,NA,NA,NA,NA
"7",2020-03-27,"RO",6,7,NA,NA,NA,NA,NA
"8",2020-03-28,"RO",6,8,NA,NA,NA,NA,NA
"9",2020-03-29,"RO",6,9,NA,NA,NA,NA,NA
"10",2020-03-30,"RO",8,10,NA,NA,NA,NA,NA
"11",2020-03-31,"RO",9,11,NA,NA,NA,NA,NA
"12",2020-04-01,"RO",9,12,NA,NA,NA,NA,NA
"13",2020-04-02,"RO",10,13,NA,NA,NA,NA,NA
"14",2020-04-03,"RO",10,14,NA,NA,NA,NA,NA
"15",2020-04-04,"RO",11,15,NA,NA,NA,NA,NA
"16",2020-04-05,"RO",14,16,NA,NA,NA,NA,NA
"17",2020-04-06,"RO",18,17,NA,NA,NA,NA,NA
"18",2020-04-07,"RO",23,18,NA,NA,NA,NA,NA
"19",2020-04-08,"RO",26,19,NA,NA,NA,NA,NA
"20",2020-04-09,"RO",28,20,NA,NA,NA,NA,NA
"21",2020-04-10,"RO",32,21,NA,NA,NA,NA,NA
"22",2020-04-11,"RO",34,22,NA,NA,NA,NA,NA
"23",2020-04-12,"RO",42,23,NA,NA,NA,NA,NA
"24",2020-04-14,"RO",69,24,NA,NA,NA,NA,NA
"25",2020-04-15,"RO",73,25,NA,NA,NA,NA,NA
"26",2020-04-16,"RO",92,26,NA,NA,NA,NA,NA
"27",2020-04-17,"RO",110,27,NA,NA,NA,NA,NA
"28",2020-04-18,"RO",128,28,NA,NA,NA,NA,NA
"29",2020-04-19,"RO",160,29,NA,NA,NA,NA,NA
"30",2020-04-20,"RO",199,30,NA,NA,NA,NA,NA
"31",2020-04-21,"RO",223,31,NA,NA,NA,NA,NA
"32",2020-04-23,"RO",250,32,NA,NA,NA,NA,NA
"33",2020-04-24,"RO",290,33,NA,NA,NA,NA,NA
"34",2020-04-25,"RO",328,34,NA,NA,NA,NA,NA
"35",2020-04-26,"RO",364,35,NA,NA,NA,NA,NA
"36",2020-04-27,"RO",393,36,NA,NA,NA,NA,NA
"37",2020-04-28,"RO",413,37,NA,NA,NA,NA,NA
"38",2020-04-29,"RO",433,38,NA,NA,NA,NA,NA
"39",2020-04-30,"RO",502,39,NA,NA,NA,NA,NA
"40",2020-05-01,"RO",585,40,NA,NA,NA,NA,NA
"41",2020-05-02,"RO",654,41,NA,NA,NA,NA,NA
"42",2020-05-03,"RO",705,42,NA,NA,NA,NA,NA
"43",2020-05-04,"RO",756,43,NA,NA,NA,NA,NA
"44",2020-05-05,"RO",861,44,NA,NA,NA,NA,NA
"45",2020-05-06,"RO",943,45,NA,NA,NA,NA,NA
"46",2020-05-07,"RO",1098,46,NA,NA,NA,NA,NA
"47",2020-05-08,"RO",1222,47,NA,NA,NA,NA,NA
"48",2020-05-09,"RO",1263,48,NA,NA,NA,NA,NA
"49",2020-05-10,"RO",1302,49,NA,NA,NA,NA,NA
"50",2020-05-11,"RO",1398,50,NA,NA,NA,NA,NA
"51",2020-05-12,"RO",1460,51,NA,NA,NA,NA,NA
"52",2020-05-13,"RO",1612,52,NA,NA,NA,NA,NA
"53",2020-05-14,"RO",1686,53,NA,NA,NA,NA,NA
"54",2020-05-15,"RO",1794,54,NA,NA,NA,NA,NA
"55",2020-05-16,"RO",1918,55,NA,NA,NA,NA,NA
"56",2020-05-17,"RO",1963,56,NA,NA,NA,NA,NA
"57",2020-05-18,"RO",2043,57,NA,NA,NA,NA,NA
"58",2020-05-19,"RO",2413,58,NA,NA,NA,NA,NA
"59",2020-05-20,"RO",2499,59,NA,NA,NA,NA,NA
"60",2020-05-22,"RO",2774,60,NA,NA,NA,NA,NA
"61",2020-05-23,"RO",3109,61,NA,NA,NA,NA,NA
"62",2020-05-24,"RO",3201,62,NA,NA,NA,NA,NA
"63",2020-05-25,"RO",3268,63,NA,NA,NA,NA,NA
"64",2020-05-26,"RO",3493,64,NA,NA,NA,NA,NA
"65",2020-05-27,"RO",3862,65,NA,NA,NA,NA,NA
"66",2020-05-28,"RO",4252,66,NA,NA,NA,NA,NA
"67",2020-05-29,"RO",4502,67,NA,NA,NA,NA,NA
"68",2020-05-30,"RO",4743,68,NA,NA,NA,NA,NA
"69",2020-05-31,"RO",4942,69,NA,NA,NA,NA,NA
"70",2020-06-02,"RO",5477,70,NA,NA,NA,NA,NA
"71",2020-06-03,"RO",5714,71,NA,NA,NA,NA,NA
"72",2020-06-04,"RO",6459,72,NA,NA,NA,NA,NA
"73",2020-06-05,"RO",6862,73,NA,NA,NA,NA,NA
"74",2020-06-06,"RO",7701,74,NA,NA,NA,NA,NA
"75",2020-06-07,"RO",8110,75,NA,NA,NA,NA,NA
"76",2020-06-08,"RO",8626,76,NA,NA,NA,NA,NA
"77",2020-06-09,"RO",9220,77,NA,NA,NA,NA,NA
"78",2020-06-10,"RO",9850,78,NA,NA,NA,NA,NA
"79",2020-06-11,"RO",10547,79,NA,NA,NA,NA,NA
"80",2020-06-12,"RO",11224,80,NA,NA,NA,NA,NA
"81",2020-06-13,"RO",11632,81,NA,NA,NA,NA,NA
"82",2020-06-14,"RO",11865,82,NA,NA,NA,NA,NA
"83",2020-06-15,"RO",12180,83,NA,NA,NA,NA,NA
"84",2020-06-16,"RO",13010,84,NA,NA,NA,NA,NA
"85",2020-06-17,"RO",13567,85,NA,NA,NA,NA,NA
"86",2020-06-18,"RO",13804,86,NA,NA,NA,NA,NA
"87",2020-06-19,"RO",14353,87,NA,NA,NA,NA,NA
"88",2020-06-20,"RO",14952,88,NA,NA,NA,NA,NA
"89",2020-06-21,"RO",15181,89,NA,NA,NA,NA,NA
"90",2020-06-22,"RO",15827,90,NA,NA,NA,NA,NA
"91",2020-06-23,"RO",16499,91,NA,NA,NA,NA,NA
"92",2020-06-24,"RO",17424,92,NA,NA,NA,NA,NA
"93",2020-06-26,"RO",19271,93,NA,NA,NA,NA,NA
"94",2020-06-27,"RO",19735,94,NA,NA,NA,NA,NA
"95",2020-06-28,"RO",19820,95,NA,NA,NA,NA,NA
"96",2020-06-29,"RO",20406,96,NA,NA,NA,NA,NA
"97",2020-06-30,"RO",21251,97,NA,NA,NA,NA,NA
"98",2020-07-01,"RO",21523,98,NA,NA,NA,NA,NA
"99",2020-07-02,"RO",21970,99,NA,NA,NA,NA,NA
"100",2020-07-03,"RO",22241,100,NA,NA,NA,NA,NA
"101",2020-07-04,"RO",22957,101,NA,NA,NA,NA,NA
"102",2020-07-05,"RO",23479,102,NA,NA,NA,NA,NA
"103",2020-07-06,"RO",23920,103,NA,NA,NA,NA,NA
"104",2020-07-07,"RO",24563,104,NA,NA,NA,NA,NA
"105",2020-07-08,"RO",25067,105,NA,NA,NA,NA,NA
"106",2020-07-09,"RO",25402,106,NA,NA,NA,NA,NA
"107",2020-07-10,"RO",26000,107,NA,NA,NA,NA,NA
"108",2020-07-11,"RO",26496,108,NA,NA,NA,NA,NA
"109",2020-07-12,"RO",26728,109,NA,NA,NA,NA,NA
"110",2020-07-13,"RO",27050,110,NA,NA,NA,NA,NA
"111",2020-07-14,"RO",27528,111,NA,NA,NA,NA,NA
"112",2020-07-15,"RO",27917,112,NA,NA,NA,NA,NA
"113",2020-07-16,"RO",28654,113,NA,NA,NA,NA,NA
"114",2020-07-17,"RO",29117,114,NA,NA,NA,NA,NA
"115",2020-07-20,"RO",29801,115,NA,NA,NA,NA,NA
"116",2020-07-21,"RO",30642,116,NA,NA,NA,NA,NA
"117",2020-07-22,"RO",32944,117,NA,NA,NA,NA,NA
"118",2020-07-23,"RO",34080,118,NA,NA,NA,NA,NA
"119",2020-07-24,NA,NA,119,35236.7898323868,34911.6158461157,35561.9638186578,34739.4791357784,35734.1005289951
"120",2020-07-25,NA,NA,120,36393.5796647735,35856.4986378091,36930.660691738,35572.1851162188,37214.9742133282
"121",2020-07-26,NA,NA,121,37550.3694971603,36795.9978388667,38304.7411554538,36396.6576052905,38704.08138903
"122",2020-07-27,NA,NA,122,38707.159329547,37723.0238187638,39691.2948403302,37202.0539487719,40212.2647103222
