"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-21,"RR",2,1,NA,NA,NA,NA,NA
"2",2020-03-22,"RR",2,2,NA,NA,NA,NA,NA
"3",2020-03-23,"RR",2,3,NA,NA,NA,NA,NA
"4",2020-03-24,"RR",8,4,NA,NA,NA,NA,NA
"5",2020-03-25,"RR",8,5,NA,NA,NA,NA,NA
"6",2020-03-26,"RR",10,6,NA,NA,NA,NA,NA
"7",2020-03-27,"RR",12,7,NA,NA,NA,NA,NA
"8",2020-03-28,"RR",16,8,NA,NA,NA,NA,NA
"9",2020-03-29,"RR",16,9,NA,NA,NA,NA,NA
"10",2020-03-30,"RR",16,10,NA,NA,NA,NA,NA
"11",2020-03-31,"RR",16,11,NA,NA,NA,NA,NA
"12",2020-04-01,"RR",26,12,NA,NA,NA,NA,NA
"13",2020-04-02,"RR",30,13,NA,NA,NA,NA,NA
"14",2020-04-03,"RR",37,14,NA,NA,NA,NA,NA
"15",2020-04-04,"RR",42,15,NA,NA,NA,NA,NA
"16",2020-04-05,"RR",42,16,NA,NA,NA,NA,NA
"17",2020-04-06,"RR",42,17,NA,NA,NA,NA,NA
"18",2020-04-07,"RR",49,18,NA,NA,NA,NA,NA
"19",2020-04-08,"RR",52,19,NA,NA,NA,NA,NA
"20",2020-04-09,"RR",63,20,NA,NA,NA,NA,NA
"21",2020-04-10,"RR",75,21,NA,NA,NA,NA,NA
"22",2020-04-11,"RR",79,22,NA,NA,NA,NA,NA
"23",2020-04-12,"RR",83,23,NA,NA,NA,NA,NA
"24",2020-04-13,"RR",113,24,NA,NA,NA,NA,NA
"25",2020-04-14,"RR",114,25,NA,NA,NA,NA,NA
"26",2020-04-15,"RR",142,26,NA,NA,NA,NA,NA
"27",2020-04-16,"RR",164,27,NA,NA,NA,NA,NA
"28",2020-04-17,"RR",201,28,NA,NA,NA,NA,NA
"29",2020-04-18,"RR",222,29,NA,NA,NA,NA,NA
"30",2020-04-19,"RR",244,30,NA,NA,NA,NA,NA
"31",2020-04-20,"RR",247,31,NA,NA,NA,NA,NA
"32",2020-04-21,"RR",280,32,NA,NA,NA,NA,NA
"33",2020-04-22,"RR",297,33,NA,NA,NA,NA,NA
"34",2020-04-23,"RR",304,34,NA,NA,NA,NA,NA
"35",2020-04-24,"RR",345,35,NA,NA,NA,NA,NA
"36",2020-04-25,"RR",401,36,NA,NA,NA,NA,NA
"37",2020-04-26,"RR",407,37,NA,NA,NA,NA,NA
"38",2020-04-27,"RR",425,38,NA,NA,NA,NA,NA
"39",2020-04-29,"RR",426,39,NA,NA,NA,NA,NA
"40",2020-04-30,"RR",519,40,NA,NA,NA,NA,NA
"41",2020-05-01,"RR",519,41,NA,NA,NA,NA,NA
"42",2020-05-03,"RR",533,42,NA,NA,NA,NA,NA
"43",2020-05-04,"RR",578,43,NA,NA,NA,NA,NA
"44",2020-05-05,"RR",869,44,NA,NA,NA,NA,NA
"45",2020-05-06,"RR",932,45,NA,NA,NA,NA,NA
"46",2020-05-07,"RR",1020,46,NA,NA,NA,NA,NA
"47",2020-05-08,"RR",1124,47,NA,NA,NA,NA,NA
"48",2020-05-09,"RR",1202,48,NA,NA,NA,NA,NA
"49",2020-05-10,"RR",1290,49,NA,NA,NA,NA,NA
"50",2020-05-11,"RR",1295,50,NA,NA,NA,NA,NA
"51",2020-05-12,"RR",1411,51,NA,NA,NA,NA,NA
"52",2020-05-13,"RR",1411,52,NA,NA,NA,NA,NA
"53",2020-05-14,"RR",1500,53,NA,NA,NA,NA,NA
"54",2020-05-15,"RR",1589,54,NA,NA,NA,NA,NA
"55",2020-05-16,"RR",1706,55,NA,NA,NA,NA,NA
"56",2020-05-17,"RR",1791,56,NA,NA,NA,NA,NA
"57",2020-05-18,"RR",1882,57,NA,NA,NA,NA,NA
"58",2020-05-19,"RR",1988,58,NA,NA,NA,NA,NA
"59",2020-05-20,"RR",1988,59,NA,NA,NA,NA,NA
"60",2020-05-21,"RR",1988,60,NA,NA,NA,NA,NA
"61",2020-05-22,"RR",2296,61,NA,NA,NA,NA,NA
"62",2020-05-23,"RR",2439,62,NA,NA,NA,NA,NA
"63",2020-05-24,"RR",2439,63,NA,NA,NA,NA,NA
"64",2020-05-25,"RR",2564,64,NA,NA,NA,NA,NA
"65",2020-05-26,"RR",2682,65,NA,NA,NA,NA,NA
"66",2020-05-27,"RR",2959,66,NA,NA,NA,NA,NA
"67",2020-05-28,"RR",3098,67,NA,NA,NA,NA,NA
"68",2020-05-29,"RR",3299,68,NA,NA,NA,NA,NA
"69",2020-05-30,"RR",3474,69,NA,NA,NA,NA,NA
"70",2020-05-31,"RR",3692,70,NA,NA,NA,NA,NA
"71",2020-06-01,"RR",3850,71,NA,NA,NA,NA,NA
"72",2020-06-02,"RR",4143,72,NA,NA,NA,NA,NA
"73",2020-06-04,"RR",4831,73,NA,NA,NA,NA,NA
"74",2020-06-05,"RR",5238,74,NA,NA,NA,NA,NA
"75",2020-06-06,"RR",5529,75,NA,NA,NA,NA,NA
"76",2020-06-07,"RR",5768,76,NA,NA,NA,NA,NA
"77",2020-06-08,"RR",6056,77,NA,NA,NA,NA,NA
"78",2020-06-09,"RR",6347,78,NA,NA,NA,NA,NA
"79",2020-06-10,"RR",6594,79,NA,NA,NA,NA,NA
"80",2020-06-11,"RR",6712,80,NA,NA,NA,NA,NA
"81",2020-06-12,"RR",6842,81,NA,NA,NA,NA,NA
"82",2020-06-13,"RR",6875,82,NA,NA,NA,NA,NA
"83",2020-06-14,"RR",6881,83,NA,NA,NA,NA,NA
"84",2020-06-15,"RR",6935,84,NA,NA,NA,NA,NA
