"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-10,"RS",1,1,NA,NA,NA,NA,NA
"2",2020-03-11,"RS",2,2,NA,NA,NA,NA,NA
"3",2020-03-12,"RS",4,3,NA,NA,NA,NA,NA
"4",2020-03-13,"RS",4,4,NA,NA,NA,NA,NA
"5",2020-03-16,"RS",8,5,NA,NA,NA,NA,NA
"6",2020-03-18,"RS",19,6,NA,NA,NA,NA,NA
"7",2020-03-19,"RS",31,7,NA,NA,NA,NA,NA
"8",2020-03-20,"RS",43,8,NA,NA,NA,NA,NA
"9",2020-03-21,"RS",69,9,NA,NA,NA,NA,NA
"10",2020-03-22,"RS",77,10,NA,NA,NA,NA,NA
"11",2020-03-23,"RS",96,11,NA,NA,NA,NA,NA
"12",2020-03-24,"RS",112,12,NA,NA,NA,NA,NA
"13",2020-03-25,"RS",162,13,NA,NA,NA,NA,NA
"14",2020-03-26,"RS",190,14,NA,NA,NA,NA,NA
"15",2020-03-27,"RS",197,15,NA,NA,NA,NA,NA
"16",2020-03-28,"RS",200,16,NA,NA,NA,NA,NA
"17",2020-03-29,"RS",230,17,NA,NA,NA,NA,NA
"18",2020-03-30,"RS",254,18,NA,NA,NA,NA,NA
"19",2020-03-31,"RS",305,19,NA,NA,NA,NA,NA
"20",2020-04-01,"RS",316,20,NA,NA,NA,NA,NA
"21",2020-04-02,"RS",386,21,NA,NA,NA,NA,NA
"22",2020-04-03,"RS",410,22,NA,NA,NA,NA,NA
"23",2020-04-04,"RS",418,23,NA,NA,NA,NA,NA
"24",2020-04-05,"RS",468,24,NA,NA,NA,NA,NA
"25",2020-04-06,"RS",501,25,NA,NA,NA,NA,NA
"26",2020-04-07,"RS",555,26,NA,NA,NA,NA,NA
"27",2020-04-08,"RS",581,27,NA,NA,NA,NA,NA
"28",2020-04-09,"RS",636,28,NA,NA,NA,NA,NA
"29",2020-04-10,"RS",640,29,NA,NA,NA,NA,NA
"30",2020-04-11,"RS",653,30,NA,NA,NA,NA,NA
"31",2020-04-12,"RS",664,31,NA,NA,NA,NA,NA
"32",2020-04-13,"RS",685,32,NA,NA,NA,NA,NA
"33",2020-04-14,"RS",720,33,NA,NA,NA,NA,NA
"34",2020-04-15,"RS",762,34,NA,NA,NA,NA,NA
"35",2020-04-16,"RS",792,35,NA,NA,NA,NA,NA
"36",2020-04-17,"RS",831,36,NA,NA,NA,NA,NA
"37",2020-04-18,"RS",854,37,NA,NA,NA,NA,NA
"38",2020-04-19,"RS",869,38,NA,NA,NA,NA,NA
"39",2020-04-20,"RS",904,39,NA,NA,NA,NA,NA
"40",2020-04-21,"RS",918,40,NA,NA,NA,NA,NA
"41",2020-04-22,"RS",970,41,NA,NA,NA,NA,NA
"42",2020-04-23,"RS",1039,42,NA,NA,NA,NA,NA
"43",2020-04-24,"RS",1096,43,NA,NA,NA,NA,NA
"44",2020-04-25,"RS",1166,44,NA,NA,NA,NA,NA
"45",2020-04-26,"RS",1208,45,NA,NA,NA,NA,NA
"46",2020-04-27,"RS",1256,46,NA,NA,NA,NA,NA
"47",2020-04-28,"RS",1350,47,NA,NA,NA,NA,NA
"48",2020-04-29,"RS",1420,48,NA,NA,NA,NA,NA
"49",2020-04-30,"RS",1529,49,NA,NA,NA,NA,NA
"50",2020-05-01,"RS",1619,50,NA,NA,NA,NA,NA
"51",2020-05-02,"RS",1666,51,NA,NA,NA,NA,NA
"52",2020-05-03,"RS",1690,52,NA,NA,NA,NA,NA
"53",2020-05-04,"RS",1768,53,NA,NA,NA,NA,NA
"54",2020-05-05,"RS",2019,54,NA,NA,NA,NA,NA
"55",2020-05-06,"RS",2100,55,NA,NA,NA,NA,NA
"56",2020-05-07,"RS",2182,56,NA,NA,NA,NA,NA
"57",2020-05-08,"RS",2493,57,NA,NA,NA,NA,NA
"58",2020-05-09,"RS",2542,58,NA,NA,NA,NA,NA
"59",2020-05-10,"RS",2576,59,NA,NA,NA,NA,NA
"60",2020-05-11,"RS",2808,60,NA,NA,NA,NA,NA
"61",2020-05-12,"RS",2917,61,NA,NA,NA,NA,NA
"62",2020-05-13,"RS",2997,62,NA,NA,NA,NA,NA
"63",2020-05-14,"RS",3101,63,NA,NA,NA,NA,NA
"64",2020-05-15,"RS",3695,64,NA,NA,NA,NA,NA
"65",2020-05-16,"RS",3734,65,NA,NA,NA,NA,NA
"66",2020-05-17,"RS",3735,66,NA,NA,NA,NA,NA
"67",2020-05-18,"RS",3750,67,NA,NA,NA,NA,NA
"68",2020-05-19,"RS",3798,68,NA,NA,NA,NA,NA
"69",2020-05-20,"RS",4973,69,NA,NA,NA,NA,NA
"70",2020-05-21,"RS",5473,70,NA,NA,NA,NA,NA
"71",2020-05-22,"RS",5918,71,NA,NA,NA,NA,NA
"72",2020-05-23,"RS",6336,72,NA,NA,NA,NA,NA
"73",2020-05-24,"RS",6470,73,NA,NA,NA,NA,NA
"74",2020-05-25,"RS",6559,74,NA,NA,NA,NA,NA
"75",2020-05-26,"RS",6785,75,NA,NA,NA,NA,NA
"76",2020-05-27,"RS",7048,76,NA,NA,NA,NA,NA
"77",2020-05-28,"RS",8234,77,NA,NA,NA,NA,NA
"78",2020-05-29,"RS",8843,78,NA,NA,NA,NA,NA
"79",2020-05-30,"RS",9242,79,NA,NA,NA,NA,NA
"80",2020-05-31,"RS",9332,80,NA,NA,NA,NA,NA
"81",2020-06-01,"RS",9496,81,NA,NA,NA,NA,NA
"82",2020-06-02,"RS",9919,82,NA,NA,NA,NA,NA
"83",2020-06-03,"RS",10398,83,NA,NA,NA,NA,NA
"84",2020-06-04,"RS",11010,84,NA,NA,NA,NA,NA
"85",2020-06-05,"RS",11583,85,NA,NA,NA,NA,NA
"86",2020-06-06,"RS",12037,86,NA,NA,NA,NA,NA
"87",2020-06-07,"RS",12135,87,NA,NA,NA,NA,NA
"88",2020-06-08,"RS",12250,88,NA,NA,NA,NA,NA
"89",2020-06-09,"RS",12802,89,NA,NA,NA,NA,NA
"90",2020-06-10,"RS",13619,90,NA,NA,NA,NA,NA
"91",2020-06-11,"RS",14168,91,NA,NA,NA,NA,NA
"92",2020-06-12,"RS",14384,92,NA,NA,NA,NA,NA
"93",2020-06-13,"RS",14627,93,NA,NA,NA,NA,NA
"94",2020-06-14,"RS",14661,94,NA,NA,NA,NA,NA
"95",2020-06-15,"RS",15438,95,NA,NA,NA,NA,NA
"96",2020-06-16,"RS",16471,96,NA,NA,NA,NA,NA
"97",2020-06-17,"RS",17128,97,NA,NA,NA,NA,NA
"98",2020-06-18,"RS",17822,98,NA,NA,NA,NA,NA
"99",2020-06-19,"RS",18587,99,NA,NA,NA,NA,NA
"100",2020-06-20,"RS",19138,100,NA,NA,NA,NA,NA
"101",2020-06-21,"RS",19348,101,NA,NA,NA,NA,NA
"102",2020-06-22,"RS",19710,102,NA,NA,NA,NA,NA
"103",2020-06-23,"RS",20864,103,NA,NA,NA,NA,NA
"104",2020-06-24,"RS",22009,104,NA,NA,NA,NA,NA
"105",2020-06-25,"RS",23060,105,NA,NA,NA,NA,NA
"106",2020-06-26,"RS",24114,106,NA,NA,NA,NA,NA
