"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-12,"SC",2,1,NA,NA,NA,NA,NA
"2",2020-03-13,"SC",3,2,NA,NA,NA,NA,NA
"3",2020-03-14,"SC",5,3,NA,NA,NA,NA,NA
"4",2020-03-15,"SC",6,4,NA,NA,NA,NA,NA
"5",2020-03-16,"SC",7,5,NA,NA,NA,NA,NA
"6",2020-03-17,"SC",7,6,NA,NA,NA,NA,NA
"7",2020-03-18,"SC",14,7,NA,NA,NA,NA,NA
"8",2020-03-19,"SC",21,8,NA,NA,NA,NA,NA
"9",2020-03-20,"SC",40,9,NA,NA,NA,NA,NA
"10",2020-03-21,"SC",57,10,NA,NA,NA,NA,NA
"11",2020-03-22,"SC",68,11,NA,NA,NA,NA,NA
"12",2020-03-23,"SC",86,12,NA,NA,NA,NA,NA
"13",2020-03-24,"SC",109,13,NA,NA,NA,NA,NA
"14",2020-03-25,"SC",122,14,NA,NA,NA,NA,NA
"15",2020-03-26,"SC",149,15,NA,NA,NA,NA,NA
"16",2020-03-27,"SC",163,16,NA,NA,NA,NA,NA
"17",2020-03-28,"SC",184,17,NA,NA,NA,NA,NA
"18",2020-03-29,"SC",197,18,NA,NA,NA,NA,NA
"19",2020-03-30,"SC",219,19,NA,NA,NA,NA,NA
"20",2020-03-31,"SC",235,20,NA,NA,NA,NA,NA
"21",2020-04-01,"SC",247,21,NA,NA,NA,NA,NA
"22",2020-04-02,"SC",281,22,NA,NA,NA,NA,NA
"23",2020-04-03,"SC",301,23,NA,NA,NA,NA,NA
"24",2020-04-04,"SC",356,24,NA,NA,NA,NA,NA
"25",2020-04-05,"SC",379,25,NA,NA,NA,NA,NA
"26",2020-04-06,"SC",417,26,NA,NA,NA,NA,NA
"27",2020-04-07,"SC",457,27,NA,NA,NA,NA,NA
"28",2020-04-08,"SC",501,28,NA,NA,NA,NA,NA
"29",2020-04-09,"SC",693,29,NA,NA,NA,NA,NA
"30",2020-04-10,"SC",717,30,NA,NA,NA,NA,NA
"31",2020-04-11,"SC",732,31,NA,NA,NA,NA,NA
"32",2020-04-12,"SC",776,32,NA,NA,NA,NA,NA
"33",2020-04-13,"SC",826,33,NA,NA,NA,NA,NA
"34",2020-04-14,"SC",853,34,NA,NA,NA,NA,NA
"35",2020-04-15,"SC",884,35,NA,NA,NA,NA,NA
"36",2020-04-16,"SC",926,36,NA,NA,NA,NA,NA
"37",2020-04-17,"SC",962,37,NA,NA,NA,NA,NA
"38",2020-04-18,"SC",975,38,NA,NA,NA,NA,NA
"39",2020-04-19,"SC",1025,39,NA,NA,NA,NA,NA
"40",2020-04-20,"SC",1063,40,NA,NA,NA,NA,NA
"41",2020-04-21,"SC",1091,41,NA,NA,NA,NA,NA
"42",2020-04-22,"SC",1115,42,NA,NA,NA,NA,NA
"43",2020-04-23,"SC",1170,43,NA,NA,NA,NA,NA
"44",2020-04-24,"SC",1209,44,NA,NA,NA,NA,NA
"45",2020-04-25,"SC",1235,45,NA,NA,NA,NA,NA
"46",2020-04-26,"SC",1337,46,NA,NA,NA,NA,NA
"47",2020-04-27,"SC",1476,47,NA,NA,NA,NA,NA
"48",2020-04-28,"SC",1995,48,NA,NA,NA,NA,NA
"49",2020-04-29,"SC",2085,49,NA,NA,NA,NA,NA
"50",2020-04-30,"SC",2394,50,NA,NA,NA,NA,NA
"51",2020-05-01,"SC",2104,51,NA,NA,NA,NA,NA
"52",2020-05-02,"SC",2346,52,NA,NA,NA,NA,NA
"53",2020-05-03,"SC",2519,53,NA,NA,NA,NA,NA
"54",2020-05-04,"SC",2623,54,NA,NA,NA,NA,NA
"55",2020-05-05,"SC",2795,55,NA,NA,NA,NA,NA
"56",2020-05-06,"SC",2917,56,NA,NA,NA,NA,NA
"57",2020-05-07,"SC",3082,57,NA,NA,NA,NA,NA
"58",2020-05-08,"SC",3205,58,NA,NA,NA,NA,NA
"59",2020-05-09,"SC",3372,59,NA,NA,NA,NA,NA
"60",2020-05-10,"SC",3429,60,NA,NA,NA,NA,NA
"61",2020-05-11,"SC",3529,61,NA,NA,NA,NA,NA
"62",2020-05-12,"SC",3733,62,NA,NA,NA,NA,NA
"63",2020-05-13,"SC",3828,63,NA,NA,NA,NA,NA
"64",2020-05-14,"SC",4332,64,NA,NA,NA,NA,NA
"65",2020-05-15,"SC",4562,65,NA,NA,NA,NA,NA
"66",2020-05-16,"SC",4678,66,NA,NA,NA,NA,NA
"67",2020-05-17,"SC",4776,67,NA,NA,NA,NA,NA
"68",2020-05-18,"SC",5175,68,NA,NA,NA,NA,NA
"69",2020-05-19,"SC",5413,69,NA,NA,NA,NA,NA
"70",2020-05-20,"SC",5499,70,NA,NA,NA,NA,NA
"71",2020-05-21,"SC",5610,71,NA,NA,NA,NA,NA
"72",2020-05-22,"SC",6458,72,NA,NA,NA,NA,NA
"73",2020-05-23,"SC",6607,73,NA,NA,NA,NA,NA
"74",2020-05-24,"SC",6696,74,NA,NA,NA,NA,NA
"75",2020-05-25,"SC",6875,75,NA,NA,NA,NA,NA
"76",2020-05-26,"SC",7016,76,NA,NA,NA,NA,NA
"77",2020-05-27,"SC",7372,77,NA,NA,NA,NA,NA
"78",2020-05-28,"SC",8000,78,NA,NA,NA,NA,NA
"79",2020-05-29,"SC",8530,79,NA,NA,NA,NA,NA
"80",2020-05-30,"SC",8780,80,NA,NA,NA,NA,NA
"81",2020-05-31,"SC",9037,81,NA,NA,NA,NA,NA
"82",2020-06-01,"SC",9498,82,NA,NA,NA,NA,NA
"83",2020-06-02,"SC",9660,83,NA,NA,NA,NA,NA
"84",2020-06-03,"SC",10034,84,NA,NA,NA,NA,NA
"85",2020-06-04,"SC",10532,85,NA,NA,NA,NA,NA
"86",2020-06-05,"SC",10846,86,NA,NA,NA,NA,NA
"87",2020-06-06,"SC",11285,87,NA,NA,NA,NA,NA
"88",2020-06-07,"SC",11565,88,NA,NA,NA,NA,NA
"89",2020-06-08,"SC",11742,89,NA,NA,NA,NA,NA
"90",2020-06-09,"SC",12192,90,NA,NA,NA,NA,NA
"91",2020-06-10,"SC",12594,91,NA,NA,NA,NA,NA
"92",2020-06-11,"SC",12953,92,NA,NA,NA,NA,NA
"93",2020-06-12,"SC",13165,93,NA,NA,NA,NA,NA
"94",2020-06-13,"SC",13296,94,NA,NA,NA,NA,NA
"95",2020-06-14,"SC",13360,95,NA,NA,NA,NA,NA
"96",2020-06-15,"SC",13960,96,NA,NA,NA,NA,NA
"97",2020-06-16,"SC",14402,97,NA,NA,NA,NA,NA
"98",2020-06-17,"SC",15015,98,NA,NA,NA,NA,NA
"99",2020-06-18,"SC",15573,99,NA,NA,NA,NA,NA
"100",2020-06-19,"SC",16332,100,NA,NA,NA,NA,NA
"101",2020-06-20,"SC",17108,101,NA,NA,NA,NA,NA
"102",2020-06-21,"SC",17582,102,NA,NA,NA,NA,NA
"103",2020-06-22,"SC",17937,103,NA,NA,NA,NA,NA
"104",2020-06-23,"SC",19244,104,NA,NA,NA,NA,NA
"105",2020-06-24,"SC",20921,105,NA,NA,NA,NA,NA
"106",2020-06-25,"SC",21951,106,NA,NA,NA,NA,NA
"107",2020-06-26,"SC",22947,107,NA,NA,NA,NA,NA
"108",2020-06-27,"SC",23808,108,NA,NA,NA,NA,NA
"109",2020-06-28,"SC",24364,109,NA,NA,NA,NA,NA
"110",2020-06-29,"SC",25056,110,NA,NA,NA,NA,NA
"111",2020-06-30,"SC",26354,111,NA,NA,NA,NA,NA
"112",2020-07-01,"SC",27279,112,NA,NA,NA,NA,NA
"113",2020-07-02,"SC",28575,113,NA,NA,NA,NA,NA
"114",2020-07-03,"SC",30261,114,NA,NA,NA,NA,NA
"115",2020-07-04,"SC",31931,115,NA,NA,NA,NA,NA
"116",2020-07-05,"SC",32969,116,NA,NA,NA,NA,NA
"117",2020-07-06,"SC",33822,117,NA,NA,NA,NA,NA
"118",2020-07-07,"SC",35343,118,NA,NA,NA,NA,NA
"119",2020-07-08,"SC",36810,119,NA,NA,NA,NA,NA
"120",2020-07-09,"SC",38408,120,NA,NA,NA,NA,NA
"121",2020-07-10,"SC",40106,121,NA,NA,NA,NA,NA
"122",2020-07-11,"SC",42026,122,NA,NA,NA,NA,NA
"123",2020-07-12,"SC",43031,123,NA,NA,NA,NA,NA
"124",2020-07-13,"SC",43815,124,NA,NA,NA,NA,NA
"125",2020-07-14,"SC",46050,125,NA,NA,NA,NA,NA
"126",2020-07-15,"SC",47976,126,NA,NA,NA,NA,NA
"127",2020-07-16,"SC",49781,127,NA,NA,NA,NA,NA
"128",2020-07-17,"SC",51549,128,NA,NA,NA,NA,NA
"129",2020-07-18,"SC",52531,129,NA,NA,NA,NA,NA
"130",2020-07-19,"SC",53336,130,NA,NA,NA,NA,NA
"131",2020-07-20,"SC",54414,131,NA,NA,NA,NA,NA
"132",2020-07-21,"SC",56475,132,NA,NA,NA,NA,NA
"133",2020-07-22,"SC",59556,133,NA,NA,NA,NA,NA
"134",2020-07-23,"SC",62282,134,NA,NA,NA,NA,NA
"135",2020-07-24,NA,NA,135,63962.785518477,63626.5581798489,64299.012857105,63448.5701782236,64477.0008587303
"136",2020-07-25,NA,NA,136,65003.1484484005,64377.6387355436,65628.6581612574,64046.5138953004,65959.7830015006
"137",2020-07-26,NA,NA,137,66117.3782717792,65275.0914099915,66959.6651335669,64829.2116789246,67405.5448646338
"138",2020-07-27,NA,NA,138,67825.6439102136,66828.5954101561,68822.692410271,66300.7898165573,69350.4980038699
"139",2020-07-28,NA,NA,139,70174.5767588945,69037.6418327698,71311.5116850192,68435.7848383188,71913.3686794703
"140",2020-07-29,NA,NA,140,72807.1815332272,71490.8377002554,74123.5253661989,70794.0073674263,74820.355699028
"141",2020-07-30,NA,NA,141,75266.3656099626,73689.1454882628,76843.5857316624,72854.2155901467,77678.5156297785
"142",2020-07-31,NA,NA,142,77296.8242641031,75376.3855765798,79217.2629516265,74359.7667447176,80233.8817834887
"143",2020-08-01,NA,NA,143,78960.0077807594,76653.3301548066,81266.6854067122,75432.2487795907,82487.7667819281
