"","date","state","confirmed","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-18,"TO",1,1,NA,NA,NA,NA,NA
"2",2020-03-19,"TO",1,2,NA,NA,NA,NA,NA
"3",2020-03-20,"TO",1,3,NA,NA,NA,NA,NA
"4",2020-03-21,"TO",2,4,NA,NA,NA,NA,NA
"5",2020-03-22,"TO",5,5,NA,NA,NA,NA,NA
"6",2020-03-23,"TO",7,6,NA,NA,NA,NA,NA
"7",2020-03-24,"TO",7,7,NA,NA,NA,NA,NA
"8",2020-03-25,"TO",7,8,NA,NA,NA,NA,NA
"9",2020-03-26,"TO",8,9,NA,NA,NA,NA,NA
"10",2020-03-27,"TO",9,10,NA,NA,NA,NA,NA
"11",2020-03-28,"TO",9,11,NA,NA,NA,NA,NA
"12",2020-03-29,"TO",10,12,NA,NA,NA,NA,NA
"13",2020-03-30,"TO",11,13,NA,NA,NA,NA,NA
"14",2020-03-31,"TO",12,14,NA,NA,NA,NA,NA
"15",2020-04-01,"TO",12,15,NA,NA,NA,NA,NA
"16",2020-04-02,"TO",12,16,NA,NA,NA,NA,NA
"17",2020-04-03,"TO",13,17,NA,NA,NA,NA,NA
"18",2020-04-04,"TO",16,18,NA,NA,NA,NA,NA
"19",2020-04-05,"TO",17,19,NA,NA,NA,NA,NA
"20",2020-04-06,"TO",19,20,NA,NA,NA,NA,NA
"21",2020-04-07,"TO",19,21,NA,NA,NA,NA,NA
"22",2020-04-08,"TO",23,22,NA,NA,NA,NA,NA
"23",2020-04-09,"TO",23,23,NA,NA,NA,NA,NA
"24",2020-04-10,"TO",23,24,NA,NA,NA,NA,NA
"25",2020-04-11,"TO",25,25,NA,NA,NA,NA,NA
"26",2020-04-12,"TO",26,26,NA,NA,NA,NA,NA
"27",2020-04-13,"TO",26,27,NA,NA,NA,NA,NA
"28",2020-04-14,"TO",27,28,NA,NA,NA,NA,NA
"29",2020-04-15,"TO",29,29,NA,NA,NA,NA,NA
"30",2020-04-16,"TO",31,30,NA,NA,NA,NA,NA
"31",2020-04-17,"TO",32,31,NA,NA,NA,NA,NA
"32",2020-04-18,"TO",33,32,NA,NA,NA,NA,NA
"33",2020-04-19,"TO",34,33,NA,NA,NA,NA,NA
"34",2020-04-20,"TO",35,34,NA,NA,NA,NA,NA
"35",2020-04-21,"TO",36,35,NA,NA,NA,NA,NA
"36",2020-04-22,"TO",37,36,NA,NA,NA,NA,NA
"37",2020-04-23,"TO",43,37,NA,NA,NA,NA,NA
"38",2020-04-24,"TO",50,38,NA,NA,NA,NA,NA
"39",2020-04-25,"TO",58,39,NA,NA,NA,NA,NA
"40",2020-04-26,"TO",67,40,NA,NA,NA,NA,NA
"41",2020-04-27,"TO",79,41,NA,NA,NA,NA,NA
"42",2020-04-28,"TO",116,42,NA,NA,NA,NA,NA
"43",2020-04-29,"TO",137,43,NA,NA,NA,NA,NA
"44",2020-04-30,"TO",164,44,NA,NA,NA,NA,NA
"45",2020-05-01,"TO",191,45,NA,NA,NA,NA,NA
"46",2020-05-02,"TO",246,46,NA,NA,NA,NA,NA
"47",2020-05-03,"TO",267,47,NA,NA,NA,NA,NA
"48",2020-05-04,"TO",303,48,NA,NA,NA,NA,NA
"49",2020-05-05,"TO",351,49,NA,NA,NA,NA,NA
"50",2020-05-06,"TO",423,50,NA,NA,NA,NA,NA
"51",2020-05-07,"TO",494,51,NA,NA,NA,NA,NA
"52",2020-05-08,"TO",572,52,NA,NA,NA,NA,NA
"53",2020-05-09,"TO",688,53,NA,NA,NA,NA,NA
"54",2020-05-10,"TO",747,54,NA,NA,NA,NA,NA
"55",2020-05-11,"TO",828,55,NA,NA,NA,NA,NA
"56",2020-05-12,"TO",932,56,NA,NA,NA,NA,NA
"57",2020-05-13,"TO",1029,57,NA,NA,NA,NA,NA
"58",2020-05-14,"TO",1179,58,NA,NA,NA,NA,NA
"59",2020-05-15,"TO",1279,59,NA,NA,NA,NA,NA
"60",2020-05-17,"TO",1496,60,NA,NA,NA,NA,NA
"61",2020-05-18,"TO",1646,61,NA,NA,NA,NA,NA
"62",2020-05-19,"TO",1809,62,NA,NA,NA,NA,NA
"63",2020-05-20,"TO",1976,63,NA,NA,NA,NA,NA
"64",2020-05-21,"TO",2205,64,NA,NA,NA,NA,NA
"65",2020-05-22,"TO",2430,65,NA,NA,NA,NA,NA
"66",2020-05-23,"TO",2430,66,NA,NA,NA,NA,NA
"67",2020-05-25,"TO",2696,67,NA,NA,NA,NA,NA
"68",2020-05-26,"TO",2858,68,NA,NA,NA,NA,NA
"69",2020-05-28,"TO",3277,69,NA,NA,NA,NA,NA
"70",2020-05-29,"TO",3611,70,NA,NA,NA,NA,NA
"71",2020-05-30,"TO",3981,71,NA,NA,NA,NA,NA
"72",2020-05-31,"TO",4176,72,NA,NA,NA,NA,NA
"73",2020-06-01,"TO",4345,73,NA,NA,NA,NA,NA
"74",2020-06-02,"TO",4483,74,NA,NA,NA,NA,NA
"75",2020-06-03,"TO",4698,75,NA,NA,NA,NA,NA
"76",2020-06-05,"TO",5505,76,NA,NA,NA,NA,NA
"77",2020-06-06,"TO",5644,77,NA,NA,NA,NA,NA
"78",2020-06-07,"TO",5644,78,NA,NA,NA,NA,NA
"79",2020-06-08,"TO",6052,79,NA,NA,NA,NA,NA
"80",2020-06-09,"TO",6257,80,NA,NA,NA,NA,NA
"81",2020-06-10,"TO",6529,81,NA,NA,NA,NA,NA
"82",2020-06-11,"TO",6744,82,NA,NA,NA,NA,NA
"83",2020-06-12,"TO",6931,83,NA,NA,NA,NA,NA
"84",2020-06-13,"TO",6972,84,NA,NA,NA,NA,NA
"85",2020-06-14,"TO",7137,85,NA,NA,NA,NA,NA
"86",2020-06-15,"TO",7309,86,NA,NA,NA,NA,NA
"87",2020-06-16,"TO",7573,87,NA,NA,NA,NA,NA
"88",2020-06-17,"TO",7774,88,NA,NA,NA,NA,NA
"89",2020-06-18,"TO",7956,89,NA,NA,NA,NA,NA
"90",2020-06-19,"TO",8203,90,NA,NA,NA,NA,NA
"91",2020-06-20,"TO",8354,91,NA,NA,NA,NA,NA
"92",2020-06-21,"TO",8477,92,NA,NA,NA,NA,NA
"93",2020-06-22,"TO",8766,93,NA,NA,NA,NA,NA
