"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-08,"AL",0,1,NA,NA,NA,NA,NA
"2",2020-03-09,"AL",0,2,NA,NA,NA,NA,NA
"3",2020-03-10,"AL",0,3,NA,NA,NA,NA,NA
"4",2020-03-12,"AL",0,4,NA,NA,NA,NA,NA
"5",2020-03-13,"AL",0,5,NA,NA,NA,NA,NA
"6",2020-03-16,"AL",0,6,NA,NA,NA,NA,NA
"7",2020-03-17,"AL",0,7,NA,NA,NA,NA,NA
"8",2020-03-18,"AL",0,8,NA,NA,NA,NA,NA
"9",2020-03-19,"AL",0,9,NA,NA,NA,NA,NA
"10",2020-03-20,"AL",0,10,NA,NA,NA,NA,NA
"11",2020-03-21,"AL",0,11,NA,NA,NA,NA,NA
"12",2020-03-22,"AL",0,12,NA,NA,NA,NA,NA
"13",2020-03-23,"AL",0,13,NA,NA,NA,NA,NA
"14",2020-03-24,"AL",0,14,NA,NA,NA,NA,NA
"15",2020-03-25,"AL",0,15,NA,NA,NA,NA,NA
"16",2020-03-26,"AL",0,16,NA,NA,NA,NA,NA
"17",2020-03-27,"AL",0,17,NA,NA,NA,NA,NA
"18",2020-03-28,"AL",0,18,NA,NA,NA,NA,NA
"19",2020-03-29,"AL",0,19,NA,NA,NA,NA,NA
"20",2020-03-30,"AL",0,20,NA,NA,NA,NA,NA
"21",2020-03-31,"AL",1,21,NA,NA,NA,NA,NA
"22",2020-04-01,"AL",1,22,NA,NA,NA,NA,NA
"23",2020-04-02,"AL",1,23,NA,NA,NA,NA,NA
"24",2020-04-03,"AL",2,24,NA,NA,NA,NA,NA
"25",2020-04-04,"AL",2,25,NA,NA,NA,NA,NA
"26",2020-04-05,"AL",2,26,NA,NA,NA,NA,NA
"27",2020-04-06,"AL",2,27,NA,NA,NA,NA,NA
"28",2020-04-07,"AL",2,28,NA,NA,NA,NA,NA
"29",2020-04-08,"AL",3,29,NA,NA,NA,NA,NA
"30",2020-04-09,"AL",3,30,NA,NA,NA,NA,NA
"31",2020-04-10,"AL",3,31,NA,NA,NA,NA,NA
"32",2020-04-11,"AL",3,32,NA,NA,NA,NA,NA
"33",2020-04-12,"AL",3,33,NA,NA,NA,NA,NA
"34",2020-04-13,"AL",4,34,NA,NA,NA,NA,NA
"35",2020-04-14,"AL",4,35,NA,NA,NA,NA,NA
"36",2020-04-15,"AL",5,36,NA,NA,NA,NA,NA
"37",2020-04-16,"AL",5,37,NA,NA,NA,NA,NA
"38",2020-04-17,"AL",7,38,NA,NA,NA,NA,NA
"39",2020-04-18,"AL",10,39,NA,NA,NA,NA,NA
"40",2020-04-19,"AL",15,40,NA,NA,NA,NA,NA
"41",2020-04-20,"AL",18,41,NA,NA,NA,NA,NA
"42",2020-04-21,"AL",19,42,NA,NA,NA,NA,NA
"43",2020-04-22,"AL",20,43,NA,NA,NA,NA,NA
"44",2020-04-23,"AL",22,44,NA,NA,NA,NA,NA
"45",2020-04-24,"AL",27,45,NA,NA,NA,NA,NA
"46",2020-04-25,"AL",29,46,NA,NA,NA,NA,NA
"47",2020-04-26,"AL",32,47,NA,NA,NA,NA,NA
"48",2020-04-27,"AL",34,48,NA,NA,NA,NA,NA
"49",2020-04-28,"AL",36,49,NA,NA,NA,NA,NA
"50",2020-04-29,"AL",41,50,NA,NA,NA,NA,NA
"51",2020-04-30,"AL",47,51,NA,NA,NA,NA,NA
"52",2020-05-01,"AL",53,52,NA,NA,NA,NA,NA
"53",2020-05-02,"AL",58,53,NA,NA,NA,NA,NA
"54",2020-05-03,"AL",64,54,NA,NA,NA,NA,NA
"55",2020-05-04,"AL",72,55,NA,NA,NA,NA,NA
"56",2020-05-05,"AL",80,56,NA,NA,NA,NA,NA
"57",2020-05-06,"AL",89,57,NA,NA,NA,NA,NA
"58",2020-05-07,"AL",98,58,NA,NA,NA,NA,NA
"59",2020-05-08,"AL",108,59,NA,NA,NA,NA,NA
"60",2020-05-09,"AL",114,60,NA,NA,NA,NA,NA
"61",2020-05-10,"AL",126,61,NA,NA,NA,NA,NA
"62",2020-05-11,"AL",138,62,NA,NA,NA,NA,NA
"63",2020-05-12,"AL",150,63,NA,NA,NA,NA,NA
"64",2020-05-13,"AL",164,64,NA,NA,NA,NA,NA
"65",2020-05-14,"AL",177,65,NA,NA,NA,NA,NA
"66",2020-05-15,"AL",187,66,NA,NA,NA,NA,NA
"67",2020-05-16,"AL",199,67,NA,NA,NA,NA,NA
"68",2020-05-17,"AL",210,68,NA,NA,NA,NA,NA
"69",2020-05-18,"AL",221,69,NA,NA,NA,NA,NA
"70",2020-05-19,"AL",234,70,NA,NA,NA,NA,NA
"71",2020-05-20,"AL",251,71,NA,NA,NA,NA,NA
"72",2020-05-21,"AL",262,72,NA,NA,NA,NA,NA
"73",2020-05-22,"AL",280,73,NA,NA,NA,NA,NA
"74",2020-05-23,"AL",301,74,NA,NA,NA,NA,NA
"75",2020-05-24,"AL",316,75,NA,NA,NA,NA,NA
"76",2020-05-25,"AL",337,76,NA,NA,NA,NA,NA
"77",2020-05-26,"AL",352,77,NA,NA,NA,NA,NA
"78",2020-05-27,"AL",368,78,NA,NA,NA,NA,NA
"79",2020-05-28,"AL",385,79,NA,NA,NA,NA,NA
"80",2020-05-29,"AL",406,80,NA,NA,NA,NA,NA
"81",2020-05-30,"AL",424,81,NA,NA,NA,NA,NA
"82",2020-05-31,"AL",443,82,NA,NA,NA,NA,NA
"83",2020-06-01,"AL",461,83,NA,NA,NA,NA,NA
"84",2020-06-02,"AL",482,84,NA,NA,NA,NA,NA
"85",2020-06-03,"AL",506,85,NA,NA,NA,NA,NA
"86",2020-06-04,"AL",531,86,NA,NA,NA,NA,NA
"87",2020-06-05,"AL",557,87,NA,NA,NA,NA,NA
"88",2020-06-06,"AL",582,88,NA,NA,NA,NA,NA
"89",2020-06-07,"AL",601,89,NA,NA,NA,NA,NA
"90",2020-06-08,"AL",622,90,NA,NA,NA,NA,NA
"91",2020-06-09,"AL",640,91,NA,NA,NA,NA,NA
"92",2020-06-10,"AL",660,92,NA,NA,NA,NA,NA
"93",2020-06-11,"AL",681,93,NA,NA,NA,NA,NA
"94",2020-06-12,"AL",701,94,NA,NA,NA,NA,NA
"95",2020-06-13,"AL",723,95,NA,NA,NA,NA,NA
"96",2020-06-14,"AL",744,96,NA,NA,NA,NA,NA
"97",2020-06-15,"AL",768,97,NA,NA,NA,NA,NA
"98",2020-06-16,"AL",793,98,NA,NA,NA,NA,NA
"99",2020-06-17,"AL",811,99,NA,NA,NA,NA,NA
"100",2020-06-18,"AL",831,100,NA,NA,NA,NA,NA
"101",2020-06-19,"AL",848,101,NA,NA,NA,NA,NA
"102",2020-06-20,"AL",866,102,NA,NA,NA,NA,NA
"103",2020-06-21,"AL",884,103,NA,NA,NA,NA,NA
"104",2020-06-22,"AL",903,104,NA,NA,NA,NA,NA
"105",2020-06-23,"AL",920,105,NA,NA,NA,NA,NA
"106",2020-06-24,"AL",938,106,NA,NA,NA,NA,NA
"107",2020-06-25,"AL",958,107,NA,NA,NA,NA,NA
"108",2020-06-26,"AL",975,108,NA,NA,NA,NA,NA
"109",2020-06-27,"AL",993,109,NA,NA,NA,NA,NA
"110",2020-06-28,"AL",1012,110,NA,NA,NA,NA,NA
"111",2020-06-29,"AL",1032,111,NA,NA,NA,NA,NA
"112",2020-06-30,"AL",1052,112,NA,NA,NA,NA,NA
"113",2020-07-01,"AL",1072,113,NA,NA,NA,NA,NA
"114",2020-07-02,"AL",1091,114,NA,NA,NA,NA,NA
"115",2020-07-03,"AL",1113,115,NA,NA,NA,NA,NA
"116",2020-07-04,"AL",1134,116,NA,NA,NA,NA,NA
"117",2020-07-05,"AL",1153,117,NA,NA,NA,NA,NA
"118",2020-07-06,"AL",1172,118,NA,NA,NA,NA,NA
"119",2020-07-07,"AL",1192,119,NA,NA,NA,NA,NA
"120",2020-07-08,"AL",1213,120,NA,NA,NA,NA,NA
"121",2020-07-09,"AL",1230,121,NA,NA,NA,NA,NA
"122",2020-07-10,"AL",1246,122,NA,NA,NA,NA,NA
"123",2020-07-11,"AL",1264,123,NA,NA,NA,NA,NA
"124",2020-07-12,"AL",1281,124,NA,NA,NA,NA,NA
"125",2020-07-13,"AL",1297,125,NA,NA,NA,NA,NA
"126",2020-07-14,"AL",1314,126,NA,NA,NA,NA,NA
"127",2020-07-15,"AL",1331,127,NA,NA,NA,NA,NA
"128",2020-07-16,"AL",1348,128,NA,NA,NA,NA,NA
"129",2020-07-17,"AL",1365,129,NA,NA,NA,NA,NA
"130",2020-07-18,"AL",1381,130,NA,NA,NA,NA,NA
"131",2020-07-19,"AL",1397,131,NA,NA,NA,NA,NA
"132",2020-07-20,"AL",1413,132,NA,NA,NA,NA,NA
"133",2020-07-21,"AL",1428,133,NA,NA,NA,NA,NA
"134",2020-07-22,"AL",1443,134,NA,NA,NA,NA,NA
"135",2020-07-23,"AL",1457,135,NA,NA,NA,NA,NA
"136",2020-07-24,NA,NA,136,1471.57392456498,1469.09462199699,1474.05322713298,1467.78215849743,1475.36569063253
"137",2020-07-25,NA,NA,137,1486.14784912996,1481.60396196014,1490.69173629978,1479.198573391,1493.09712486892
"138",2020-07-26,NA,NA,138,1500.72177369494,1493.86391997718,1507.57962741271,1490.2335915106,1511.20995587929
"139",2020-07-27,NA,NA,139,1515.29569825992,1505.87089419408,1524.72050232576,1500.88170429586,1529.70969222398
"140",2020-07-28,NA,NA,140,1529.86962282491,1517.63984432092,1542.0994013289,1511.16579064899,1548.57345500082
"141",2020-07-29,NA,NA,141,1544.44354738989,1529.1863504391,1559.70074434067,1521.10967824833,1567.77741653144
"142",2020-07-30,NA,NA,142,1559.01747195487,1540.52420532229,1577.51073858745,1530.73446132084,1587.30048258889
"143",2020-07-31,NA,NA,143,1573.59139651985,1551.66528679761,1595.51750624209,1540.05830543553,1607.12448760417
"144",2020-08-01,NA,NA,144,1588.16532108483,1562.61982366027,1613.71081850939,1549.0968541847,1627.23378798496
"145",2020-08-02,NA,NA,145,1602.73924564981,1573.39668929318,1632.08180200644,1557.86367823642,1647.6148130632
"146",2020-08-03,NA,NA,146,1617.31317021479,1584.00365113056,1650.62268929902,1566.37065685623,1668.25568357335
"147",2020-08-04,NA,NA,147,1631.88709477977,1594.44756977799,1669.32661978155,1574.62828243492,1689.14590712463
"148",2020-08-05,NA,NA,148,1646.46101934475,1604.73455561728,1688.18748307223,1582.64589999502,1710.27613869449
"149",2020-08-06,NA,NA,149,1661.03494390974,1614.8700921327,1707.19979568677,1590.43189580206,1731.63799201741
