"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-13,"AM",0,1,NA,NA,NA,NA,NA
"2",2020-03-18,"AM",0,2,NA,NA,NA,NA,NA
"3",2020-03-19,"AM",0,3,NA,NA,NA,NA,NA
"4",2020-03-20,"AM",0,4,NA,NA,NA,NA,NA
"5",2020-03-21,"AM",0,5,NA,NA,NA,NA,NA
"6",2020-03-22,"AM",0,6,NA,NA,NA,NA,NA
"7",2020-03-23,"AM",0,7,NA,NA,NA,NA,NA
"8",2020-03-24,"AM",1,8,NA,NA,NA,NA,NA
"9",2020-03-25,"AM",1,9,NA,NA,NA,NA,NA
"10",2020-03-26,"AM",1,10,NA,NA,NA,NA,NA
"11",2020-03-27,"AM",1,11,NA,NA,NA,NA,NA
"12",2020-03-28,"AM",1,12,NA,NA,NA,NA,NA
"13",2020-03-29,"AM",1,13,NA,NA,NA,NA,NA
"14",2020-03-30,"AM",2,14,NA,NA,NA,NA,NA
"15",2020-03-31,"AM",3,15,NA,NA,NA,NA,NA
"16",2020-04-01,"AM",3,16,NA,NA,NA,NA,NA
"17",2020-04-02,"AM",3,17,NA,NA,NA,NA,NA
"18",2020-04-03,"AM",7,18,NA,NA,NA,NA,NA
"19",2020-04-04,"AM",12,19,NA,NA,NA,NA,NA
"20",2020-04-05,"AM",15,20,NA,NA,NA,NA,NA
"21",2020-04-06,"AM",19,21,NA,NA,NA,NA,NA
"22",2020-04-07,"AM",23,22,NA,NA,NA,NA,NA
"23",2020-04-08,"AM",30,23,NA,NA,NA,NA,NA
"24",2020-04-09,"AM",40,24,NA,NA,NA,NA,NA
"25",2020-04-10,"AM",50,25,NA,NA,NA,NA,NA
"26",2020-04-11,"AM",53,26,NA,NA,NA,NA,NA
"27",2020-04-12,"AM",62,27,NA,NA,NA,NA,NA
"28",2020-04-13,"AM",71,28,NA,NA,NA,NA,NA
"29",2020-04-14,"AM",90,29,NA,NA,NA,NA,NA
"30",2020-04-15,"AM",106,30,NA,NA,NA,NA,NA
"31",2020-04-16,"AM",124,31,NA,NA,NA,NA,NA
"32",2020-04-17,"AM",145,32,NA,NA,NA,NA,NA
"33",2020-04-18,"AM",161,33,NA,NA,NA,NA,NA
"34",2020-04-19,"AM",182,34,NA,NA,NA,NA,NA
"35",2020-04-20,"AM",185,35,NA,NA,NA,NA,NA
"36",2020-04-21,"AM",193,36,NA,NA,NA,NA,NA
"37",2020-04-22,"AM",206,37,NA,NA,NA,NA,NA
"38",2020-04-23,"AM",234,38,NA,NA,NA,NA,NA
"39",2020-04-24,"AM",255,39,NA,NA,NA,NA,NA
