"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-06,"BA",0,1,NA,NA,NA,NA,NA
"2",2020-03-07,"BA",0,2,NA,NA,NA,NA,NA
"3",2020-03-09,"BA",0,3,NA,NA,NA,NA,NA
"4",2020-03-10,"BA",0,4,NA,NA,NA,NA,NA
"5",2020-03-11,"BA",0,5,NA,NA,NA,NA,NA
"6",2020-03-12,"BA",0,6,NA,NA,NA,NA,NA
"7",2020-03-13,"BA",0,7,NA,NA,NA,NA,NA
"8",2020-03-15,"BA",0,8,NA,NA,NA,NA,NA
"9",2020-03-16,"BA",0,9,NA,NA,NA,NA,NA
"10",2020-03-17,"BA",0,10,NA,NA,NA,NA,NA
"11",2020-03-18,"BA",0,11,NA,NA,NA,NA,NA
"12",2020-03-19,"BA",0,12,NA,NA,NA,NA,NA
"13",2020-03-20,"BA",0,13,NA,NA,NA,NA,NA
"14",2020-03-21,"BA",0,14,NA,NA,NA,NA,NA
"15",2020-03-22,"BA",0,15,NA,NA,NA,NA,NA
"16",2020-03-23,"BA",0,16,NA,NA,NA,NA,NA
"17",2020-03-24,"BA",0,17,NA,NA,NA,NA,NA
"18",2020-03-25,"BA",0,18,NA,NA,NA,NA,NA
"19",2020-03-26,"BA",0,19,NA,NA,NA,NA,NA
"20",2020-03-27,"BA",0,20,NA,NA,NA,NA,NA
"21",2020-03-28,"BA",0,21,NA,NA,NA,NA,NA
"22",2020-03-29,"BA",1,22,NA,NA,NA,NA,NA
"23",2020-03-30,"BA",2,23,NA,NA,NA,NA,NA
"24",2020-03-31,"BA",2,24,NA,NA,NA,NA,NA
"25",2020-04-01,"BA",2,25,NA,NA,NA,NA,NA
"26",2020-04-02,"BA",3,26,NA,NA,NA,NA,NA
"27",2020-04-03,"BA",6,27,NA,NA,NA,NA,NA
"28",2020-04-04,"BA",7,28,NA,NA,NA,NA,NA
"29",2020-04-05,"BA",9,29,NA,NA,NA,NA,NA
"30",2020-04-06,"BA",10,30,NA,NA,NA,NA,NA
"31",2020-04-07,"BA",14,31,NA,NA,NA,NA,NA
