"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-16,"CE",0,1,NA,NA,NA,NA,NA
"2",2020-03-17,"CE",0,2,NA,NA,NA,NA,NA
"3",2020-03-18,"CE",0,3,NA,NA,NA,NA,NA
"4",2020-03-19,"CE",0,4,NA,NA,NA,NA,NA
"5",2020-03-20,"CE",0,5,NA,NA,NA,NA,NA
"6",2020-03-21,"CE",0,6,NA,NA,NA,NA,NA
"7",2020-03-22,"CE",0,7,NA,NA,NA,NA,NA
"8",2020-03-23,"CE",0,8,NA,NA,NA,NA,NA
"9",2020-03-24,"CE",0,9,NA,NA,NA,NA,NA
"10",2020-03-25,"CE",0,10,NA,NA,NA,NA,NA
"11",2020-03-26,"CE",3,11,NA,NA,NA,NA,NA
"12",2020-03-27,"CE",3,12,NA,NA,NA,NA,NA
"13",2020-03-28,"CE",4,13,NA,NA,NA,NA,NA
"14",2020-03-29,"CE",5,14,NA,NA,NA,NA,NA
"15",2020-03-30,"CE",5,15,NA,NA,NA,NA,NA
"16",2020-03-31,"CE",7,16,NA,NA,NA,NA,NA
"17",2020-04-01,"CE",9,17,NA,NA,NA,NA,NA
"18",2020-04-02,"CE",21,18,NA,NA,NA,NA,NA
"19",2020-04-03,"CE",22,19,NA,NA,NA,NA,NA
"20",2020-04-04,"CE",23,20,NA,NA,NA,NA,NA
"21",2020-04-05,"CE",35,21,NA,NA,NA,NA,NA
"22",2020-04-06,"CE",35,22,NA,NA,NA,NA,NA
"23",2020-04-07,"CE",40,23,NA,NA,NA,NA,NA
"24",2020-04-08,"CE",57,24,NA,NA,NA,NA,NA
"25",2020-04-09,"CE",57,25,NA,NA,NA,NA,NA
"26",2020-04-10,"CE",67,26,NA,NA,NA,NA,NA
"27",2020-04-11,"CE",74,27,NA,NA,NA,NA,NA
"28",2020-04-12,"CE",76,28,NA,NA,NA,NA,NA
"29",2020-04-13,"CE",101,29,NA,NA,NA,NA,NA
"30",2020-04-14,"CE",111,30,NA,NA,NA,NA,NA
"31",2020-04-15,"CE",124,31,NA,NA,NA,NA,NA
"32",2020-04-16,"CE",135,32,NA,NA,NA,NA,NA
"33",2020-04-17,"CE",155,33,NA,NA,NA,NA,NA
"34",2020-04-18,"CE",180,34,NA,NA,NA,NA,NA
"35",2020-04-19,"CE",189,35,NA,NA,NA,NA,NA
"36",2020-04-20,"CE",206,36,NA,NA,NA,NA,NA
"37",2020-04-21,"CE",221,37,NA,NA,NA,NA,NA
"38",2020-04-22,"CE",239,38,NA,NA,NA,NA,NA
"39",2020-04-23,"CE",271,39,NA,NA,NA,NA,NA
"40",2020-04-24,"CE",293,40,NA,NA,NA,NA,NA
"41",2020-04-25,"CE",326,41,NA,NA,NA,NA,NA
"42",2020-04-26,"CE",376,42,NA,NA,NA,NA,NA
"43",2020-04-27,"CE",397,43,NA,NA,NA,NA,NA
"44",2020-04-28,"CE",417,44,NA,NA,NA,NA,NA
"45",2020-04-29,"CE",450,45,NA,NA,NA,NA,NA
"46",2020-04-30,"CE",492,46,NA,NA,NA,NA,NA
"47",2020-05-01,"CE",539,47,NA,NA,NA,NA,NA
"48",2020-05-02,"CE",638,48,NA,NA,NA,NA,NA
"49",2020-05-03,"CE",677,49,NA,NA,NA,NA,NA
"50",2020-05-04,"CE",712,50,NA,NA,NA,NA,NA
"51",2020-05-05,"CE",795,51,NA,NA,NA,NA,NA
"52",2020-05-06,"CE",849,52,NA,NA,NA,NA,NA
"53",2020-05-07,"CE",903,53,NA,NA,NA,NA,NA
"54",2020-05-08,"CE",997,54,NA,NA,NA,NA,NA
"55",2020-05-09,"CE",1062,55,NA,NA,NA,NA,NA
"56",2020-05-10,"CE",1114,56,NA,NA,NA,NA,NA
"57",2020-05-11,"CE",1189,57,NA,NA,NA,NA,NA
"58",2020-05-12,"CE",1280,58,NA,NA,NA,NA,NA
"59",2020-05-13,"CE",1389,59,NA,NA,NA,NA,NA
"60",2020-05-14,"CE",1413,60,NA,NA,NA,NA,NA
"61",2020-05-15,"CE",1566,61,NA,NA,NA,NA,NA
"62",2020-05-16,"CE",1614,62,NA,NA,NA,NA,NA
"63",2020-05-17,"CE",1641,63,NA,NA,NA,NA,NA
"64",2020-05-18,"CE",1748,64,NA,NA,NA,NA,NA
"65",2020-05-19,"CE",1856,65,NA,NA,NA,NA,NA
"66",2020-05-20,"CE",1900,66,NA,NA,NA,NA,NA
"67",2020-05-21,"CE",2161,67,NA,NA,NA,NA,NA
"68",2020-05-22,"CE",2251,68,NA,NA,NA,NA,NA
"69",2020-05-23,"CE",2308,69,NA,NA,NA,NA,NA
"70",2020-05-24,"CE",2324,70,NA,NA,NA,NA,NA
"71",2020-05-25,"CE",2493,71,NA,NA,NA,NA,NA
"72",2020-05-26,"CE",2603,72,NA,NA,NA,NA,NA
"73",2020-05-27,"CE",2671,73,NA,NA,NA,NA,NA
"74",2020-05-28,"CE",2733,74,NA,NA,NA,NA,NA
"75",2020-05-29,"CE",2859,75,NA,NA,NA,NA,NA
"76",2020-05-30,"CE",2956,76,NA,NA,NA,NA,NA
"77",2020-05-31,"CE",3010,77,NA,NA,NA,NA,NA
"78",2020-06-01,"CE",3188,78,NA,NA,NA,NA,NA
"79",2020-06-02,"CE",3504,79,NA,NA,NA,NA,NA
"80",2020-06-03,"CE",3605,80,NA,NA,NA,NA,NA
"81",2020-06-04,"CE",3813,81,NA,NA,NA,NA,NA
"82",2020-06-05,"CE",3907,82,NA,NA,NA,NA,NA
"83",2020-06-06,"CE",3965,83,NA,NA,NA,NA,NA
"84",2020-06-07,"CE",3982,84,NA,NA,NA,NA,NA
"85",2020-06-08,"CE",4192,85,NA,NA,NA,NA,NA
"86",2020-06-09,"CE",4359,86,NA,NA,NA,NA,NA
"87",2020-06-10,"CE",4519,87,NA,NA,NA,NA,NA
"88",2020-06-11,"CE",4708,88,NA,NA,NA,NA,NA
"89",2020-06-12,"CE",4812,89,NA,NA,NA,NA,NA
"90",2020-06-13,"CE",4829,90,NA,NA,NA,NA,NA
"91",2020-06-14,"CE",4885,91,NA,NA,NA,NA,NA
"92",2020-06-15,"CE",5041,92,NA,NA,NA,NA,NA
"93",2020-06-16,"CE",5192,93,NA,NA,NA,NA,NA
"94",2020-06-17,"CE",5307,94,NA,NA,NA,NA,NA
"95",2020-06-18,"CE",5393,95,NA,NA,NA,NA,NA
"96",2020-06-19,"CE",5497,96,NA,NA,NA,NA,NA
"97",2020-06-20,"CE",5520,97,NA,NA,NA,NA,NA
"98",2020-06-21,"CE",5523,98,NA,NA,NA,NA,NA
"99",2020-06-22,"CE",5618,99,NA,NA,NA,NA,NA
"100",2020-06-23,"CE",5728,100,NA,NA,NA,NA,NA
"101",2020-06-24,"CE",5815,101,NA,NA,NA,NA,NA
"102",2020-06-25,"CE",5895,102,NA,NA,NA,NA,NA
"103",2020-06-26,"CE",5962,103,NA,NA,NA,NA,NA
"104",2020-06-27,"CE",5987,104,NA,NA,NA,NA,NA
"105",2020-06-28,"CE",5995,105,NA,NA,NA,NA,NA
"106",2020-06-29,"CE",6076,106,NA,NA,NA,NA,NA
"107",2020-06-30,"CE",6146,107,NA,NA,NA,NA,NA
"108",2020-07-01,"CE",6203,108,NA,NA,NA,NA,NA
"109",2020-07-02,"CE",6307,109,NA,NA,NA,NA,NA
"110",2020-07-03,"CE",6373,110,NA,NA,NA,NA,NA
"111",2020-07-04,"CE",6441,111,NA,NA,NA,NA,NA
"112",2020-07-05,"CE",6439,112,NA,NA,NA,NA,NA
"113",2020-07-06,"CE",6504,113,NA,NA,NA,NA,NA
