"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-07,"DF",0,1,NA,NA,NA,NA,NA
"2",2020-03-08,"DF",0,2,NA,NA,NA,NA,NA
"3",2020-03-09,"DF",0,3,NA,NA,NA,NA,NA
"4",2020-03-10,"DF",0,4,NA,NA,NA,NA,NA
"5",2020-03-11,"DF",0,5,NA,NA,NA,NA,NA
"6",2020-03-12,"DF",0,6,NA,NA,NA,NA,NA
"7",2020-03-13,"DF",0,7,NA,NA,NA,NA,NA
"8",2020-03-14,"DF",0,8,NA,NA,NA,NA,NA
"9",2020-03-15,"DF",0,9,NA,NA,NA,NA,NA
"10",2020-03-16,"DF",0,10,NA,NA,NA,NA,NA
"11",2020-03-18,"DF",0,11,NA,NA,NA,NA,NA
"12",2020-03-19,"DF",0,12,NA,NA,NA,NA,NA
"13",2020-03-20,"DF",0,13,NA,NA,NA,NA,NA
"14",2020-03-21,"DF",0,14,NA,NA,NA,NA,NA
"15",2020-03-22,"DF",0,15,NA,NA,NA,NA,NA
"16",2020-03-23,"DF",0,16,NA,NA,NA,NA,NA
"17",2020-03-24,"DF",0,17,NA,NA,NA,NA,NA
"18",2020-03-25,"DF",0,18,NA,NA,NA,NA,NA
"19",2020-03-26,"DF",0,19,NA,NA,NA,NA,NA
"20",2020-03-27,"DF",0,20,NA,NA,NA,NA,NA
"21",2020-03-28,"DF",0,21,NA,NA,NA,NA,NA
"22",2020-03-29,"DF",1,22,NA,NA,NA,NA,NA
"23",2020-03-30,"DF",2,23,NA,NA,NA,NA,NA
"24",2020-03-31,"DF",3,24,NA,NA,NA,NA,NA
"25",2020-04-01,"DF",4,25,NA,NA,NA,NA,NA
"26",2020-04-02,"DF",5,26,NA,NA,NA,NA,NA
"27",2020-04-03,"DF",6,27,NA,NA,NA,NA,NA
"28",2020-04-04,"DF",7,28,NA,NA,NA,NA,NA
"29",2020-04-05,"DF",7,29,NA,NA,NA,NA,NA
"30",2020-04-06,"DF",10,30,NA,NA,NA,NA,NA
"31",2020-04-07,"DF",12,31,NA,NA,NA,NA,NA
"32",2020-04-08,"DF",12,32,NA,NA,NA,NA,NA
"33",2020-04-09,"DF",13,33,NA,NA,NA,NA,NA
"34",2020-04-10,"DF",14,34,NA,NA,NA,NA,NA
"35",2020-04-11,"DF",14,35,NA,NA,NA,NA,NA
"36",2020-04-12,"DF",14,36,NA,NA,NA,NA,NA
"37",2020-04-13,"DF",15,37,NA,NA,NA,NA,NA
"38",2020-04-14,"DF",17,38,NA,NA,NA,NA,NA
"39",2020-04-15,"DF",17,39,NA,NA,NA,NA,NA
"40",2020-04-16,"DF",20,40,NA,NA,NA,NA,NA
"41",2020-04-17,"DF",24,41,NA,NA,NA,NA,NA
"42",2020-04-18,"DF",24,42,NA,NA,NA,NA,NA
"43",2020-04-19,"DF",24,43,NA,NA,NA,NA,NA
"44",2020-04-20,"DF",24,44,NA,NA,NA,NA,NA
"45",2020-04-21,"DF",24,45,NA,NA,NA,NA,NA
"46",2020-04-22,"DF",25,46,NA,NA,NA,NA,NA
"47",2020-04-23,"DF",26,47,NA,NA,NA,NA,NA
"48",2020-04-24,"DF",26,48,NA,NA,NA,NA,NA
"49",2020-04-25,"DF",27,49,NA,NA,NA,NA,NA
"50",2020-04-26,"DF",27,50,NA,NA,NA,NA,NA
"51",2020-04-27,"DF",28,51,NA,NA,NA,NA,NA
