"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-05,"ES",0,1,NA,NA,NA,NA,NA
"2",2020-03-06,"ES",0,2,NA,NA,NA,NA,NA
"3",2020-03-07,"ES",0,3,NA,NA,NA,NA,NA
"4",2020-03-08,"ES",0,4,NA,NA,NA,NA,NA
"5",2020-03-09,"ES",0,5,NA,NA,NA,NA,NA
"6",2020-03-10,"ES",0,6,NA,NA,NA,NA,NA
"7",2020-03-11,"ES",0,7,NA,NA,NA,NA,NA
"8",2020-03-12,"ES",0,8,NA,NA,NA,NA,NA
"9",2020-03-13,"ES",0,9,NA,NA,NA,NA,NA
"10",2020-03-14,"ES",0,10,NA,NA,NA,NA,NA
"11",2020-03-15,"ES",0,11,NA,NA,NA,NA,NA
"12",2020-03-16,"ES",0,12,NA,NA,NA,NA,NA
"13",2020-03-17,"ES",0,13,NA,NA,NA,NA,NA
"14",2020-03-18,"ES",0,14,NA,NA,NA,NA,NA
"15",2020-03-19,"ES",0,15,NA,NA,NA,NA,NA
"16",2020-03-20,"ES",0,16,NA,NA,NA,NA,NA
"17",2020-03-21,"ES",0,17,NA,NA,NA,NA,NA
"18",2020-03-22,"ES",0,18,NA,NA,NA,NA,NA
"19",2020-03-23,"ES",0,19,NA,NA,NA,NA,NA
"20",2020-03-24,"ES",0,20,NA,NA,NA,NA,NA
"21",2020-03-25,"ES",0,21,NA,NA,NA,NA,NA
"22",2020-03-26,"ES",0,22,NA,NA,NA,NA,NA
"23",2020-03-27,"ES",0,23,NA,NA,NA,NA,NA
"24",2020-03-28,"ES",0,24,NA,NA,NA,NA,NA
"25",2020-03-29,"ES",0,25,NA,NA,NA,NA,NA
"26",2020-03-30,"ES",0,26,NA,NA,NA,NA,NA
"27",2020-03-31,"ES",0,27,NA,NA,NA,NA,NA
"28",2020-04-01,"ES",0,28,NA,NA,NA,NA,NA
"29",2020-04-02,"ES",2,29,NA,NA,NA,NA,NA
"30",2020-04-03,"ES",5,30,NA,NA,NA,NA,NA
"31",2020-04-04,"ES",6,31,NA,NA,NA,NA,NA
"32",2020-04-05,"ES",6,32,NA,NA,NA,NA,NA
"33",2020-04-06,"ES",6,33,NA,NA,NA,NA,NA
"34",2020-04-07,"ES",6,34,NA,NA,NA,NA,NA
"35",2020-04-08,"ES",6,35,NA,NA,NA,NA,NA
"36",2020-04-09,"ES",7,36,NA,NA,NA,NA,NA
"37",2020-04-10,"ES",8,37,NA,NA,NA,NA,NA
"38",2020-04-11,"ES",9,38,NA,NA,NA,NA,NA
"39",2020-04-12,"ES",14,39,NA,NA,NA,NA,NA
"40",2020-04-13,"ES",17,40,NA,NA,NA,NA,NA
"41",2020-04-14,"ES",18,41,NA,NA,NA,NA,NA
"42",2020-04-15,"ES",21,42,NA,NA,NA,NA,NA
"43",2020-04-16,"ES",28,43,NA,NA,NA,NA,NA
"44",2020-04-17,"ES",28,44,NA,NA,NA,NA,NA
"45",2020-04-18,"ES",30,45,NA,NA,NA,NA,NA
"46",2020-04-19,"ES",34,46,NA,NA,NA,NA,NA
"47",2020-04-20,"ES",34,47,NA,NA,NA,NA,NA
"48",2020-04-21,"ES",34,48,NA,NA,NA,NA,NA
"49",2020-04-22,"ES",37,49,NA,NA,NA,NA,NA
"50",2020-04-23,"ES",43,50,NA,NA,NA,NA,NA
"51",2020-04-24,"ES",47,51,NA,NA,NA,NA,NA
"52",2020-04-25,"ES",52,52,NA,NA,NA,NA,NA
"53",2020-04-26,"ES",57,53,NA,NA,NA,NA,NA
"54",2020-04-27,"ES",63,54,NA,NA,NA,NA,NA
"55",2020-04-28,"ES",77,55,NA,NA,NA,NA,NA
"56",2020-04-29,"ES",84,56,NA,NA,NA,NA,NA
"57",2020-04-30,"ES",93,57,NA,NA,NA,NA,NA
"58",2020-05-01,"ES",101,58,NA,NA,NA,NA,NA
"59",2020-05-02,"ES",104,59,NA,NA,NA,NA,NA
"60",2020-05-03,"ES",115,60,NA,NA,NA,NA,NA
"61",2020-05-04,"ES",123,61,NA,NA,NA,NA,NA
"62",2020-05-05,"ES",133,62,NA,NA,NA,NA,NA
"63",2020-05-06,"ES",146,63,NA,NA,NA,NA,NA
"64",2020-05-07,"ES",157,64,NA,NA,NA,NA,NA
"65",2020-05-08,"ES",165,65,NA,NA,NA,NA,NA
"66",2020-05-09,"ES",172,66,NA,NA,NA,NA,NA
"67",2020-05-10,"ES",181,67,NA,NA,NA,NA,NA
"68",2020-05-11,"ES",196,68,NA,NA,NA,NA,NA
"69",2020-05-12,"ES",212,69,NA,NA,NA,NA,NA
"70",2020-05-13,"ES",233,70,NA,NA,NA,NA,NA
"71",2020-05-14,"ES",249,71,NA,NA,NA,NA,NA
"72",2020-05-15,"ES",260,72,NA,NA,NA,NA,NA
"73",2020-05-16,"ES",271,73,NA,NA,NA,NA,NA
"74",2020-05-17,"ES",285,74,NA,NA,NA,NA,NA
"75",2020-05-18,"ES",302,75,NA,NA,NA,NA,NA
"76",2020-05-19,"ES",325,76,NA,NA,NA,NA,NA
"77",2020-05-20,"ES",346,77,NA,NA,NA,NA,NA
"78",2020-05-21,"ES",363,78,NA,NA,NA,NA,NA
"79",2020-05-22,"ES",397,79,NA,NA,NA,NA,NA
"80",2020-05-23,"ES",417,80,NA,NA,NA,NA,NA
"81",2020-05-24,"ES",447,81,NA,NA,NA,NA,NA
"82",2020-05-25,"ES",465,82,NA,NA,NA,NA,NA
"83",2020-05-26,"ES",487,83,NA,NA,NA,NA,NA
"84",2020-05-27,"ES",511,84,NA,NA,NA,NA,NA
"85",2020-05-28,"ES",538,85,NA,NA,NA,NA,NA
"86",2020-05-29,"ES",560,86,NA,NA,NA,NA,NA
"87",2020-05-30,"ES",583,87,NA,NA,NA,NA,NA
"88",2020-05-31,"ES",604,88,NA,NA,NA,NA,NA
"89",2020-06-01,"ES",628,89,NA,NA,NA,NA,NA
"90",2020-06-02,"ES",664,90,NA,NA,NA,NA,NA
"91",2020-06-03,"ES",698,91,NA,NA,NA,NA,NA
"92",2020-06-04,"ES",737,92,NA,NA,NA,NA,NA
"93",2020-06-05,"ES",780,93,NA,NA,NA,NA,NA
"94",2020-06-06,"ES",806,94,NA,NA,NA,NA,NA
"95",2020-06-07,"ES",832,95,NA,NA,NA,NA,NA
"96",2020-06-08,"ES",871,96,NA,NA,NA,NA,NA
"97",2020-06-09,"ES",904,97,NA,NA,NA,NA,NA
"98",2020-06-10,"ES",937,98,NA,NA,NA,NA,NA
"99",2020-06-11,"ES",966,99,NA,NA,NA,NA,NA
