"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-12,"GO",0,1,NA,NA,NA,NA,NA
"2",2020-03-13,"GO",0,2,NA,NA,NA,NA,NA
"3",2020-03-14,"GO",0,3,NA,NA,NA,NA,NA
"4",2020-03-15,"GO",0,4,NA,NA,NA,NA,NA
"5",2020-03-16,"GO",0,5,NA,NA,NA,NA,NA
"6",2020-03-17,"GO",0,6,NA,NA,NA,NA,NA
"7",2020-03-18,"GO",0,7,NA,NA,NA,NA,NA
"8",2020-03-19,"GO",0,8,NA,NA,NA,NA,NA
"9",2020-03-20,"GO",0,9,NA,NA,NA,NA,NA
"10",2020-03-21,"GO",0,10,NA,NA,NA,NA,NA
"11",2020-03-22,"GO",0,11,NA,NA,NA,NA,NA
"12",2020-03-23,"GO",0,12,NA,NA,NA,NA,NA
"13",2020-03-24,"GO",0,13,NA,NA,NA,NA,NA
"14",2020-03-25,"GO",0,14,NA,NA,NA,NA,NA
"15",2020-03-26,"GO",1,15,NA,NA,NA,NA,NA
"16",2020-03-27,"GO",1,16,NA,NA,NA,NA,NA
"17",2020-03-28,"GO",1,17,NA,NA,NA,NA,NA
"18",2020-03-29,"GO",1,18,NA,NA,NA,NA,NA
"19",2020-03-30,"GO",1,19,NA,NA,NA,NA,NA
"20",2020-03-31,"GO",1,20,NA,NA,NA,NA,NA
"21",2020-04-01,"GO",1,21,NA,NA,NA,NA,NA
"22",2020-04-02,"GO",1,22,NA,NA,NA,NA,NA
"23",2020-04-03,"GO",2,23,NA,NA,NA,NA,NA
"24",2020-04-04,"GO",2,24,NA,NA,NA,NA,NA
"25",2020-04-05,"GO",3,25,NA,NA,NA,NA,NA
"26",2020-04-06,"GO",5,26,NA,NA,NA,NA,NA
"27",2020-04-07,"GO",5,27,NA,NA,NA,NA,NA
"28",2020-04-08,"GO",7,28,NA,NA,NA,NA,NA
"29",2020-04-09,"GO",7,29,NA,NA,NA,NA,NA
"30",2020-04-10,"GO",8,30,NA,NA,NA,NA,NA
"31",2020-04-11,"GO",10,31,NA,NA,NA,NA,NA
"32",2020-04-12,"GO",14,32,NA,NA,NA,NA,NA
"33",2020-04-13,"GO",15,33,NA,NA,NA,NA,NA
"34",2020-04-14,"GO",15,34,NA,NA,NA,NA,NA
"35",2020-04-15,"GO",15,35,NA,NA,NA,NA,NA
"36",2020-04-16,"GO",16,36,NA,NA,NA,NA,NA
"37",2020-04-17,"GO",16,37,NA,NA,NA,NA,NA
"38",2020-04-18,"GO",18,38,NA,NA,NA,NA,NA
