"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-20,"MA",0,1,NA,NA,NA,NA,NA
"2",2020-03-21,"MA",0,2,NA,NA,NA,NA,NA
"3",2020-03-22,"MA",0,3,NA,NA,NA,NA,NA
"4",2020-03-23,"MA",0,4,NA,NA,NA,NA,NA
"5",2020-03-24,"MA",0,5,NA,NA,NA,NA,NA
"6",2020-03-25,"MA",0,6,NA,NA,NA,NA,NA
"7",2020-03-26,"MA",0,7,NA,NA,NA,NA,NA
"8",2020-03-27,"MA",0,8,NA,NA,NA,NA,NA
"9",2020-03-28,"MA",0,9,NA,NA,NA,NA,NA
"10",2020-03-29,"MA",1,10,NA,NA,NA,NA,NA
"11",2020-03-30,"MA",1,11,NA,NA,NA,NA,NA
"12",2020-03-31,"MA",1,12,NA,NA,NA,NA,NA
"13",2020-04-01,"MA",1,13,NA,NA,NA,NA,NA
"14",2020-04-02,"MA",1,14,NA,NA,NA,NA,NA
"15",2020-04-03,"MA",1,15,NA,NA,NA,NA,NA
"16",2020-04-04,"MA",2,16,NA,NA,NA,NA,NA
"17",2020-04-05,"MA",2,17,NA,NA,NA,NA,NA
"18",2020-04-06,"MA",4,18,NA,NA,NA,NA,NA
"19",2020-04-07,"MA",11,19,NA,NA,NA,NA,NA
"20",2020-04-08,"MA",12,20,NA,NA,NA,NA,NA
"21",2020-04-09,"MA",16,21,NA,NA,NA,NA,NA
"22",2020-04-10,"MA",21,22,NA,NA,NA,NA,NA
"23",2020-04-11,"MA",24,23,NA,NA,NA,NA,NA
"24",2020-04-12,"MA",27,24,NA,NA,NA,NA,NA
"25",2020-04-13,"MA",32,25,NA,NA,NA,NA,NA
"26",2020-04-14,"MA",34,26,NA,NA,NA,NA,NA
"27",2020-04-15,"MA",37,27,NA,NA,NA,NA,NA
"28",2020-04-16,"MA",40,28,NA,NA,NA,NA,NA
"29",2020-04-17,"MA",44,29,NA,NA,NA,NA,NA
"30",2020-04-18,"MA",48,30,NA,NA,NA,NA,NA
"31",2020-04-19,"MA",54,31,NA,NA,NA,NA,NA
"32",2020-04-20,"MA",60,32,NA,NA,NA,NA,NA
"33",2020-04-21,"MA",66,33,NA,NA,NA,NA,NA
"34",2020-04-22,"MA",76,34,NA,NA,NA,NA,NA
"35",2020-04-23,"MA",88,35,NA,NA,NA,NA,NA
"36",2020-04-24,"MA",100,36,NA,NA,NA,NA,NA
"37",2020-04-25,"MA",112,37,NA,NA,NA,NA,NA
"38",2020-04-26,"MA",125,38,NA,NA,NA,NA,NA
"39",2020-04-27,"MA",145,39,NA,NA,NA,NA,NA
"40",2020-04-28,"MA",166,40,NA,NA,NA,NA,NA
"41",2020-04-29,"MA",184,41,NA,NA,NA,NA,NA
"42",2020-04-30,"MA",204,42,NA,NA,NA,NA,NA
"43",2020-05-01,"MA",224,43,NA,NA,NA,NA,NA
"44",2020-05-02,"MA",237,44,NA,NA,NA,NA,NA
"45",2020-05-03,"MA",249,45,NA,NA,NA,NA,NA
"46",2020-05-04,"MA",271,46,NA,NA,NA,NA,NA
"47",2020-05-05,"MA",291,47,NA,NA,NA,NA,NA
"48",2020-05-06,"MA",305,48,NA,NA,NA,NA,NA
"49",2020-05-07,"MA",330,49,NA,NA,NA,NA,NA
"50",2020-05-08,"MA",355,50,NA,NA,NA,NA,NA
"51",2020-05-09,"MA",379,51,NA,NA,NA,NA,NA
"52",2020-05-10,"MA",399,52,NA,NA,NA,NA,NA
"53",2020-05-11,"MA",423,53,NA,NA,NA,NA,NA
"54",2020-05-12,"MA",444,54,NA,NA,NA,NA,NA
"55",2020-05-13,"MA",470,55,NA,NA,NA,NA,NA
"56",2020-05-14,"MA",496,56,NA,NA,NA,NA,NA
"57",2020-05-15,"MA",524,57,NA,NA,NA,NA,NA
"58",2020-05-16,"MA",549,58,NA,NA,NA,NA,NA
"59",2020-05-17,"MA",576,59,NA,NA,NA,NA,NA
"60",2020-05-18,"MA",604,60,NA,NA,NA,NA,NA
"61",2020-05-19,"MA",634,61,NA,NA,NA,NA,NA
"62",2020-05-20,"MA",663,62,NA,NA,NA,NA,NA
"63",2020-05-21,"MA",693,63,NA,NA,NA,NA,NA
"64",2020-05-22,"MA",722,64,NA,NA,NA,NA,NA
"65",2020-05-23,"MA",754,65,NA,NA,NA,NA,NA
"66",2020-05-24,"MA",784,66,NA,NA,NA,NA,NA
"67",2020-05-25,"MA",817,67,NA,NA,NA,NA,NA
"68",2020-05-26,"MA",853,68,NA,NA,NA,NA,NA
"69",2020-05-27,"MA",887,69,NA,NA,NA,NA,NA
"70",2020-05-28,"MA",911,70,NA,NA,NA,NA,NA
"71",2020-05-29,"MA",932,71,NA,NA,NA,NA,NA
"72",2020-05-30,"MA",955,72,NA,NA,NA,NA,NA
"73",2020-05-31,"MA",976,73,NA,NA,NA,NA,NA
"74",2020-06-01,"MA",997,74,NA,NA,NA,NA,NA
"75",2020-06-02,"MA",1028,75,NA,NA,NA,NA,NA
"76",2020-06-03,"MA",1062,76,NA,NA,NA,NA,NA
"77",2020-06-04,"MA",1095,77,NA,NA,NA,NA,NA
"78",2020-06-05,"MA",1132,78,NA,NA,NA,NA,NA
"79",2020-06-06,"MA",1170,79,NA,NA,NA,NA,NA
"80",2020-06-07,"MA",1208,80,NA,NA,NA,NA,NA
"81",2020-06-08,"MA",1247,81,NA,NA,NA,NA,NA
"82",2020-06-09,"MA",1285,82,NA,NA,NA,NA,NA
"83",2020-06-10,"MA",1322,83,NA,NA,NA,NA,NA
"84",2020-06-11,"MA",1360,84,NA,NA,NA,NA,NA
"85",2020-06-12,"MA",1399,85,NA,NA,NA,NA,NA
"86",2020-06-13,"MA",1436,86,NA,NA,NA,NA,NA
"87",2020-06-14,"MA",1467,87,NA,NA,NA,NA,NA
"88",2020-06-15,"MA",1499,88,NA,NA,NA,NA,NA
"89",2020-06-16,"MA",1537,89,NA,NA,NA,NA,NA
"90",2020-06-17,"MA",1570,90,NA,NA,NA,NA,NA
"91",2020-06-18,"MA",1607,91,NA,NA,NA,NA,NA
"92",2020-06-19,"MA",1645,92,NA,NA,NA,NA,NA
"93",2020-06-20,"MA",1684,93,NA,NA,NA,NA,NA
"94",2020-06-21,"MA",1721,94,NA,NA,NA,NA,NA
"95",2020-06-22,"MA",1760,95,NA,NA,NA,NA,NA
"96",2020-06-23,"MA",1797,96,NA,NA,NA,NA,NA
"97",2020-06-24,"MA",1836,97,NA,NA,NA,NA,NA
"98",2020-06-25,"MA",1871,98,NA,NA,NA,NA,NA
"99",2020-06-26,"MA",1906,99,NA,NA,NA,NA,NA
"100",2020-06-27,"MA",1943,100,NA,NA,NA,NA,NA
"101",2020-06-28,"MA",1982,101,NA,NA,NA,NA,NA
"102",2020-06-29,"MA",2012,102,NA,NA,NA,NA,NA
"103",2020-06-30,"MA",2048,103,NA,NA,NA,NA,NA
"104",2020-07-01,"MA",2081,104,NA,NA,NA,NA,NA
"105",2020-07-02,"MA",2119,105,NA,NA,NA,NA,NA
"106",2020-07-03,"MA",2153,106,NA,NA,NA,NA,NA
"107",2020-07-04,"MA",2185,107,NA,NA,NA,NA,NA
"108",2020-07-05,"MA",2219,108,NA,NA,NA,NA,NA
"109",2020-07-06,"MA",2250,109,NA,NA,NA,NA,NA
"110",2020-07-07,"MA",2286,110,NA,NA,NA,NA,NA
"111",2020-07-08,"MA",2324,111,NA,NA,NA,NA,NA
"112",2020-07-09,"MA",2357,112,NA,NA,NA,NA,NA
"113",2020-07-10,"MA",2392,113,NA,NA,NA,NA,NA
"114",2020-07-11,"MA",2426,114,NA,NA,NA,NA,NA
"115",2020-07-12,"MA",2463,115,NA,NA,NA,NA,NA
"116",2020-07-13,"MA",2501,116,NA,NA,NA,NA,NA
"117",2020-07-14,"MA",2536,117,NA,NA,NA,NA,NA
"118",2020-07-15,"MA",2572,118,NA,NA,NA,NA,NA
"119",2020-07-16,"MA",2608,119,NA,NA,NA,NA,NA
"120",2020-07-17,"MA",2640,120,NA,NA,NA,NA,NA
"121",2020-07-18,"MA",2676,121,NA,NA,NA,NA,NA
"122",2020-07-19,"MA",2708,122,NA,NA,NA,NA,NA
"123",2020-07-20,"MA",2740,123,NA,NA,NA,NA,NA
"124",2020-07-21,"MA",2778,124,NA,NA,NA,NA,NA
"125",2020-07-22,"MA",2810,125,NA,NA,NA,NA,NA
"126",2020-07-23,"MA",2840,126,NA,NA,NA,NA,NA
"127",2020-07-24,NA,NA,127,2872.50538473175,2868.45635116992,2876.55441829359,2866.31292227705,2878.69784718645
"128",2020-07-25,NA,NA,128,2904.49143442614,2896.52010567182,2912.46276318045,2892.30033912616,2916.68252972611
"129",2020-07-26,NA,NA,129,2934.95598994358,2922.66992910673,2947.24205078043,2916.16608136752,2953.74589851964
"130",2020-07-27,NA,NA,130,2966.14340013185,2948.453532537,2983.8332677267,2939.08908229606,2993.19771796764
"131",2020-07-28,NA,NA,131,2998.15288561506,2974.23196857021,3022.07380265991,2961.56899999891,3034.7367712312
"132",2020-07-29,NA,NA,132,3029.48030220232,2999.00163053218,3059.95897387246,2982.86719635768,3076.09340804696
"133",2020-07-30,NA,NA,133,3060.43645369582,3022.95078793585,3097.92211945578,3003.10707515082,3117.76583224082
"134",2020-07-31,NA,NA,134,3091.93503801734,3046.81714741233,3137.05292862236,3022.93317884778,3160.93689718691
"135",2020-08-01,NA,NA,135,3123.5426673967,3070.33233244334,3176.75300235005,3042.16448261053,3204.92085218286
"136",2020-08-02,NA,NA,136,3154.76548712188,3093.1213286517,3216.40964559206,3060.48888233501,3249.04209190874
"137",2020-08-03,NA,NA,137,3186.01267674205,3115.51341188384,3256.51194160026,3078.19335540251,3293.83199808159
"138",2020-08-04,NA,NA,138,3217.50741253309,3137.71562178964,3297.29920327655,3095.47639924908,3339.53842581711
"139",2020-08-05,NA,NA,139,3248.9241711737,3159.48627497839,3338.36206736901,3112.14071266233,3385.70762968506
