"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-08,"MG",0,1,NA,NA,NA,NA,NA
"2",2020-03-09,"MG",0,2,NA,NA,NA,NA,NA
"3",2020-03-10,"MG",0,3,NA,NA,NA,NA,NA
"4",2020-03-11,"MG",0,4,NA,NA,NA,NA,NA
"5",2020-03-12,"MG",0,5,NA,NA,NA,NA,NA
"6",2020-03-13,"MG",0,6,NA,NA,NA,NA,NA
"7",2020-03-14,"MG",0,7,NA,NA,NA,NA,NA
"8",2020-03-16,"MG",0,8,NA,NA,NA,NA,NA
"9",2020-03-17,"MG",0,9,NA,NA,NA,NA,NA
"10",2020-03-18,"MG",0,10,NA,NA,NA,NA,NA
"11",2020-03-19,"MG",0,11,NA,NA,NA,NA,NA
"12",2020-03-20,"MG",0,12,NA,NA,NA,NA,NA
"13",2020-03-21,"MG",0,13,NA,NA,NA,NA,NA
"14",2020-03-22,"MG",0,14,NA,NA,NA,NA,NA
"15",2020-03-23,"MG",0,15,NA,NA,NA,NA,NA
"16",2020-03-24,"MG",0,16,NA,NA,NA,NA,NA
"17",2020-03-25,"MG",0,17,NA,NA,NA,NA,NA
"18",2020-03-26,"MG",0,18,NA,NA,NA,NA,NA
"19",2020-03-27,"MG",0,19,NA,NA,NA,NA,NA
"20",2020-03-28,"MG",0,20,NA,NA,NA,NA,NA
"21",2020-03-29,"MG",0,21,NA,NA,NA,NA,NA
"22",2020-03-30,"MG",1,22,NA,NA,NA,NA,NA
"23",2020-03-31,"MG",2,23,NA,NA,NA,NA,NA
"24",2020-04-01,"MG",3,24,NA,NA,NA,NA,NA
"25",2020-04-02,"MG",4,25,NA,NA,NA,NA,NA
"26",2020-04-03,"MG",6,26,NA,NA,NA,NA,NA
"27",2020-04-04,"MG",6,27,NA,NA,NA,NA,NA
"28",2020-04-05,"MG",6,28,NA,NA,NA,NA,NA
"29",2020-04-06,"MG",9,29,NA,NA,NA,NA,NA
"30",2020-04-07,"MG",11,30,NA,NA,NA,NA,NA
"31",2020-04-08,"MG",14,31,NA,NA,NA,NA,NA
"32",2020-04-09,"MG",15,32,NA,NA,NA,NA,NA
"33",2020-04-10,"MG",17,33,NA,NA,NA,NA,NA
"34",2020-04-11,"MG",17,34,NA,NA,NA,NA,NA
"35",2020-04-12,"MG",20,35,NA,NA,NA,NA,NA
"36",2020-04-13,"MG",23,36,NA,NA,NA,NA,NA
"37",2020-04-14,"MG",27,37,NA,NA,NA,NA,NA
"38",2020-04-15,"MG",30,38,NA,NA,NA,NA,NA
"39",2020-04-16,"MG",33,39,NA,NA,NA,NA,NA
"40",2020-04-17,"MG",35,40,NA,NA,NA,NA,NA
"41",2020-04-18,"MG",39,41,NA,NA,NA,NA,NA
"42",2020-04-19,"MG",39,42,NA,NA,NA,NA,NA
"43",2020-04-20,"MG",41,43,NA,NA,NA,NA,NA
"44",2020-04-21,"MG",44,44,NA,NA,NA,NA,NA
"45",2020-04-22,"MG",47,45,NA,NA,NA,NA,NA
"46",2020-04-23,"MG",51,46,NA,NA,NA,NA,NA
"47",2020-04-24,"MG",54,47,NA,NA,NA,NA,NA
"48",2020-04-25,"MG",58,48,NA,NA,NA,NA,NA
"49",2020-04-26,"MG",61,49,NA,NA,NA,NA,NA
"50",2020-04-27,"MG",62,50,NA,NA,NA,NA,NA
"51",2020-04-28,"MG",71,51,NA,NA,NA,NA,NA
"52",2020-04-29,"MG",80,52,NA,NA,NA,NA,NA
"53",2020-04-30,"MG",82,53,NA,NA,NA,NA,NA
