"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-14,"MS",0,1,NA,NA,NA,NA,NA
"2",2020-03-15,"MS",0,2,NA,NA,NA,NA,NA
"3",2020-03-16,"MS",0,3,NA,NA,NA,NA,NA
"4",2020-03-17,"MS",0,4,NA,NA,NA,NA,NA
"5",2020-03-18,"MS",0,5,NA,NA,NA,NA,NA
"6",2020-03-19,"MS",0,6,NA,NA,NA,NA,NA
"7",2020-03-20,"MS",0,7,NA,NA,NA,NA,NA
"8",2020-03-21,"MS",0,8,NA,NA,NA,NA,NA
"9",2020-03-22,"MS",0,9,NA,NA,NA,NA,NA
"10",2020-03-23,"MS",0,10,NA,NA,NA,NA,NA
"11",2020-03-24,"MS",0,11,NA,NA,NA,NA,NA
"12",2020-03-25,"MS",0,12,NA,NA,NA,NA,NA
"13",2020-03-26,"MS",0,13,NA,NA,NA,NA,NA
"14",2020-03-27,"MS",0,14,NA,NA,NA,NA,NA
"15",2020-03-28,"MS",0,15,NA,NA,NA,NA,NA
"16",2020-03-29,"MS",0,16,NA,NA,NA,NA,NA
"17",2020-03-30,"MS",0,17,NA,NA,NA,NA,NA
"18",2020-03-31,"MS",1,18,NA,NA,NA,NA,NA
"19",2020-04-01,"MS",1,19,NA,NA,NA,NA,NA
"20",2020-04-02,"MS",1,20,NA,NA,NA,NA,NA
"21",2020-04-03,"MS",1,21,NA,NA,NA,NA,NA
"22",2020-04-04,"MS",1,22,NA,NA,NA,NA,NA
"23",2020-04-05,"MS",1,23,NA,NA,NA,NA,NA
"24",2020-04-06,"MS",1,24,NA,NA,NA,NA,NA
"25",2020-04-07,"MS",2,25,NA,NA,NA,NA,NA
"26",2020-04-08,"MS",2,26,NA,NA,NA,NA,NA
"27",2020-04-09,"MS",2,27,NA,NA,NA,NA,NA
"28",2020-04-10,"MS",2,28,NA,NA,NA,NA,NA
"29",2020-04-11,"MS",2,29,NA,NA,NA,NA,NA
"30",2020-04-12,"MS",2,30,NA,NA,NA,NA,NA
"31",2020-04-13,"MS",4,31,NA,NA,NA,NA,NA
"32",2020-04-14,"MS",4,32,NA,NA,NA,NA,NA
"33",2020-04-15,"MS",4,33,NA,NA,NA,NA,NA
"34",2020-04-16,"MS",5,34,NA,NA,NA,NA,NA
"35",2020-04-17,"MS",5,35,NA,NA,NA,NA,NA
"36",2020-04-18,"MS",5,36,NA,NA,NA,NA,NA
"37",2020-04-19,"MS",5,37,NA,NA,NA,NA,NA
"38",2020-04-20,"MS",5,38,NA,NA,NA,NA,NA
"39",2020-04-21,"MS",6,39,NA,NA,NA,NA,NA
"40",2020-04-22,"MS",6,40,NA,NA,NA,NA,NA
"41",2020-04-23,"MS",7,41,NA,NA,NA,NA,NA
"42",2020-04-24,"MS",7,42,NA,NA,NA,NA,NA
"43",2020-04-25,"MS",7,43,NA,NA,NA,NA,NA
"44",2020-04-26,"MS",7,44,NA,NA,NA,NA,NA
"45",2020-04-27,"MS",9,45,NA,NA,NA,NA,NA
"46",2020-04-28,"MS",9,46,NA,NA,NA,NA,NA
"47",2020-04-29,"MS",9,47,NA,NA,NA,NA,NA
"48",2020-04-30,"MS",9,48,NA,NA,NA,NA,NA
"49",2020-05-01,"MS",9,49,NA,NA,NA,NA,NA
"50",2020-05-02,"MS",9,50,NA,NA,NA,NA,NA
"51",2020-05-03,"MS",10,51,NA,NA,NA,NA,NA
"52",2020-05-04,"MS",10,52,NA,NA,NA,NA,NA
"53",2020-05-05,"MS",10,53,NA,NA,NA,NA,NA
"54",2020-05-06,"MS",10,54,NA,NA,NA,NA,NA
"55",2020-05-07,"MS",10,55,NA,NA,NA,NA,NA
"56",2020-05-08,"MS",11,56,NA,NA,NA,NA,NA
"57",2020-05-09,"MS",11,57,NA,NA,NA,NA,NA
"58",2020-05-10,"MS",11,58,NA,NA,NA,NA,NA
"59",2020-05-11,"MS",11,59,NA,NA,NA,NA,NA
"60",2020-05-12,"MS",12,60,NA,NA,NA,NA,NA
"61",2020-05-13,"MS",13,61,NA,NA,NA,NA,NA
"62",2020-05-14,"MS",14,62,NA,NA,NA,NA,NA
"63",2020-05-15,"MS",14,63,NA,NA,NA,NA,NA
"64",2020-05-16,"MS",15,64,NA,NA,NA,NA,NA
"65",2020-05-17,"MS",15,65,NA,NA,NA,NA,NA
"66",2020-05-18,"MS",16,66,NA,NA,NA,NA,NA
"67",2020-05-19,"MS",16,67,NA,NA,NA,NA,NA
"68",2020-05-20,"MS",17,68,NA,NA,NA,NA,NA
"69",2020-05-21,"MS",17,69,NA,NA,NA,NA,NA
"70",2020-05-22,"MS",17,70,NA,NA,NA,NA,NA
"71",2020-05-23,"MS",17,71,NA,NA,NA,NA,NA
"72",2020-05-24,"MS",17,72,NA,NA,NA,NA,NA
"73",2020-05-25,"MS",17,73,NA,NA,NA,NA,NA
"74",2020-05-26,"MS",18,74,NA,NA,NA,NA,NA
"75",2020-05-27,"MS",18,75,NA,NA,NA,NA,NA
"76",2020-05-28,"MS",18,76,NA,NA,NA,NA,NA
"77",2020-05-29,"MS",19,77,NA,NA,NA,NA,NA
"78",2020-05-30,"MS",20,78,NA,NA,NA,NA,NA
"79",2020-05-31,"MS",20,79,NA,NA,NA,NA,NA
"80",2020-06-01,"MS",20,80,NA,NA,NA,NA,NA
"81",2020-06-02,"MS",20,81,NA,NA,NA,NA,NA
"82",2020-06-03,"MS",20,82,NA,NA,NA,NA,NA
"83",2020-06-04,"MS",21,83,NA,NA,NA,NA,NA
"84",2020-06-05,"MS",21,84,NA,NA,NA,NA,NA
"85",2020-06-06,"MS",21,85,NA,NA,NA,NA,NA
"86",2020-06-07,"MS",22,86,NA,NA,NA,NA,NA
"87",2020-06-08,"MS",22,87,NA,NA,NA,NA,NA
"88",2020-06-09,"MS",24,88,NA,NA,NA,NA,NA
"89",2020-06-10,"MS",25,89,NA,NA,NA,NA,NA
"90",2020-06-11,"MS",28,90,NA,NA,NA,NA,NA
"91",2020-06-12,"MS",28,91,NA,NA,NA,NA,NA
"92",2020-06-13,"MS",31,92,NA,NA,NA,NA,NA
"93",2020-06-14,"MS",33,93,NA,NA,NA,NA,NA
"94",2020-06-15,"MS",36,94,NA,NA,NA,NA,NA
"95",2020-06-16,"MS",36,95,NA,NA,NA,NA,NA
"96",2020-06-17,"MS",39,96,NA,NA,NA,NA,NA
"97",2020-06-18,"MS",40,97,NA,NA,NA,NA,NA
"98",2020-06-19,"MS",43,98,NA,NA,NA,NA,NA
"99",2020-06-20,"MS",45,99,NA,NA,NA,NA,NA
"100",2020-06-21,"MS",47,100,NA,NA,NA,NA,NA
"101",2020-06-22,"MS",55,101,NA,NA,NA,NA,NA
"102",2020-06-23,"MS",56,102,NA,NA,NA,NA,NA
"103",2020-06-24,"MS",61,103,NA,NA,NA,NA,NA
"104",2020-06-25,"MS",65,104,NA,NA,NA,NA,NA
"105",2020-06-26,"MS",68,105,NA,NA,NA,NA,NA
"106",2020-06-27,"MS",72,106,NA,NA,NA,NA,NA
"107",2020-06-28,"MS",75,107,NA,NA,NA,NA,NA
"108",2020-06-29,"MS",76,108,NA,NA,NA,NA,NA
"109",2020-06-30,"MS",85,109,NA,NA,NA,NA,NA
"110",2020-07-01,"MS",91,110,NA,NA,NA,NA,NA
"111",2020-07-02,"MS",107,111,NA,NA,NA,NA,NA
"112",2020-07-03,"MS",114,112,NA,NA,NA,NA,NA
"113",2020-07-04,"MS",117,113,NA,NA,NA,NA,NA
"114",2020-07-05,"MS",122,114,NA,NA,NA,NA,NA
"115",2020-07-06,"MS",128,115,NA,NA,NA,NA,NA
"116",2020-07-07,"MS",134,116,NA,NA,NA,NA,NA
"117",2020-07-08,"MS",136,117,NA,NA,NA,NA,NA
"118",2020-07-09,"MS",146,118,NA,NA,NA,NA,NA
"119",2020-07-10,"MS",153,119,NA,NA,NA,NA,NA
"120",2020-07-11,"MS",161,120,NA,NA,NA,NA,NA
"121",2020-07-12,"MS",167,121,NA,NA,NA,NA,NA
"122",2020-07-13,"MS",177,122,NA,NA,NA,NA,NA
"123",2020-07-14,"MS",183,123,NA,NA,NA,NA,NA
"124",2020-07-15,"MS",191,124,NA,NA,NA,NA,NA
