"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-20,"MT",0,1,NA,NA,NA,NA,NA
"2",2020-03-22,"MT",0,2,NA,NA,NA,NA,NA
"3",2020-03-23,"MT",0,3,NA,NA,NA,NA,NA
"4",2020-03-24,"MT",0,4,NA,NA,NA,NA,NA
"5",2020-03-25,"MT",0,5,NA,NA,NA,NA,NA
"6",2020-03-26,"MT",0,6,NA,NA,NA,NA,NA
"7",2020-03-27,"MT",0,7,NA,NA,NA,NA,NA
"8",2020-03-30,"MT",0,8,NA,NA,NA,NA,NA
"9",2020-03-31,"MT",0,9,NA,NA,NA,NA,NA
"10",2020-04-01,"MT",0,10,NA,NA,NA,NA,NA
"11",2020-04-02,"MT",0,11,NA,NA,NA,NA,NA
"12",2020-04-03,"MT",1,12,NA,NA,NA,NA,NA
"13",2020-04-04,"MT",1,13,NA,NA,NA,NA,NA
"14",2020-04-05,"MT",1,14,NA,NA,NA,NA,NA
"15",2020-04-06,"MT",1,15,NA,NA,NA,NA,NA
"16",2020-04-07,"MT",1,16,NA,NA,NA,NA,NA
"17",2020-04-08,"MT",1,17,NA,NA,NA,NA,NA
"18",2020-04-09,"MT",2,18,NA,NA,NA,NA,NA
"19",2020-04-10,"MT",2,19,NA,NA,NA,NA,NA
"20",2020-04-11,"MT",3,20,NA,NA,NA,NA,NA
"21",2020-04-12,"MT",3,21,NA,NA,NA,NA,NA
"22",2020-04-13,"MT",4,22,NA,NA,NA,NA,NA
"23",2020-04-14,"MT",4,23,NA,NA,NA,NA,NA
"24",2020-04-15,"MT",4,24,NA,NA,NA,NA,NA
"25",2020-04-16,"MT",5,25,NA,NA,NA,NA,NA
"26",2020-04-17,"MT",5,26,NA,NA,NA,NA,NA
"27",2020-04-18,"MT",5,27,NA,NA,NA,NA,NA
"28",2020-04-19,"MT",5,28,NA,NA,NA,NA,NA
"29",2020-04-20,"MT",6,29,NA,NA,NA,NA,NA
"30",2020-04-21,"MT",6,30,NA,NA,NA,NA,NA
"31",2020-04-22,"MT",6,31,NA,NA,NA,NA,NA
"32",2020-04-23,"MT",7,32,NA,NA,NA,NA,NA
"33",2020-04-24,"MT",8,33,NA,NA,NA,NA,NA
"34",2020-04-25,"MT",9,34,NA,NA,NA,NA,NA
"35",2020-04-26,"MT",9,35,NA,NA,NA,NA,NA
"36",2020-04-27,"MT",10,36,NA,NA,NA,NA,NA
"37",2020-04-28,"MT",11,37,NA,NA,NA,NA,NA
"38",2020-04-29,"MT",11,38,NA,NA,NA,NA,NA
"39",2020-04-30,"MT",11,39,NA,NA,NA,NA,NA
"40",2020-05-01,"MT",11,40,NA,NA,NA,NA,NA
"41",2020-05-02,"MT",12,41,NA,NA,NA,NA,NA
"42",2020-05-03,"MT",12,42,NA,NA,NA,NA,NA
"43",2020-05-04,"MT",13,43,NA,NA,NA,NA,NA
"44",2020-05-05,"MT",13,44,NA,NA,NA,NA,NA
"45",2020-05-06,"MT",13,45,NA,NA,NA,NA,NA
"46",2020-05-07,"MT",14,46,NA,NA,NA,NA,NA
"47",2020-05-08,"MT",15,47,NA,NA,NA,NA,NA
"48",2020-05-09,"MT",16,48,NA,NA,NA,NA,NA
"49",2020-05-10,"MT",18,49,NA,NA,NA,NA,NA
"50",2020-05-11,"MT",19,50,NA,NA,NA,NA,NA
"51",2020-05-12,"MT",20,51,NA,NA,NA,NA,NA
"52",2020-05-13,"MT",21,52,NA,NA,NA,NA,NA
"53",2020-05-14,"MT",24,53,NA,NA,NA,NA,NA
"54",2020-05-15,"MT",26,54,NA,NA,NA,NA,NA
"55",2020-05-16,"MT",27,55,NA,NA,NA,NA,NA
"56",2020-05-17,"MT",27,56,NA,NA,NA,NA,NA
"57",2020-05-18,"MT",30,57,NA,NA,NA,NA,NA
"58",2020-05-19,"MT",32,58,NA,NA,NA,NA,NA
"59",2020-05-20,"MT",32,59,NA,NA,NA,NA,NA
"60",2020-05-21,"MT",34,60,NA,NA,NA,NA,NA
"61",2020-05-22,"MT",37,61,NA,NA,NA,NA,NA
"62",2020-05-23,"MT",37,62,NA,NA,NA,NA,NA
"63",2020-05-24,"MT",40,63,NA,NA,NA,NA,NA
"64",2020-05-25,"MT",42,64,NA,NA,NA,NA,NA
"65",2020-05-26,"MT",43,65,NA,NA,NA,NA,NA
"66",2020-05-27,"MT",47,66,NA,NA,NA,NA,NA
"67",2020-05-28,"MT",54,67,NA,NA,NA,NA,NA
"68",2020-05-29,"MT",57,68,NA,NA,NA,NA,NA
"69",2020-05-30,"MT",58,69,NA,NA,NA,NA,NA
"70",2020-05-31,"MT",63,70,NA,NA,NA,NA,NA
"71",2020-06-01,"MT",67,71,NA,NA,NA,NA,NA
"72",2020-06-02,"MT",75,72,NA,NA,NA,NA,NA
"73",2020-06-03,"MT",79,73,NA,NA,NA,NA,NA
"74",2020-06-04,"MT",84,74,NA,NA,NA,NA,NA
"75",2020-06-05,"MT",91,75,NA,NA,NA,NA,NA
"76",2020-06-06,"MT",101,76,NA,NA,NA,NA,NA
"77",2020-06-07,"MT",113,77,NA,NA,NA,NA,NA
"78",2020-06-08,"MT",126,78,NA,NA,NA,NA,NA
"79",2020-06-09,"MT",140,79,NA,NA,NA,NA,NA
"80",2020-06-10,"MT",153,80,NA,NA,NA,NA,NA
"81",2020-06-11,"MT",163,81,NA,NA,NA,NA,NA
"82",2020-06-12,"MT",181,82,NA,NA,NA,NA,NA
"83",2020-06-13,"MT",199,83,NA,NA,NA,NA,NA
