"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-12,"PE",0,1,NA,NA,NA,NA,NA
"2",2020-03-13,"PE",0,2,NA,NA,NA,NA,NA
"3",2020-03-14,"PE",0,3,NA,NA,NA,NA,NA
"4",2020-03-15,"PE",0,4,NA,NA,NA,NA,NA
"5",2020-03-16,"PE",0,5,NA,NA,NA,NA,NA
"6",2020-03-17,"PE",0,6,NA,NA,NA,NA,NA
"7",2020-03-18,"PE",0,7,NA,NA,NA,NA,NA
"8",2020-03-19,"PE",0,8,NA,NA,NA,NA,NA
"9",2020-03-20,"PE",0,9,NA,NA,NA,NA,NA
"10",2020-03-21,"PE",0,10,NA,NA,NA,NA,NA
"11",2020-03-22,"PE",0,11,NA,NA,NA,NA,NA
"12",2020-03-23,"PE",0,12,NA,NA,NA,NA,NA
"13",2020-03-24,"PE",0,13,NA,NA,NA,NA,NA
"14",2020-03-25,"PE",1,14,NA,NA,NA,NA,NA
"15",2020-03-26,"PE",3,15,NA,NA,NA,NA,NA
"16",2020-03-27,"PE",4,16,NA,NA,NA,NA,NA
"17",2020-03-28,"PE",5,17,NA,NA,NA,NA,NA
"18",2020-03-29,"PE",5,18,NA,NA,NA,NA,NA
"19",2020-03-30,"PE",6,19,NA,NA,NA,NA,NA
"20",2020-03-31,"PE",6,20,NA,NA,NA,NA,NA
"21",2020-04-01,"PE",8,21,NA,NA,NA,NA,NA
"22",2020-04-02,"PE",9,22,NA,NA,NA,NA,NA
"23",2020-04-03,"PE",10,23,NA,NA,NA,NA,NA
"24",2020-04-04,"PE",14,24,NA,NA,NA,NA,NA
"25",2020-04-05,"PE",21,25,NA,NA,NA,NA,NA
"26",2020-04-06,"PE",30,26,NA,NA,NA,NA,NA
"27",2020-04-07,"PE",34,27,NA,NA,NA,NA,NA
"28",2020-04-08,"PE",46,28,NA,NA,NA,NA,NA
"29",2020-04-09,"PE",56,29,NA,NA,NA,NA,NA
"30",2020-04-10,"PE",65,30,NA,NA,NA,NA,NA
"31",2020-04-11,"PE",72,31,NA,NA,NA,NA,NA
"32",2020-04-12,"PE",85,32,NA,NA,NA,NA,NA
"33",2020-04-13,"PE",102,33,NA,NA,NA,NA,NA
"34",2020-04-14,"PE",115,34,NA,NA,NA,NA,NA
"35",2020-04-15,"PE",143,35,NA,NA,NA,NA,NA
"36",2020-04-16,"PE",160,36,NA,NA,NA,NA,NA
"37",2020-04-17,"PE",186,37,NA,NA,NA,NA,NA
"38",2020-04-18,"PE",205,38,NA,NA,NA,NA,NA
"39",2020-04-19,"PE",216,39,NA,NA,NA,NA,NA
"40",2020-04-20,"PE",234,40,NA,NA,NA,NA,NA
"41",2020-04-21,"PE",260,41,NA,NA,NA,NA,NA
"42",2020-04-22,"PE",282,42,NA,NA,NA,NA,NA
"43",2020-04-23,"PE",312,43,NA,NA,NA,NA,NA
"44",2020-04-24,"PE",352,44,NA,NA,NA,NA,NA
"45",2020-04-25,"PE",381,45,NA,NA,NA,NA,NA
"46",2020-04-26,"PE",415,46,NA,NA,NA,NA,NA
"47",2020-04-27,"PE",450,47,NA,NA,NA,NA,NA
"48",2020-04-28,"PE",508,48,NA,NA,NA,NA,NA
"49",2020-04-29,"PE",538,49,NA,NA,NA,NA,NA
"50",2020-04-30,"PE",565,50,NA,NA,NA,NA,NA
"51",2020-05-01,"PE",603,51,NA,NA,NA,NA,NA
"52",2020-05-02,"PE",628,52,NA,NA,NA,NA,NA
"53",2020-05-03,"PE",652,53,NA,NA,NA,NA,NA
"54",2020-05-04,"PE",691,54,NA,NA,NA,NA,NA
"55",2020-05-05,"PE",749,55,NA,NA,NA,NA,NA
"56",2020-05-06,"PE",803,56,NA,NA,NA,NA,NA
"57",2020-05-07,"PE",845,57,NA,NA,NA,NA,NA
"58",2020-05-08,"PE",927,58,NA,NA,NA,NA,NA
"59",2020-05-09,"PE",972,59,NA,NA,NA,NA,NA
"60",2020-05-10,"PE",1047,60,NA,NA,NA,NA,NA
"61",2020-05-11,"PE",1087,61,NA,NA,NA,NA,NA
"62",2020-05-12,"PE",1157,62,NA,NA,NA,NA,NA
"63",2020-05-13,"PE",1224,63,NA,NA,NA,NA,NA
"64",2020-05-14,"PE",1298,64,NA,NA,NA,NA,NA
"65",2020-05-15,"PE",1381,65,NA,NA,NA,NA,NA
"66",2020-05-16,"PE",1461,66,NA,NA,NA,NA,NA
"67",2020-05-17,"PE",1516,67,NA,NA,NA,NA,NA
"68",2020-05-18,"PE",1640,68,NA,NA,NA,NA,NA
"69",2020-05-19,"PE",1741,69,NA,NA,NA,NA,NA
"70",2020-05-20,"PE",1834,70,NA,NA,NA,NA,NA
"71",2020-05-21,"PE",1925,71,NA,NA,NA,NA,NA
"72",2020-05-22,"PE",2057,72,NA,NA,NA,NA,NA
"73",2020-05-23,"PE",2144,73,NA,NA,NA,NA,NA
"74",2020-05-24,"PE",2200,74,NA,NA,NA,NA,NA
"75",2020-05-25,"PE",2248,75,NA,NA,NA,NA,NA
"76",2020-05-26,"PE",2328,76,NA,NA,NA,NA,NA
"77",2020-05-27,"PE",2468,77,NA,NA,NA,NA,NA
"78",2020-05-28,"PE",2566,78,NA,NA,NA,NA,NA
"79",2020-05-29,"PE",2669,79,NA,NA,NA,NA,NA
"80",2020-05-30,"PE",2740,80,NA,NA,NA,NA,NA
"81",2020-05-31,"PE",2807,81,NA,NA,NA,NA,NA
"82",2020-06-01,"PE",2875,82,NA,NA,NA,NA,NA
"83",2020-06-02,"PE",2933,83,NA,NA,NA,NA,NA
"84",2020-06-03,"PE",3012,84,NA,NA,NA,NA,NA
"85",2020-06-04,"PE",3134,85,NA,NA,NA,NA,NA
"86",2020-06-05,"PE",3205,86,NA,NA,NA,NA,NA
"87",2020-06-06,"PE",3270,87,NA,NA,NA,NA,NA
"88",2020-06-07,"PE",3305,88,NA,NA,NA,NA,NA
"89",2020-06-08,"PE",3350,89,NA,NA,NA,NA,NA
"90",2020-06-09,"PE",3453,90,NA,NA,NA,NA,NA
"91",2020-06-10,"PE",3531,91,NA,NA,NA,NA,NA
"92",2020-06-11,"PE",3633,92,NA,NA,NA,NA,NA
"93",2020-06-12,"PE",3694,93,NA,NA,NA,NA,NA
"94",2020-06-13,"PE",3784,94,NA,NA,NA,NA,NA
"95",2020-06-14,"PE",3855,95,NA,NA,NA,NA,NA
"96",2020-06-15,"PE",3886,96,NA,NA,NA,NA,NA
"97",2020-06-16,"PE",3959,97,NA,NA,NA,NA,NA
"98",2020-06-17,"PE",4009,98,NA,NA,NA,NA,NA
"99",2020-06-18,"PE",4057,99,NA,NA,NA,NA,NA
"100",2020-06-19,"PE",4102,100,NA,NA,NA,NA,NA
"101",2020-06-20,"PE",4148,101,NA,NA,NA,NA,NA
"102",2020-06-21,"PE",4234,102,NA,NA,NA,NA,NA
"103",2020-06-22,"PE",4252,103,NA,NA,NA,NA,NA
"104",2020-06-23,"PE",4339,104,NA,NA,NA,NA,NA
"105",2020-06-24,"PE",4425,105,NA,NA,NA,NA,NA
"106",2020-06-25,"PE",4488,106,NA,NA,NA,NA,NA
"107",2020-06-26,"PE",4610,107,NA,NA,NA,NA,NA
"108",2020-06-27,"PE",4708,108,NA,NA,NA,NA,NA
"109",2020-06-28,"PE",4751,109,NA,NA,NA,NA,NA
"110",2020-06-29,"PE",4782,110,NA,NA,NA,NA,NA
"111",2020-06-30,"PE",4829,111,NA,NA,NA,NA,NA
"112",2020-07-01,"PE",4894,112,NA,NA,NA,NA,NA
"113",2020-07-02,"PE",4968,113,NA,NA,NA,NA,NA
"114",2020-07-03,"PE",5068,114,NA,NA,NA,NA,NA
"115",2020-07-04,"PE",5116,115,NA,NA,NA,NA,NA
"116",2020-07-05,"PE",5143,116,NA,NA,NA,NA,NA
"117",2020-07-06,"PE",5163,117,NA,NA,NA,NA,NA
"118",2020-07-07,"PE",5234,118,NA,NA,NA,NA,NA
"119",2020-07-08,"PE",5323,119,NA,NA,NA,NA,NA
"120",2020-07-09,"PE",5409,120,NA,NA,NA,NA,NA
"121",2020-07-10,"PE",5482,121,NA,NA,NA,NA,NA
"122",2020-07-11,"PE",5556,122,NA,NA,NA,NA,NA
"123",2020-07-12,"PE",5595,123,NA,NA,NA,NA,NA
"124",2020-07-13,"PE",5652,124,NA,NA,NA,NA,NA
"125",2020-07-14,"PE",5715,125,NA,NA,NA,NA,NA
"126",2020-07-15,"PE",5772,126,NA,NA,NA,NA,NA
"127",2020-07-16,"PE",5836,127,NA,NA,NA,NA,NA
"128",2020-07-17,"PE",5869,128,NA,NA,NA,NA,NA
"129",2020-07-18,"PE",5928,129,NA,NA,NA,NA,NA
"130",2020-07-19,"PE",5984,130,NA,NA,NA,NA,NA
"131",2020-07-20,"PE",6036,131,NA,NA,NA,NA,NA
"132",2020-07-21,"PE",6089,132,NA,NA,NA,NA,NA
"133",2020-07-22,"PE",6152,133,NA,NA,NA,NA,NA
"134",2020-07-23,"PE",6211,134,NA,NA,NA,NA,NA
"135",2020-07-24,NA,NA,135,6268.27975933771,6242.26893574154,6294.29058293388,6228.49963747031,6308.05988120511
"136",2020-07-25,NA,NA,136,6325.44313890644,6281.07972426597,6369.80655354691,6257.59515115139,6393.29112666149
"137",2020-07-26,NA,NA,137,6382.60651847518,6321.59037077643,6443.62266617392,6289.29037328043,6475.92266366992
"138",2020-07-27,NA,NA,138,6439.76989804391,6362.23274686662,6517.3070492212,6321.18705841642,6558.35273767139
"139",2020-07-28,NA,NA,139,6496.93327761264,6402.56111614068,6591.3054390846,6352.60351156874,6641.26304365654
"140",2020-07-29,NA,NA,140,6554.09665718137,6442.40006310243,6665.79325126032,6383.27145788672,6724.92185647602
"141",2020-07-30,NA,NA,141,6611.2600367501,6481.6723972131,6740.8476762871,6413.0728446287,6809.44722887151
"142",2020-07-31,NA,NA,142,6668.42341631884,6520.34418029658,6816.50265234109,6441.95576783331,6894.89106480436
"143",2020-08-01,NA,NA,143,6725.58679588757,6558.40272280173,6892.7708689734,6469.90082050686,6981.27277126828
"144",2020-08-02,NA,NA,144,6782.7501754563,6595.84647703672,6969.65387387588,6496.90563565892,7068.59471525368
"145",2020-08-03,NA,NA,145,6839.91355502503,6632.67994671494,7047.14716333512,6522.97710112475,7156.85000892531
"146",2020-08-04,NA,NA,146,6897.07693459376,6668.91095161489,7125.24291757264,6548.12717622353,7246.02669296399
"147",2020-08-05,NA,NA,147,6954.2403141625,6704.54908821803,7203.93154010697,6572.37053750716,7336.11009081783
"148",2020-08-06,NA,NA,148,7011.40369373123,6739.60483484424,7283.20255261821,6595.72321018299,7427.08417727946
