"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-19,"PI",0,1,NA,NA,NA,NA,NA
"2",2020-03-20,"PI",0,2,NA,NA,NA,NA,NA
"3",2020-03-21,"PI",0,3,NA,NA,NA,NA,NA
"4",2020-03-22,"PI",0,4,NA,NA,NA,NA,NA
"5",2020-03-23,"PI",0,5,NA,NA,NA,NA,NA
"6",2020-03-24,"PI",0,6,NA,NA,NA,NA,NA
"7",2020-03-25,"PI",0,7,NA,NA,NA,NA,NA
"8",2020-03-26,"PI",0,8,NA,NA,NA,NA,NA
"9",2020-03-27,"PI",1,9,NA,NA,NA,NA,NA
"10",2020-03-28,"PI",1,10,NA,NA,NA,NA,NA
"11",2020-03-30,"PI",4,11,NA,NA,NA,NA,NA
"12",2020-03-31,"PI",4,12,NA,NA,NA,NA,NA
"13",2020-04-01,"PI",4,13,NA,NA,NA,NA,NA
"14",2020-04-02,"PI",4,14,NA,NA,NA,NA,NA
"15",2020-04-03,"PI",4,15,NA,NA,NA,NA,NA
"16",2020-04-04,"PI",4,16,NA,NA,NA,NA,NA
"17",2020-04-05,"PI",4,17,NA,NA,NA,NA,NA
"18",2020-04-06,"PI",4,18,NA,NA,NA,NA,NA
"19",2020-04-07,"PI",5,19,NA,NA,NA,NA,NA
"20",2020-04-08,"PI",6,20,NA,NA,NA,NA,NA
"21",2020-04-09,"PI",7,21,NA,NA,NA,NA,NA
"22",2020-04-10,"PI",7,22,NA,NA,NA,NA,NA
"23",2020-04-11,"PI",7,23,NA,NA,NA,NA,NA
"24",2020-04-12,"PI",7,24,NA,NA,NA,NA,NA
"25",2020-04-13,"PI",8,25,NA,NA,NA,NA,NA
"26",2020-04-14,"PI",8,26,NA,NA,NA,NA,NA
"27",2020-04-15,"PI",8,27,NA,NA,NA,NA,NA
"28",2020-04-16,"PI",8,28,NA,NA,NA,NA,NA
"29",2020-04-17,"PI",9,29,NA,NA,NA,NA,NA
"30",2020-04-18,"PI",10,30,NA,NA,NA,NA,NA
"31",2020-04-19,"PI",12,31,NA,NA,NA,NA,NA
"32",2020-04-20,"PI",14,32,NA,NA,NA,NA,NA
"33",2020-04-21,"PI",15,33,NA,NA,NA,NA,NA
"34",2020-04-22,"PI",15,34,NA,NA,NA,NA,NA
"35",2020-04-23,"PI",16,35,NA,NA,NA,NA,NA
"36",2020-04-24,"PI",17,36,NA,NA,NA,NA,NA
"37",2020-04-25,"PI",18,37,NA,NA,NA,NA,NA
"38",2020-04-26,"PI",20,38,NA,NA,NA,NA,NA
"39",2020-04-27,"PI",21,39,NA,NA,NA,NA,NA
"40",2020-04-28,"PI",24,40,NA,NA,NA,NA,NA
"41",2020-04-29,"PI",24,41,NA,NA,NA,NA,NA
"42",2020-04-30,"PI",24,42,NA,NA,NA,NA,NA
"43",2020-05-01,"PI",26,43,NA,NA,NA,NA,NA
"44",2020-05-02,"PI",28,44,NA,NA,NA,NA,NA
"45",2020-05-03,"PI",28,45,NA,NA,NA,NA,NA
"46",2020-05-04,"PI",29,46,NA,NA,NA,NA,NA
"47",2020-05-05,"PI",30,47,NA,NA,NA,NA,NA
"48",2020-05-06,"PI",35,48,NA,NA,NA,NA,NA
"49",2020-05-07,"PI",37,49,NA,NA,NA,NA,NA
"50",2020-05-08,"PI",38,50,NA,NA,NA,NA,NA
"51",2020-05-09,"PI",42,51,NA,NA,NA,NA,NA
"52",2020-05-10,"PI",45,52,NA,NA,NA,NA,NA
"53",2020-05-11,"PI",49,53,NA,NA,NA,NA,NA
"54",2020-05-12,"PI",57,54,NA,NA,NA,NA,NA
"55",2020-05-13,"PI",60,55,NA,NA,NA,NA,NA
"56",2020-05-14,"PI",60,56,NA,NA,NA,NA,NA
"57",2020-05-15,"PI",65,57,NA,NA,NA,NA,NA
"58",2020-05-16,"PI",72,58,NA,NA,NA,NA,NA
"59",2020-05-17,"PI",80,59,NA,NA,NA,NA,NA
"60",2020-05-18,"PI",85,60,NA,NA,NA,NA,NA
"61",2020-05-19,"PI",87,61,NA,NA,NA,NA,NA
"62",2020-05-20,"PI",91,62,NA,NA,NA,NA,NA
"63",2020-05-21,"PI",93,63,NA,NA,NA,NA,NA
"64",2020-05-22,"PI",99,64,NA,NA,NA,NA,NA
"65",2020-05-23,"PI",107,65,NA,NA,NA,NA,NA
"66",2020-05-24,"PI",110,66,NA,NA,NA,NA,NA
"67",2020-05-25,"PI",119,67,NA,NA,NA,NA,NA
"68",2020-05-26,"PI",134,68,NA,NA,NA,NA,NA
"69",2020-05-27,"PI",138,69,NA,NA,NA,NA,NA
"70",2020-05-28,"PI",146,70,NA,NA,NA,NA,NA
"71",2020-05-29,"PI",157,71,NA,NA,NA,NA,NA
"72",2020-05-30,"PI",161,72,NA,NA,NA,NA,NA
"73",2020-05-31,"PI",168,73,NA,NA,NA,NA,NA
"74",2020-06-01,"PI",180,74,NA,NA,NA,NA,NA
"75",2020-06-02,"PI",192,75,NA,NA,NA,NA,NA
"76",2020-06-03,"PI",202,76,NA,NA,NA,NA,NA
"77",2020-06-04,"PI",217,77,NA,NA,NA,NA,NA
"78",2020-06-05,"PI",224,78,NA,NA,NA,NA,NA
"79",2020-06-06,"PI",239,79,NA,NA,NA,NA,NA
"80",2020-06-07,"PI",254,80,NA,NA,NA,NA,NA
"81",2020-06-08,"PI",265,81,NA,NA,NA,NA,NA
"82",2020-06-09,"PI",283,82,NA,NA,NA,NA,NA
"83",2020-06-10,"PI",299,83,NA,NA,NA,NA,NA
"84",2020-06-11,"PI",317,84,NA,NA,NA,NA,NA
"85",2020-06-12,"PI",335,85,NA,NA,NA,NA,NA
"86",2020-06-13,"PI",360,86,NA,NA,NA,NA,NA
"87",2020-06-14,"PI",374,87,NA,NA,NA,NA,NA
"88",2020-06-15,"PI",393,88,NA,NA,NA,NA,NA
"89",2020-06-16,"PI",398,89,NA,NA,NA,NA,NA
"90",2020-06-17,"PI",421,90,NA,NA,NA,NA,NA
"91",2020-06-18,"PI",435,91,NA,NA,NA,NA,NA
"92",2020-06-19,"PI",459,92,NA,NA,NA,NA,NA
"93",2020-06-20,"PI",485,93,NA,NA,NA,NA,NA
"94",2020-06-21,"PI",502,94,NA,NA,NA,NA,NA
"95",2020-06-22,"PI",517,95,NA,NA,NA,NA,NA
"96",2020-06-23,"PI",534,96,NA,NA,NA,NA,NA
"97",2020-06-24,"PI",546,97,NA,NA,NA,NA,NA
"98",2020-06-25,"PI",574,98,NA,NA,NA,NA,NA
"99",2020-06-26,"PI",592,99,NA,NA,NA,NA,NA
"100",2020-06-27,"PI",615,100,NA,NA,NA,NA,NA
"101",2020-06-28,"PI",643,101,NA,NA,NA,NA,NA
"102",2020-06-29,"PI",663,102,NA,NA,NA,NA,NA
"103",2020-06-30,"PI",686,103,NA,NA,NA,NA,NA
"104",2020-07-01,"PI",697,104,NA,NA,NA,NA,NA
"105",2020-07-02,"PI",726,105,NA,NA,NA,NA,NA
"106",2020-07-03,"PI",762,106,NA,NA,NA,NA,NA
"107",2020-07-04,"PI",784,107,NA,NA,NA,NA,NA
"108",2020-07-05,"PI",809,108,NA,NA,NA,NA,NA
"109",2020-07-06,"PI",834,109,NA,NA,NA,NA,NA
"110",2020-07-07,"PI",858,110,NA,NA,NA,NA,NA
"111",2020-07-08,"PI",884,111,NA,NA,NA,NA,NA
"112",2020-07-09,"PI",896,112,NA,NA,NA,NA,NA
"113",2020-07-10,"PI",914,113,NA,NA,NA,NA,NA
"114",2020-07-11,"PI",936,114,NA,NA,NA,NA,NA
"115",2020-07-12,"PI",960,115,NA,NA,NA,NA,NA
"116",2020-07-13,"PI",992,116,NA,NA,NA,NA,NA
"117",2020-07-14,"PI",1019,117,NA,NA,NA,NA,NA
"118",2020-07-15,"PI",1043,118,NA,NA,NA,NA,NA
