"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-12,"PR",0,1,NA,NA,NA,NA,NA
"2",2020-03-13,"PR",0,2,NA,NA,NA,NA,NA
"3",2020-03-16,"PR",0,3,NA,NA,NA,NA,NA
"4",2020-03-17,"PR",0,4,NA,NA,NA,NA,NA
"5",2020-03-18,"PR",0,5,NA,NA,NA,NA,NA
"6",2020-03-19,"PR",0,6,NA,NA,NA,NA,NA
"7",2020-03-20,"PR",0,7,NA,NA,NA,NA,NA
"8",2020-03-21,"PR",0,8,NA,NA,NA,NA,NA
"9",2020-03-22,"PR",0,9,NA,NA,NA,NA,NA
"10",2020-03-23,"PR",0,10,NA,NA,NA,NA,NA
"11",2020-03-24,"PR",0,11,NA,NA,NA,NA,NA
"12",2020-03-25,"PR",0,12,NA,NA,NA,NA,NA
"13",2020-03-26,"PR",0,13,NA,NA,NA,NA,NA
"14",2020-03-27,"PR",2,14,NA,NA,NA,NA,NA
"15",2020-03-28,"PR",2,15,NA,NA,NA,NA,NA
"16",2020-03-29,"PR",2,16,NA,NA,NA,NA,NA
"17",2020-03-30,"PR",3,17,NA,NA,NA,NA,NA
"18",2020-03-31,"PR",3,18,NA,NA,NA,NA,NA
"19",2020-04-01,"PR",3,19,NA,NA,NA,NA,NA
"20",2020-04-02,"PR",4,20,NA,NA,NA,NA,NA
"21",2020-04-03,"PR",5,21,NA,NA,NA,NA,NA
"22",2020-04-04,"PR",7,22,NA,NA,NA,NA,NA
"23",2020-04-05,"PR",10,23,NA,NA,NA,NA,NA
"24",2020-04-06,"PR",14,24,NA,NA,NA,NA,NA
"25",2020-04-07,"PR",15,25,NA,NA,NA,NA,NA
"26",2020-04-08,"PR",17,26,NA,NA,NA,NA,NA
"27",2020-04-09,"PR",24,27,NA,NA,NA,NA,NA
"28",2020-04-10,"PR",26,28,NA,NA,NA,NA,NA
"29",2020-04-11,"PR",27,29,NA,NA,NA,NA,NA
"30",2020-04-12,"PR",31,30,NA,NA,NA,NA,NA
"31",2020-04-13,"PR",33,31,NA,NA,NA,NA,NA
"32",2020-04-14,"PR",39,32,NA,NA,NA,NA,NA
"33",2020-04-15,"PR",41,33,NA,NA,NA,NA,NA
"34",2020-04-16,"PR",43,34,NA,NA,NA,NA,NA
"35",2020-04-17,"PR",44,35,NA,NA,NA,NA,NA
