"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-20,"RO",0,1,NA,NA,NA,NA,NA
"2",2020-03-21,"RO",0,2,NA,NA,NA,NA,NA
"3",2020-03-22,"RO",0,3,NA,NA,NA,NA,NA
"4",2020-03-24,"RO",0,4,NA,NA,NA,NA,NA
"5",2020-03-25,"RO",0,5,NA,NA,NA,NA,NA
"6",2020-03-26,"RO",0,6,NA,NA,NA,NA,NA
"7",2020-03-27,"RO",0,7,NA,NA,NA,NA,NA
"8",2020-03-28,"RO",0,8,NA,NA,NA,NA,NA
"9",2020-03-29,"RO",0,9,NA,NA,NA,NA,NA
"10",2020-03-30,"RO",1,10,NA,NA,NA,NA,NA
"11",2020-03-31,"RO",1,11,NA,NA,NA,NA,NA
"12",2020-04-01,"RO",1,12,NA,NA,NA,NA,NA
"13",2020-04-02,"RO",1,13,NA,NA,NA,NA,NA
"14",2020-04-03,"RO",1,14,NA,NA,NA,NA,NA
"15",2020-04-04,"RO",1,15,NA,NA,NA,NA,NA
"16",2020-04-05,"RO",1,16,NA,NA,NA,NA,NA
"17",2020-04-06,"RO",1,17,NA,NA,NA,NA,NA
"18",2020-04-07,"RO",1,18,NA,NA,NA,NA,NA
"19",2020-04-08,"RO",1,19,NA,NA,NA,NA,NA
"20",2020-04-09,"RO",2,20,NA,NA,NA,NA,NA
"21",2020-04-10,"RO",2,21,NA,NA,NA,NA,NA
"22",2020-04-11,"RO",2,22,NA,NA,NA,NA,NA
"23",2020-04-12,"RO",2,23,NA,NA,NA,NA,NA
"24",2020-04-14,"RO",2,24,NA,NA,NA,NA,NA
"25",2020-04-15,"RO",2,25,NA,NA,NA,NA,NA
"26",2020-04-16,"RO",3,26,NA,NA,NA,NA,NA
"27",2020-04-17,"RO",3,27,NA,NA,NA,NA,NA
"28",2020-04-18,"RO",4,28,NA,NA,NA,NA,NA
"29",2020-04-19,"RO",4,29,NA,NA,NA,NA,NA
"30",2020-04-20,"RO",4,30,NA,NA,NA,NA,NA
"31",2020-04-21,"RO",5,31,NA,NA,NA,NA,NA
"32",2020-04-23,"RO",5,32,NA,NA,NA,NA,NA
"33",2020-04-24,"RO",6,33,NA,NA,NA,NA,NA
"34",2020-04-25,"RO",7,34,NA,NA,NA,NA,NA
"35",2020-04-26,"RO",10,35,NA,NA,NA,NA,NA
"36",2020-04-27,"RO",10,36,NA,NA,NA,NA,NA
"37",2020-04-28,"RO",11,37,NA,NA,NA,NA,NA
"38",2020-04-29,"RO",15,38,NA,NA,NA,NA,NA
"39",2020-04-30,"RO",16,39,NA,NA,NA,NA,NA
"40",2020-05-01,"RO",18,40,NA,NA,NA,NA,NA
"41",2020-05-02,"RO",23,41,NA,NA,NA,NA,NA
"42",2020-05-03,"RO",24,42,NA,NA,NA,NA,NA
"43",2020-05-04,"RO",25,43,NA,NA,NA,NA,NA
"44",2020-05-05,"RO",29,44,NA,NA,NA,NA,NA
"45",2020-05-06,"RO",33,45,NA,NA,NA,NA,NA
"46",2020-05-07,"RO",37,46,NA,NA,NA,NA,NA
"47",2020-05-08,"RO",39,47,NA,NA,NA,NA,NA
"48",2020-05-09,"RO",41,48,NA,NA,NA,NA,NA
"49",2020-05-10,"RO",43,49,NA,NA,NA,NA,NA
"50",2020-05-11,"RO",47,50,NA,NA,NA,NA,NA
"51",2020-05-12,"RO",50,51,NA,NA,NA,NA,NA
"52",2020-05-13,"RO",50,52,NA,NA,NA,NA,NA
"53",2020-05-14,"RO",56,53,NA,NA,NA,NA,NA
"54",2020-05-15,"RO",62,54,NA,NA,NA,NA,NA
"55",2020-05-16,"RO",69,55,NA,NA,NA,NA,NA
"56",2020-05-17,"RO",74,56,NA,NA,NA,NA,NA
"57",2020-05-18,"RO",83,57,NA,NA,NA,NA,NA
"58",2020-05-19,"RO",88,58,NA,NA,NA,NA,NA
"59",2020-05-20,"RO",90,59,NA,NA,NA,NA,NA
"60",2020-05-22,"RO",106,60,NA,NA,NA,NA,NA
"61",2020-05-23,"RO",115,61,NA,NA,NA,NA,NA
"62",2020-05-24,"RO",121,62,NA,NA,NA,NA,NA
"63",2020-05-25,"RO",121,63,NA,NA,NA,NA,NA
"64",2020-05-26,"RO",133,64,NA,NA,NA,NA,NA
"65",2020-05-27,"RO",137,65,NA,NA,NA,NA,NA
"66",2020-05-28,"RO",142,66,NA,NA,NA,NA,NA
"67",2020-05-29,"RO",145,67,NA,NA,NA,NA,NA
"68",2020-05-30,"RO",151,68,NA,NA,NA,NA,NA
"69",2020-05-31,"RO",156,69,NA,NA,NA,NA,NA
"70",2020-06-02,"RO",172,70,NA,NA,NA,NA,NA
"71",2020-06-03,"RO",180,71,NA,NA,NA,NA,NA
"72",2020-06-04,"RO",194,72,NA,NA,NA,NA,NA
"73",2020-06-05,"RO",213,73,NA,NA,NA,NA,NA
"74",2020-06-06,"RO",228,74,NA,NA,NA,NA,NA
"75",2020-06-07,"RO",235,75,NA,NA,NA,NA,NA
"76",2020-06-08,"RO",245,76,NA,NA,NA,NA,NA
"77",2020-06-09,"RO",255,77,NA,NA,NA,NA,NA
"78",2020-06-10,"RO",267,78,NA,NA,NA,NA,NA
"79",2020-06-11,"RO",293,79,NA,NA,NA,NA,NA
"80",2020-06-12,"RO",296,80,NA,NA,NA,NA,NA
"81",2020-06-13,"RO",309,81,NA,NA,NA,NA,NA
"82",2020-06-14,"RO",324,82,NA,NA,NA,NA,NA
"83",2020-06-15,"RO",332,83,NA,NA,NA,NA,NA
"84",2020-06-16,"RO",346,84,NA,NA,NA,NA,NA
"85",2020-06-17,"RO",361,85,NA,NA,NA,NA,NA
"86",2020-06-18,"RO",374,86,NA,NA,NA,NA,NA
"87",2020-06-19,"RO",391,87,NA,NA,NA,NA,NA
"88",2020-06-20,"RO",409,88,NA,NA,NA,NA,NA
"89",2020-06-21,"RO",417,89,NA,NA,NA,NA,NA
"90",2020-06-22,"RO",432,90,NA,NA,NA,NA,NA
"91",2020-06-23,"RO",444,91,NA,NA,NA,NA,NA
"92",2020-06-24,"RO",455,92,NA,NA,NA,NA,NA
