"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-21,"RR",0,1,NA,NA,NA,NA,NA
"2",2020-03-22,"RR",0,2,NA,NA,NA,NA,NA
"3",2020-03-23,"RR",0,3,NA,NA,NA,NA,NA
"4",2020-03-24,"RR",0,4,NA,NA,NA,NA,NA
"5",2020-03-25,"RR",0,5,NA,NA,NA,NA,NA
"6",2020-03-26,"RR",0,6,NA,NA,NA,NA,NA
"7",2020-03-27,"RR",0,7,NA,NA,NA,NA,NA
"8",2020-03-28,"RR",0,8,NA,NA,NA,NA,NA
"9",2020-03-29,"RR",0,9,NA,NA,NA,NA,NA
"10",2020-03-30,"RR",0,10,NA,NA,NA,NA,NA
"11",2020-03-31,"RR",0,11,NA,NA,NA,NA,NA
"12",2020-04-01,"RR",0,12,NA,NA,NA,NA,NA
"13",2020-04-02,"RR",0,13,NA,NA,NA,NA,NA
"14",2020-04-03,"RR",1,14,NA,NA,NA,NA,NA
"15",2020-04-04,"RR",1,15,NA,NA,NA,NA,NA
"16",2020-04-05,"RR",1,16,NA,NA,NA,NA,NA
"17",2020-04-06,"RR",1,17,NA,NA,NA,NA,NA
"18",2020-04-07,"RR",1,18,NA,NA,NA,NA,NA
"19",2020-04-08,"RR",1,19,NA,NA,NA,NA,NA
"20",2020-04-09,"RR",2,20,NA,NA,NA,NA,NA
"21",2020-04-10,"RR",3,21,NA,NA,NA,NA,NA
"22",2020-04-11,"RR",3,22,NA,NA,NA,NA,NA
"23",2020-04-12,"RR",3,23,NA,NA,NA,NA,NA
"24",2020-04-13,"RR",3,24,NA,NA,NA,NA,NA
"25",2020-04-14,"RR",3,25,NA,NA,NA,NA,NA
"26",2020-04-15,"RR",3,26,NA,NA,NA,NA,NA
"27",2020-04-16,"RR",3,27,NA,NA,NA,NA,NA
"28",2020-04-17,"RR",3,28,NA,NA,NA,NA,NA
"29",2020-04-18,"RR",3,29,NA,NA,NA,NA,NA
"30",2020-04-19,"RR",3,30,NA,NA,NA,NA,NA
"31",2020-04-20,"RR",3,31,NA,NA,NA,NA,NA
"32",2020-04-21,"RR",3,32,NA,NA,NA,NA,NA
"33",2020-04-22,"RR",3,33,NA,NA,NA,NA,NA
"34",2020-04-23,"RR",3,34,NA,NA,NA,NA,NA
"35",2020-04-24,"RR",3,35,NA,NA,NA,NA,NA
"36",2020-04-25,"RR",4,36,NA,NA,NA,NA,NA
