"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-10,"RS",0,1,NA,NA,NA,NA,NA
"2",2020-03-11,"RS",0,2,NA,NA,NA,NA,NA
"3",2020-03-12,"RS",0,3,NA,NA,NA,NA,NA
"4",2020-03-13,"RS",0,4,NA,NA,NA,NA,NA
"5",2020-03-16,"RS",0,5,NA,NA,NA,NA,NA
"6",2020-03-18,"RS",0,6,NA,NA,NA,NA,NA
"7",2020-03-19,"RS",0,7,NA,NA,NA,NA,NA
"8",2020-03-20,"RS",0,8,NA,NA,NA,NA,NA
"9",2020-03-21,"RS",0,9,NA,NA,NA,NA,NA
"10",2020-03-22,"RS",0,10,NA,NA,NA,NA,NA
"11",2020-03-23,"RS",0,11,NA,NA,NA,NA,NA
"12",2020-03-24,"RS",0,12,NA,NA,NA,NA,NA
"13",2020-03-25,"RS",1,13,NA,NA,NA,NA,NA
"14",2020-03-26,"RS",1,14,NA,NA,NA,NA,NA
"15",2020-03-27,"RS",2,15,NA,NA,NA,NA,NA
"16",2020-03-28,"RS",2,16,NA,NA,NA,NA,NA
"17",2020-03-29,"RS",2,17,NA,NA,NA,NA,NA
"18",2020-03-30,"RS",4,18,NA,NA,NA,NA,NA
"19",2020-03-31,"RS",4,19,NA,NA,NA,NA,NA
"20",2020-04-01,"RS",5,20,NA,NA,NA,NA,NA
"21",2020-04-02,"RS",5,21,NA,NA,NA,NA,NA
"22",2020-04-03,"RS",6,22,NA,NA,NA,NA,NA
"23",2020-04-04,"RS",7,23,NA,NA,NA,NA,NA
"24",2020-04-05,"RS",7,24,NA,NA,NA,NA,NA
"25",2020-04-06,"RS",8,25,NA,NA,NA,NA,NA
"26",2020-04-07,"RS",8,26,NA,NA,NA,NA,NA
"27",2020-04-08,"RS",10,27,NA,NA,NA,NA,NA
"28",2020-04-09,"RS",14,28,NA,NA,NA,NA,NA
"29",2020-04-10,"RS",15,29,NA,NA,NA,NA,NA
"30",2020-04-11,"RS",16,30,NA,NA,NA,NA,NA
"31",2020-04-12,"RS",16,31,NA,NA,NA,NA,NA
"32",2020-04-13,"RS",17,32,NA,NA,NA,NA,NA
"33",2020-04-14,"RS",18,33,NA,NA,NA,NA,NA
"34",2020-04-15,"RS",19,34,NA,NA,NA,NA,NA
"35",2020-04-16,"RS",21,35,NA,NA,NA,NA,NA
"36",2020-04-17,"RS",24,36,NA,NA,NA,NA,NA
"37",2020-04-18,"RS",24,37,NA,NA,NA,NA,NA
"38",2020-04-19,"RS",26,38,NA,NA,NA,NA,NA
"39",2020-04-20,"RS",27,39,NA,NA,NA,NA,NA
"40",2020-04-21,"RS",27,40,NA,NA,NA,NA,NA
"41",2020-04-22,"RS",28,41,NA,NA,NA,NA,NA
"42",2020-04-23,"RS",29,42,NA,NA,NA,NA,NA
"43",2020-04-24,"RS",34,43,NA,NA,NA,NA,NA
"44",2020-04-25,"RS",35,44,NA,NA,NA,NA,NA
"45",2020-04-26,"RS",38,45,NA,NA,NA,NA,NA
"46",2020-04-27,"RS",45,46,NA,NA,NA,NA,NA
"47",2020-04-28,"RS",49,47,NA,NA,NA,NA,NA
"48",2020-04-29,"RS",51,48,NA,NA,NA,NA,NA
"49",2020-04-30,"RS",58,49,NA,NA,NA,NA,NA
"50",2020-05-01,"RS",62,50,NA,NA,NA,NA,NA
"51",2020-05-02,"RS",65,51,NA,NA,NA,NA,NA
"52",2020-05-03,"RS",67,52,NA,NA,NA,NA,NA
"53",2020-05-04,"RS",76,53,NA,NA,NA,NA,NA
"54",2020-05-05,"RS",83,54,NA,NA,NA,NA,NA
"55",2020-05-06,"RS",90,55,NA,NA,NA,NA,NA
"56",2020-05-07,"RS",91,56,NA,NA,NA,NA,NA
"57",2020-05-08,"RS",95,57,NA,NA,NA,NA,NA
"58",2020-05-09,"RS",97,58,NA,NA,NA,NA,NA
"59",2020-05-10,"RS",100,59,NA,NA,NA,NA,NA
"60",2020-05-11,"RS",105,60,NA,NA,NA,NA,NA
"61",2020-05-12,"RS",111,61,NA,NA,NA,NA,NA
"62",2020-05-13,"RS",120,62,NA,NA,NA,NA,NA
"63",2020-05-14,"RS",126,63,NA,NA,NA,NA,NA
"64",2020-05-15,"RS",132,64,NA,NA,NA,NA,NA
"65",2020-05-16,"RS",138,65,NA,NA,NA,NA,NA
"66",2020-05-17,"RS",144,66,NA,NA,NA,NA,NA
"67",2020-05-18,"RS",151,67,NA,NA,NA,NA,NA
"68",2020-05-19,"RS",160,68,NA,NA,NA,NA,NA
"69",2020-05-20,"RS",161,69,NA,NA,NA,NA,NA
"70",2020-05-21,"RS",166,70,NA,NA,NA,NA,NA
"71",2020-05-22,"RS",172,71,NA,NA,NA,NA,NA
"72",2020-05-23,"RS",176,72,NA,NA,NA,NA,NA
"73",2020-05-24,"RS",180,73,NA,NA,NA,NA,NA
"74",2020-05-25,"RS",197,74,NA,NA,NA,NA,NA
"75",2020-05-26,"RS",203,75,NA,NA,NA,NA,NA
"76",2020-05-27,"RS",209,76,NA,NA,NA,NA,NA
"77",2020-05-28,"RS",213,77,NA,NA,NA,NA,NA
"78",2020-05-29,"RS",216,78,NA,NA,NA,NA,NA
"79",2020-05-30,"RS",218,79,NA,NA,NA,NA,NA
"80",2020-05-31,"RS",224,80,NA,NA,NA,NA,NA
"81",2020-06-01,"RS",232,81,NA,NA,NA,NA,NA
"82",2020-06-02,"RS",245,82,NA,NA,NA,NA,NA
