"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-14,"SE",0,1,NA,NA,NA,NA,NA
"2",2020-03-16,"SE",0,2,NA,NA,NA,NA,NA
"3",2020-03-18,"SE",0,3,NA,NA,NA,NA,NA
"4",2020-03-20,"SE",0,4,NA,NA,NA,NA,NA
"5",2020-03-21,"SE",0,5,NA,NA,NA,NA,NA
"6",2020-03-24,"SE",0,6,NA,NA,NA,NA,NA
"7",2020-03-25,"SE",0,7,NA,NA,NA,NA,NA
"8",2020-03-27,"SE",0,8,NA,NA,NA,NA,NA
"9",2020-03-30,"SE",0,9,NA,NA,NA,NA,NA
"10",2020-03-31,"SE",0,10,NA,NA,NA,NA,NA
"11",2020-04-01,"SE",0,11,NA,NA,NA,NA,NA
"12",2020-04-02,"SE",2,12,NA,NA,NA,NA,NA
"13",2020-04-03,"SE",2,13,NA,NA,NA,NA,NA
"14",2020-04-04,"SE",3,14,NA,NA,NA,NA,NA
"15",2020-04-06,"SE",4,15,NA,NA,NA,NA,NA
"16",2020-04-07,"SE",4,16,NA,NA,NA,NA,NA
"17",2020-04-08,"SE",4,17,NA,NA,NA,NA,NA
"18",2020-04-09,"SE",4,18,NA,NA,NA,NA,NA
"19",2020-04-10,"SE",4,19,NA,NA,NA,NA,NA
"20",2020-04-11,"SE",4,20,NA,NA,NA,NA,NA
"21",2020-04-13,"SE",4,21,NA,NA,NA,NA,NA
"22",2020-04-14,"SE",4,22,NA,NA,NA,NA,NA
"23",2020-04-15,"SE",4,23,NA,NA,NA,NA,NA
"24",2020-04-16,"SE",4,24,NA,NA,NA,NA,NA
"25",2020-04-17,"SE",4,25,NA,NA,NA,NA,NA
"26",2020-04-18,"SE",5,26,NA,NA,NA,NA,NA
"27",2020-04-19,"SE",5,27,NA,NA,NA,NA,NA
"28",2020-04-20,"SE",5,28,NA,NA,NA,NA,NA
"29",2020-04-21,"SE",7,29,NA,NA,NA,NA,NA
"30",2020-04-22,"SE",7,30,NA,NA,NA,NA,NA
"31",2020-04-23,"SE",8,31,NA,NA,NA,NA,NA
"32",2020-04-24,"SE",8,32,NA,NA,NA,NA,NA
"33",2020-04-25,"SE",9,33,NA,NA,NA,NA,NA
"34",2020-04-26,"SE",9,34,NA,NA,NA,NA,NA
"35",2020-04-27,"SE",11,35,NA,NA,NA,NA,NA
"36",2020-04-28,"SE",11,36,NA,NA,NA,NA,NA
"37",2020-04-30,"SE",14,37,NA,NA,NA,NA,NA
"38",2020-05-01,"SE",14,38,NA,NA,NA,NA,NA
"39",2020-05-02,"SE",14,39,NA,NA,NA,NA,NA
"40",2020-05-03,"SE",14,40,NA,NA,NA,NA,NA
"41",2020-05-04,"SE",17,41,NA,NA,NA,NA,NA
"42",2020-05-05,"SE",21,42,NA,NA,NA,NA,NA
"43",2020-05-06,"SE",23,43,NA,NA,NA,NA,NA
"44",2020-05-07,"SE",25,44,NA,NA,NA,NA,NA
"45",2020-05-08,"SE",28,45,NA,NA,NA,NA,NA
"46",2020-05-09,"SE",33,46,NA,NA,NA,NA,NA
"47",2020-05-10,"SE",34,47,NA,NA,NA,NA,NA
"48",2020-05-11,"SE",37,48,NA,NA,NA,NA,NA
"49",2020-05-12,"SE",37,49,NA,NA,NA,NA,NA
"50",2020-05-13,"SE",42,50,NA,NA,NA,NA,NA
"51",2020-05-14,"SE",47,51,NA,NA,NA,NA,NA
"52",2020-05-15,"SE",50,52,NA,NA,NA,NA,NA
"53",2020-05-16,"SE",53,53,NA,NA,NA,NA,NA
"54",2020-05-17,"SE",57,54,NA,NA,NA,NA,NA
"55",2020-05-18,"SE",59,55,NA,NA,NA,NA,NA
"56",2020-05-19,"SE",63,56,NA,NA,NA,NA,NA
"57",2020-05-20,"SE",69,57,NA,NA,NA,NA,NA
"58",2020-05-21,"SE",76,58,NA,NA,NA,NA,NA
"59",2020-05-22,"SE",82,59,NA,NA,NA,NA,NA
"60",2020-05-23,"SE",86,60,NA,NA,NA,NA,NA
"61",2020-05-24,"SE",93,61,NA,NA,NA,NA,NA
"62",2020-05-25,"SE",103,62,NA,NA,NA,NA,NA
"63",2020-05-26,"SE",116,63,NA,NA,NA,NA,NA
"64",2020-05-27,"SE",127,64,NA,NA,NA,NA,NA
"65",2020-05-28,"SE",135,65,NA,NA,NA,NA,NA
"66",2020-05-29,"SE",142,66,NA,NA,NA,NA,NA
"67",2020-05-30,"SE",149,67,NA,NA,NA,NA,NA
"68",2020-05-31,"SE",158,68,NA,NA,NA,NA,NA
"69",2020-06-01,"SE",166,69,NA,NA,NA,NA,NA
"70",2020-06-02,"SE",172,70,NA,NA,NA,NA,NA
"71",2020-06-03,"SE",180,71,NA,NA,NA,NA,NA
"72",2020-06-04,"SE",186,72,NA,NA,NA,NA,NA
"73",2020-06-05,"SE",198,73,NA,NA,NA,NA,NA
"74",2020-06-06,"SE",208,74,NA,NA,NA,NA,NA
"75",2020-06-07,"SE",217,75,NA,NA,NA,NA,NA
"76",2020-06-08,"SE",234,76,NA,NA,NA,NA,NA
"77",2020-06-09,"SE",252,77,NA,NA,NA,NA,NA
"78",2020-06-10,"SE",264,78,NA,NA,NA,NA,NA
"79",2020-06-11,"SE",283,79,NA,NA,NA,NA,NA
"80",2020-06-12,"SE",305,80,NA,NA,NA,NA,NA
"81",2020-06-13,"SE",316,81,NA,NA,NA,NA,NA
"82",2020-06-14,"SE",330,82,NA,NA,NA,NA,NA
"83",2020-06-15,"SE",352,83,NA,NA,NA,NA,NA
"84",2020-06-16,"SE",364,84,NA,NA,NA,NA,NA
"85",2020-06-17,"SE",383,85,NA,NA,NA,NA,NA
"86",2020-06-18,"SE",400,86,NA,NA,NA,NA,NA
"87",2020-06-19,"SE",426,87,NA,NA,NA,NA,NA
"88",2020-06-20,"SE",448,88,NA,NA,NA,NA,NA
"89",2020-06-21,"SE",462,89,NA,NA,NA,NA,NA
"90",2020-06-22,"SE",491,90,NA,NA,NA,NA,NA
"91",2020-06-23,"SE",511,91,NA,NA,NA,NA,NA
"92",2020-06-24,"SE",524,92,NA,NA,NA,NA,NA
"93",2020-06-25,"SE",554,93,NA,NA,NA,NA,NA
"94",2020-06-26,"SE",579,94,NA,NA,NA,NA,NA
"95",2020-06-27,"SE",605,95,NA,NA,NA,NA,NA
"96",2020-06-28,"SE",620,96,NA,NA,NA,NA,NA
"97",2020-06-29,"SE",653,97,NA,NA,NA,NA,NA
"98",2020-06-30,"SE",676,98,NA,NA,NA,NA,NA
"99",2020-07-01,"SE",725,99,NA,NA,NA,NA,NA
"100",2020-07-02,"SE",725,100,NA,NA,NA,NA,NA
"101",2020-07-03,"SE",764,101,NA,NA,NA,NA,NA
"102",2020-07-04,"SE",783,102,NA,NA,NA,NA,NA
"103",2020-07-05,"SE",798,103,NA,NA,NA,NA,NA
"104",2020-07-06,"SE",826,104,NA,NA,NA,NA,NA
"105",2020-07-07,"SE",851,105,NA,NA,NA,NA,NA
"106",2020-07-08,"SE",875,106,NA,NA,NA,NA,NA
"107",2020-07-09,"SE",901,107,NA,NA,NA,NA,NA
"108",2020-07-10,"SE",931,108,NA,NA,NA,NA,NA
"109",2020-07-11,"SE",954,109,NA,NA,NA,NA,NA
"110",2020-07-12,"SE",984,110,NA,NA,NA,NA,NA
"111",2020-07-13,"SE",1012,111,NA,NA,NA,NA,NA
"112",2020-07-14,"SE",1033,112,NA,NA,NA,NA,NA
"113",2020-07-15,"SE",1054,113,NA,NA,NA,NA,NA
"114",2020-07-16,"SE",1071,114,NA,NA,NA,NA,NA
"115",2020-07-17,"SE",1088,115,NA,NA,NA,NA,NA
"116",2020-07-18,"SE",1111,116,NA,NA,NA,NA,NA
"117",2020-07-19,"SE",1125,117,NA,NA,NA,NA,NA
"118",2020-07-20,"SE",1156,118,NA,NA,NA,NA,NA
"119",2020-07-21,"SE",1182,119,NA,NA,NA,NA,NA
"120",2020-07-22,"SE",1211,120,NA,NA,NA,NA,NA
"121",2020-07-23,"SE",1247,121,NA,NA,NA,NA,NA
"122",2020-07-24,NA,NA,122,1272.44441611425,1265.84222779657,1279.04660443192,1262.34724041747,1282.54159181103
