"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-02-25,"SP",0,1,NA,NA,NA,NA,NA
"2",2020-02-26,"SP",0,2,NA,NA,NA,NA,NA
"3",2020-02-27,"SP",0,3,NA,NA,NA,NA,NA
"4",2020-02-28,"SP",0,4,NA,NA,NA,NA,NA
"5",2020-02-29,"SP",0,5,NA,NA,NA,NA,NA
"6",2020-03-01,"SP",0,6,NA,NA,NA,NA,NA
"7",2020-03-02,"SP",0,7,NA,NA,NA,NA,NA
"8",2020-03-03,"SP",0,8,NA,NA,NA,NA,NA
"9",2020-03-04,"SP",0,9,NA,NA,NA,NA,NA
"10",2020-03-05,"SP",0,10,NA,NA,NA,NA,NA
"11",2020-03-06,"SP",0,11,NA,NA,NA,NA,NA
"12",2020-03-07,"SP",0,12,NA,NA,NA,NA,NA
"13",2020-03-08,"SP",0,13,NA,NA,NA,NA,NA
"14",2020-03-09,"SP",0,14,NA,NA,NA,NA,NA
"15",2020-03-10,"SP",0,15,NA,NA,NA,NA,NA
"16",2020-03-11,"SP",0,16,NA,NA,NA,NA,NA
"17",2020-03-12,"SP",0,17,NA,NA,NA,NA,NA
"18",2020-03-14,"SP",0,18,NA,NA,NA,NA,NA
"19",2020-03-16,"SP",0,19,NA,NA,NA,NA,NA
"20",2020-03-17,"SP",1,20,NA,NA,NA,NA,NA
"21",2020-03-18,"SP",3,21,NA,NA,NA,NA,NA
"22",2020-03-19,"SP",5,22,NA,NA,NA,NA,NA
"23",2020-03-20,"SP",9,23,NA,NA,NA,NA,NA
"24",2020-03-21,"SP",15,24,NA,NA,NA,NA,NA
"25",2020-03-22,"SP",22,25,NA,NA,NA,NA,NA
"26",2020-03-23,"SP",30,26,NA,NA,NA,NA,NA
"27",2020-03-24,"SP",40,27,NA,NA,NA,NA,NA
"28",2020-03-25,"SP",48,28,NA,NA,NA,NA,NA
"29",2020-03-26,"SP",58,29,NA,NA,NA,NA,NA
"30",2020-03-27,"SP",68,30,NA,NA,NA,NA,NA
"31",2020-03-28,"SP",84,31,NA,NA,NA,NA,NA
"32",2020-03-29,"SP",98,32,NA,NA,NA,NA,NA
"33",2020-03-30,"SP",113,33,NA,NA,NA,NA,NA
"34",2020-03-31,"SP",136,34,NA,NA,NA,NA,NA
"35",2020-04-01,"SP",164,35,NA,NA,NA,NA,NA
"36",2020-04-02,"SP",188,36,NA,NA,NA,NA,NA
"37",2020-04-03,"SP",219,37,NA,NA,NA,NA,NA
"38",2020-04-04,"SP",260,38,NA,NA,NA,NA,NA
"39",2020-04-05,"SP",275,39,NA,NA,NA,NA,NA
"40",2020-04-06,"SP",304,40,NA,NA,NA,NA,NA
"41",2020-04-07,"SP",371,41,NA,NA,NA,NA,NA
"42",2020-04-08,"SP",428,42,NA,NA,NA,NA,NA
"43",2020-04-09,"SP",496,43,NA,NA,NA,NA,NA
"44",2020-04-10,"SP",540,44,NA,NA,NA,NA,NA
"45",2020-04-11,"SP",560,45,NA,NA,NA,NA,NA
"46",2020-04-12,"SP",588,46,NA,NA,NA,NA,NA
"47",2020-04-13,"SP",608,47,NA,NA,NA,NA,NA
"48",2020-04-14,"SP",695,48,NA,NA,NA,NA,NA
"49",2020-04-15,"SP",778,49,NA,NA,NA,NA,NA
"50",2020-04-16,"SP",853,50,NA,NA,NA,NA,NA
"51",2020-04-17,"SP",928,51,NA,NA,NA,NA,NA
"52",2020-04-18,"SP",991,52,NA,NA,NA,NA,NA
"53",2020-04-19,"SP",1015,53,NA,NA,NA,NA,NA
"54",2020-04-20,"SP",1037,54,NA,NA,NA,NA,NA
"55",2020-04-21,"SP",1093,55,NA,NA,NA,NA,NA
"56",2020-04-22,"SP",1134,56,NA,NA,NA,NA,NA
"57",2020-04-23,"SP",1345,57,NA,NA,NA,NA,NA
"58",2020-04-24,"SP",1512,58,NA,NA,NA,NA,NA
"59",2020-04-25,"SP",1667,59,NA,NA,NA,NA,NA
