"","date","state","deaths","te","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"1",2020-03-18,"TO",0,1,NA,NA,NA,NA,NA
"2",2020-03-19,"TO",0,2,NA,NA,NA,NA,NA
"3",2020-03-20,"TO",0,3,NA,NA,NA,NA,NA
"4",2020-03-21,"TO",0,4,NA,NA,NA,NA,NA
"5",2020-03-22,"TO",0,5,NA,NA,NA,NA,NA
"6",2020-03-23,"TO",0,6,NA,NA,NA,NA,NA
"7",2020-03-24,"TO",0,7,NA,NA,NA,NA,NA
"8",2020-03-25,"TO",0,8,NA,NA,NA,NA,NA
"9",2020-03-26,"TO",0,9,NA,NA,NA,NA,NA
"10",2020-03-27,"TO",0,10,NA,NA,NA,NA,NA
"11",2020-03-28,"TO",0,11,NA,NA,NA,NA,NA
"12",2020-03-29,"TO",0,12,NA,NA,NA,NA,NA
"13",2020-03-30,"TO",0,13,NA,NA,NA,NA,NA
"14",2020-03-31,"TO",0,14,NA,NA,NA,NA,NA
"15",2020-04-01,"TO",0,15,NA,NA,NA,NA,NA
"16",2020-04-02,"TO",0,16,NA,NA,NA,NA,NA
"17",2020-04-03,"TO",0,17,NA,NA,NA,NA,NA
"18",2020-04-04,"TO",0,18,NA,NA,NA,NA,NA
"19",2020-04-05,"TO",0,19,NA,NA,NA,NA,NA
"20",2020-04-06,"TO",0,20,NA,NA,NA,NA,NA
"21",2020-04-07,"TO",0,21,NA,NA,NA,NA,NA
"22",2020-04-08,"TO",0,22,NA,NA,NA,NA,NA
"23",2020-04-09,"TO",0,23,NA,NA,NA,NA,NA
"24",2020-04-10,"TO",0,24,NA,NA,NA,NA,NA
"25",2020-04-11,"TO",0,25,NA,NA,NA,NA,NA
"26",2020-04-12,"TO",0,26,NA,NA,NA,NA,NA
"27",2020-04-13,"TO",0,27,NA,NA,NA,NA,NA
"28",2020-04-14,"TO",0,28,NA,NA,NA,NA,NA
"29",2020-04-15,"TO",1,29,NA,NA,NA,NA,NA
"30",2020-04-16,"TO",1,30,NA,NA,NA,NA,NA
"31",2020-04-17,"TO",1,31,NA,NA,NA,NA,NA
"32",2020-04-18,"TO",1,32,NA,NA,NA,NA,NA
"33",2020-04-19,"TO",1,33,NA,NA,NA,NA,NA
"34",2020-04-20,"TO",2,34,NA,NA,NA,NA,NA
"35",2020-04-21,"TO",2,35,NA,NA,NA,NA,NA
"36",2020-04-22,"TO",2,36,NA,NA,NA,NA,NA
"37",2020-04-23,"TO",2,37,NA,NA,NA,NA,NA
"38",2020-04-24,"TO",2,38,NA,NA,NA,NA,NA
"39",2020-04-25,"TO",2,39,NA,NA,NA,NA,NA
"40",2020-04-26,"TO",2,40,NA,NA,NA,NA,NA
"41",2020-04-27,"TO",2,41,NA,NA,NA,NA,NA
"42",2020-04-28,"TO",2,42,NA,NA,NA,NA,NA
"43",2020-04-29,"TO",3,43,NA,NA,NA,NA,NA
"44",2020-04-30,"TO",3,44,NA,NA,NA,NA,NA
"45",2020-05-01,"TO",4,45,NA,NA,NA,NA,NA
"46",2020-05-02,"TO",4,46,NA,NA,NA,NA,NA
"47",2020-05-03,"TO",6,47,NA,NA,NA,NA,NA
"48",2020-05-04,"TO",7,48,NA,NA,NA,NA,NA
"49",2020-05-05,"TO",9,49,NA,NA,NA,NA,NA
"50",2020-05-06,"TO",9,50,NA,NA,NA,NA,NA
"51",2020-05-07,"TO",9,51,NA,NA,NA,NA,NA
"52",2020-05-08,"TO",9,52,NA,NA,NA,NA,NA
"53",2020-05-09,"TO",11,53,NA,NA,NA,NA,NA
"54",2020-05-10,"TO",12,54,NA,NA,NA,NA,NA
"55",2020-05-11,"TO",14,55,NA,NA,NA,NA,NA
"56",2020-05-12,"TO",21,56,NA,NA,NA,NA,NA
"57",2020-05-13,"TO",23,57,NA,NA,NA,NA,NA
"58",2020-05-14,"TO",24,58,NA,NA,NA,NA,NA
"59",2020-05-15,"TO",27,59,NA,NA,NA,NA,NA
"60",2020-05-17,"TO",32,60,NA,NA,NA,NA,NA
"61",2020-05-18,"TO",38,61,NA,NA,NA,NA,NA
"62",2020-05-19,"TO",42,62,NA,NA,NA,NA,NA
"63",2020-05-20,"TO",47,63,NA,NA,NA,NA,NA
"64",2020-05-21,"TO",49,64,NA,NA,NA,NA,NA
"65",2020-05-22,"TO",51,65,NA,NA,NA,NA,NA
"66",2020-05-23,"TO",51,66,NA,NA,NA,NA,NA
"67",2020-05-25,"TO",58,67,NA,NA,NA,NA,NA
"68",2020-05-26,"TO",64,68,NA,NA,NA,NA,NA
"69",2020-05-28,"TO",68,69,NA,NA,NA,NA,NA
"70",2020-05-29,"TO",70,70,NA,NA,NA,NA,NA
"71",2020-05-30,"TO",71,71,NA,NA,NA,NA,NA
"72",2020-05-31,"TO",73,72,NA,NA,NA,NA,NA
"73",2020-06-01,"TO",76,73,NA,NA,NA,NA,NA
"74",2020-06-02,"TO",79,74,NA,NA,NA,NA,NA
"75",2020-06-03,"TO",82,75,NA,NA,NA,NA,NA
"76",2020-06-05,"TO",96,76,NA,NA,NA,NA,NA
"77",2020-06-06,"TO",99,77,NA,NA,NA,NA,NA
"78",2020-06-07,"TO",99,78,NA,NA,NA,NA,NA
"79",2020-06-08,"TO",114,79,NA,NA,NA,NA,NA
"80",2020-06-09,"TO",120,80,NA,NA,NA,NA,NA
"81",2020-06-10,"TO",124,81,NA,NA,NA,NA,NA
"82",2020-06-11,"TO",128,82,NA,NA,NA,NA,NA
"83",2020-06-12,"TO",130,83,NA,NA,NA,NA,NA
"84",2020-06-13,"TO",132,84,NA,NA,NA,NA,NA
"85",2020-06-14,"TO",136,85,NA,NA,NA,NA,NA
"86",2020-06-15,"TO",140,86,NA,NA,NA,NA,NA
"87",2020-06-16,"TO",149,87,NA,NA,NA,NA,NA
"88",2020-06-17,"TO",152,88,NA,NA,NA,NA,NA
"89",2020-06-18,"TO",159,89,NA,NA,NA,NA,NA
"90",2020-06-19,"TO",167,90,NA,NA,NA,NA,NA
"91",2020-06-20,"TO",175,91,NA,NA,NA,NA,NA
"92",2020-06-21,"TO",178,92,NA,NA,NA,NA,NA
"93",2020-06-22,"TO",179,93,NA,NA,NA,NA,NA
"94",2020-06-23,"TO",181,94,NA,NA,NA,NA,NA
"95",2020-06-24,"TO",183,95,NA,NA,NA,NA,NA
"96",2020-06-25,"TO",186,96,NA,NA,NA,NA,NA
"97",2020-06-26,"TO",191,97,NA,NA,NA,NA,NA
"98",2020-06-27,"TO",192,98,NA,NA,NA,NA,NA
"99",2020-06-28,"TO",195,99,NA,NA,NA,NA,NA
"100",2020-06-29,"TO",200,100,NA,NA,NA,NA,NA
"101",2020-06-30,"TO",204,101,NA,NA,NA,NA,NA
"102",2020-07-01,"TO",209,102,NA,NA,NA,NA,NA
"103",2020-07-02,"TO",211,103,NA,NA,NA,NA,NA
"104",2020-07-03,"TO",215,104,NA,NA,NA,NA,NA
"105",2020-07-04,"TO",220,105,NA,NA,NA,NA,NA
"106",2020-07-05,"TO",224,106,NA,NA,NA,NA,NA
"107",2020-07-06,"TO",228,107,NA,NA,NA,NA,NA
"108",2020-07-07,"TO",233,108,NA,NA,NA,NA,NA
"109",2020-07-08,"TO",240,109,NA,NA,NA,NA,NA
"110",2020-07-09,"TO",245,110,NA,NA,NA,NA,NA
"111",2020-07-10,"TO",251,111,NA,NA,NA,NA,NA
"112",2020-07-11,"TO",255,112,NA,NA,NA,NA,NA
"113",2020-07-12,"TO",259,113,NA,NA,NA,NA,NA
"114",2020-07-13,"TO",267,114,NA,NA,NA,NA,NA
"115",2020-07-14,"TO",271,115,NA,NA,NA,NA,NA
"116",2020-07-15,"TO",278,116,NA,NA,NA,NA,NA
"117",2020-07-16,"TO",283,117,NA,NA,NA,NA,NA
"118",2020-07-17,"TO",288,118,NA,NA,NA,NA,NA
"119",2020-07-18,"TO",294,119,NA,NA,NA,NA,NA
"120",2020-07-19,"TO",299,120,NA,NA,NA,NA,NA
"121",2020-07-20,"TO",308,121,NA,NA,NA,NA,NA
"122",2020-07-21,"TO",315,122,NA,NA,NA,NA,NA
"123",2020-07-22,"TO",326,123,NA,NA,NA,NA,NA
"124",2020-07-23,NA,NA,124,332.978016887581,330.104851933315,335.851181841847,328.583890280891,337.372143494271
"125",2020-07-24,NA,NA,125,339.956033775162,335.525230652115,344.386836898209,333.179705161285,346.73236238904
"126",2020-07-25,NA,NA,126,346.934050662743,341.049287935578,352.818813389908,337.934082723172,355.934018602314
"127",2020-07-26,NA,NA,127,353.912067550324,346.580632564823,361.243502535825,342.699605318676,365.124529781972
"128",2020-07-27,NA,NA,128,360.890084437905,352.087235463699,369.692933412111,347.427288702911,374.352880172899
"129",2020-07-28,NA,NA,129,367.868101325486,357.555454736182,378.18074791479,352.096269396322,383.63993325465
"130",2020-07-29,NA,NA,130,374.846118213067,362.978888470665,386.71334795547,356.696756520011,392.995479906123
"131",2020-07-30,NA,NA,131,381.824135100648,368.354497010313,395.293773190983,361.224101320013,402.424168881284
"132",2020-07-31,NA,NA,132,388.802151988229,373.680964229806,403.923339746653,365.676290956345,411.928013020114
"133",2020-08-01,NA,NA,133,395.78016887581,378.957913897527,412.602423854093,370.052750032407,421.507587719213
"134",2020-08-02,NA,NA,134,402.758185763391,384.185501675088,421.330869851695,374.353716612089,431.162654914693
"135",2020-08-03,NA,NA,135,409.736202650972,389.364189292769,430.108216009176,378.579896850916,440.892508451028
"136",2020-08-04,NA,NA,136,416.714219538553,394.494613813073,438.933825264034,382.732265051911,450.696174025196
"137",2020-08-05,NA,NA,137,423.692236426134,399.577509407079,447.80696344519,386.811944032844,460.572528819425
