,Dia da Epidemia,Estado,Suscetiveis,Expostos,Infectados,Casos Acum.,Recuperados,Obitos Acum.,Obitos Diários,R_t
147,2020-08-02,AL,3053120.0,9837.0,20234.0,274399.0,252609.0,1555.0,13.0, 0.89
148,2020-08-03,AL,3051304.0,9698.0,19966.0,276353.0,254816.0,1569.0,13.0, 0.89
149,2020-08-04,AL,3049515.0,9562.0,19700.0,278279.0,256995.0,1582.0,13.0, 0.89
150,2020-08-05,AL,3047752.0,9426.0,19437.0,280178.0,259144.0,1596.0,13.0, 0.89
151,2020-08-06,AL,3046014.0,9292.0,19175.0,282049.0,261265.0,1609.0,12.0, 0.89
152,2020-08-07,AL,3044301.0,9160.0,18916.0,283895.0,263357.0,1622.0,12.0, 0.89
153,2020-08-08,AL,3042613.0,9029.0,18658.0,285714.0,265420.0,1634.0,12.0, 0.89
154,2020-08-09,AL,3040950.0,8899.0,18403.0,287507.0,267455.0,1647.0,12.0, 0.89
155,2020-08-10,AL,3039310.0,8771.0,18151.0,289274.0,269463.0,1659.0,12.0, 0.89
156,2020-08-11,AL,3037695.0,8645.0,17900.0,291015.0,271443.0,1671.0,12.0, 0.89
157,2020-08-12,AL,3036104.0,8520.0,17652.0,292732.0,273395.0,1683.0,11.0, 0.89
158,2020-08-13,AL,3034536.0,8396.0,17407.0,294424.0,275321.0,1695.0,11.0, 0.89
159,2020-08-14,AL,3032991.0,8274.0,17164.0,296091.0,277219.0,1707.0,11.0, 0.88
160,2020-08-15,AL,3031468.0,8154.0,16923.0,297734.0,279091.0,1718.0,11.0, 0.88
161,2020-08-16,AL,3029968.0,8034.0,16685.0,299353.0,280937.0,1730.0,11.0, 0.88
162,2020-08-17,AL,3028491.0,7917.0,16449.0,300948.0,282756.0,1741.0,11.0, 0.88
163,2020-08-18,AL,3027035.0,7801.0,16216.0,302520.0,284550.0,1752.0,10.0, 0.88
164,2020-08-19,AL,3025601.0,7686.0,15986.0,304068.0,286319.0,1763.0,10.0, 0.88
165,2020-08-20,AL,3024189.0,7573.0,15757.0,305594.0,288062.0,1774.0,10.0, 0.88
166,2020-08-21,AL,3022797.0,7461.0,15532.0,307098.0,289780.0,1784.0,10.0, 0.88
167,2020-08-22,AL,3021427.0,7350.0,15309.0,308579.0,291474.0,1795.0,10.0, 0.88
168,2020-08-23,AL,3020077.0,7241.0,15089.0,310038.0,293143.0,1805.0,10.0, 0.88
169,2020-08-24,AL,3018747.0,7133.0,14871.0,311475.0,294789.0,1815.0,9.0, 0.88
170,2020-08-25,AL,3017437.0,7027.0,14655.0,312892.0,296410.0,1825.0,9.0, 0.88
171,2020-08-26,AL,3016147.0,6922.0,14442.0,314287.0,298008.0,1835.0,9.0, 0.88
172,2020-08-27,AL,3014876.0,6819.0,14232.0,315661.0,299583.0,1845.0,9.0, 0.88
173,2020-08-28,AL,3013625.0,6717.0,14024.0,317014.0,301135.0,1854.0,9.0, 0.88
174,2020-08-29,AL,3012392.0,6616.0,13819.0,318348.0,302664.0,1864.0,9.0, 0.88
175,2020-08-30,AL,3011178.0,6516.0,13617.0,319661.0,304171.0,1873.0,9.0, 0.88
176,2020-08-31,AL,3009983.0,6418.0,13416.0,320955.0,305655.0,1882.0,9.0, 0.88
177,2020-09-01,AL,3008805.0,6321.0,13219.0,322229.0,307118.0,1891.0,8.0, 0.88
178,2020-09-02,AL,3007646.0,6226.0,13023.0,323483.0,308559.0,1900.0,8.0, 0.88
179,2020-09-03,AL,3006504.0,6132.0,12831.0,324719.0,309979.0,1909.0,8.0, 0.88
180,2020-09-04,AL,3005380.0,6039.0,12640.0,325936.0,311378.0,1917.0,8.0, 0.88
181,2020-09-05,AL,3004273.0,5947.0,12453.0,327135.0,312756.0,1926.0,8.0, 0.88
182,2020-09-06,AL,3003183.0,5857.0,12267.0,328316.0,314113.0,1934.0,8.0, 0.88
183,2020-09-07,AL,3002110.0,5768.0,12084.0,329478.0,315451.0,1942.0,8.0, 0.88
184,2020-09-08,AL,3001053.0,5680.0,11903.0,330623.0,316768.0,1950.0,7.0, 0.88
185,2020-09-09,AL,3000012.0,5593.0,11725.0,331750.0,318066.0,1958.0,7.0, 0.88
186,2020-09-10,AL,2998988.0,5508.0,11549.0,332860.0,319344.0,1966.0,7.0, 0.88
187,2020-09-11,AL,2997979.0,5423.0,11376.0,333954.0,320603.0,1974.0,7.0, 0.88
188,2020-09-12,AL,2996985.0,5340.0,11204.0,335030.0,321843.0,1982.0,7.0, 0.88
189,2020-09-13,AL,2996007.0,5258.0,11035.0,336090.0,323064.0,1989.0,7.0, 0.88
