,region,date,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,confirm
0,Acre,2020-09-13,estimate,46.0,58.0,46.0,9.0,26.0,38.0,56.0,78.0,147.0,
1,Acre,2020-09-14,estimate,34.0,42.0,34.0,6.0,18.0,28.0,42.0,56.0,111.0,
2,Acre,2020-09-15,estimate,107.0,138.0,118.0,22.0,61.0,88.0,132.0,180.0,351.0,
3,Acre,2020-09-16,estimate,109.0,137.0,108.0,20.0,61.0,88.0,131.0,181.0,356.0,
4,Acre,2020-09-17,estimate,117.0,148.0,117.0,23.0,67.0,95.0,144.0,195.0,374.0,
5,Acre,2020-09-18,estimate,144.0,181.0,146.0,27.0,79.0,116.0,177.0,241.0,458.0,
6,Acre,2020-09-19,estimate,100.0,124.0,98.0,19.0,55.0,81.0,121.0,166.0,313.0,
7,Acre,2020-09-20,estimate,52.0,65.0,51.0,10.0,28.0,42.0,63.0,86.0,161.0,
8,Acre,2020-09-21,estimate,35.0,45.0,37.0,7.0,20.0,29.0,43.0,60.0,117.0,
9,Acre,2020-09-22,estimate,111.0,135.0,104.0,21.0,61.0,89.0,134.0,182.0,332.0,
10,Acre,2020-09-23,estimate,104.0,129.0,102.0,21.0,59.0,85.0,127.0,169.0,325.0,
11,Acre,2020-09-24,estimate,104.0,131.0,108.0,21.0,58.0,85.0,125.0,172.0,337.0,
12,Acre,2020-09-25,estimate,129.0,160.0,124.0,25.0,71.0,104.0,157.0,214.0,400.0,
13,Acre,2020-09-26,estimate,87.0,107.0,84.0,16.0,48.0,70.0,106.0,143.0,275.0,
14,Acre,2020-09-27,estimate,45.0,56.0,44.0,8.0,25.0,36.0,55.0,75.0,139.0,
15,Acre,2020-09-28,estimate,30.0,38.0,29.0,5.0,17.0,25.0,37.0,51.0,95.0,
16,Acre,2020-09-29,estimate,93.0,116.0,89.0,17.0,51.0,75.0,115.0,156.0,288.0,
17,Acre,2020-09-30,estimate,90.0,111.0,86.0,18.0,50.0,74.0,110.0,149.0,276.0,
18,Acre,2020-10-01,estimate,92.0,115.0,90.0,18.0,50.0,75.0,114.0,154.0,289.0,
19,Acre,2020-10-02,estimate,110.0,136.0,106.0,22.0,62.0,90.0,132.0,177.0,347.0,
20,Acre,2020-10-03,estimate,73.0,91.0,72.0,14.0,41.0,59.0,89.0,122.0,229.0,
21,Acre,2020-10-04,estimate,38.0,48.0,38.0,7.0,21.0,31.0,46.0,63.0,119.0,
22,Acre,2020-10-05,estimate,27.0,33.0,27.0,4.0,14.0,21.0,32.0,44.0,82.0,
23,Acre,2020-10-06,estimate,80.0,98.0,76.0,16.0,45.0,64.0,95.0,129.0,235.0,
24,Acre,2020-10-07,estimate,75.0,95.0,77.0,14.0,43.0,62.0,92.0,127.0,240.0,
25,Acre,2020-10-08,estimate,80.0,100.0,79.0,16.0,45.0,65.0,96.0,131.0,257.0,
26,Acre,2020-10-09,estimate,96.0,118.0,93.0,18.0,52.0,78.0,117.0,156.0,290.0,
27,Acre,2020-10-10,estimate,66.0,83.0,65.0,13.0,38.0,54.0,81.0,111.0,211.0,
28,Acre,2020-10-11,estimate,35.0,44.0,36.0,6.0,19.0,28.0,43.0,59.0,112.0,
29,Acre,2020-10-12,estimate,25.0,30.0,24.0,4.0,13.0,20.0,30.0,41.0,75.0,
30,Acre,2020-10-13,estimate,75.0,93.0,72.0,14.0,42.0,61.0,92.0,123.0,235.0,
31,Acre,2020-10-14,estimate,73.0,91.0,72.0,13.0,40.0,59.0,88.0,121.0,240.0,
32,Acre,2020-10-15,estimate,77.0,95.0,78.0,14.0,42.0,62.0,93.0,125.0,242.0,
33,Acre,2020-10-16,estimate,99.0,120.0,94.0,19.0,54.0,80.0,120.0,160.0,298.0,
34,Acre,2020-10-17,estimate,65.0,81.0,63.0,14.0,37.0,52.0,80.0,108.0,199.0,
35,Acre,2020-10-18,estimate,35.0,44.0,35.0,7.0,20.0,28.0,43.0,58.0,112.0,
36,Acre,2020-10-19,estimate,25.0,31.0,27.0,4.0,13.0,20.0,30.0,42.0,81.0,
37,Acre,2020-10-20,estimate,78.0,98.0,78.0,15.0,43.0,63.0,95.0,134.0,252.0,
38,Acre,2020-10-21,estimate,77.0,95.0,75.0,14.0,42.0,63.0,93.0,125.0,239.0,
39,Acre,2020-10-22,estimate,85.0,105.0,84.0,15.0,47.0,69.0,103.0,139.0,262.0,
40,Acre,2020-10-23,estimate,109.0,134.0,105.0,22.0,59.0,88.0,131.0,177.0,335.0,
41,Acre,2020-10-24,estimate,75.0,95.0,78.0,15.0,42.0,61.0,91.0,125.0,236.0,
42,Acre,2020-10-25,estimate,41.0,50.0,39.0,7.0,22.0,33.0,50.0,68.0,128.0,
43,Acre,2020-10-26,estimate,30.0,38.0,30.0,6.0,17.0,25.0,37.0,50.0,96.0,
44,Acre,2020-10-27,estimate,95.0,120.0,95.0,19.0,54.0,78.0,116.0,161.0,303.0,
45,Acre,2020-10-28,estimate,94.0,116.0,91.0,18.0,52.0,75.0,114.0,155.0,290.0,
46,Acre,2020-10-29,estimate,107.0,132.0,109.0,20.0,58.0,86.0,129.0,174.0,334.0,
47,Acre,2020-10-30,estimate,135.0,167.0,134.0,25.0,74.0,107.0,165.0,220.0,423.0,
48,Acre,2020-10-31,estimate,97.0,121.0,95.0,19.0,54.0,78.0,119.0,162.0,308.0,
49,Acre,2020-11-01,estimate,54.0,66.0,52.0,10.0,30.0,44.0,65.0,88.0,164.0,
50,Acre,2020-11-02,estimate,40.0,51.0,42.0,8.0,22.0,32.0,49.0,67.0,131.0,
51,Acre,2020-11-03,estimate,130.0,160.0,127.0,27.0,72.0,106.0,157.0,210.0,395.0,
52,Acre,2020-11-04,estimate,129.0,162.0,128.0,25.0,72.0,105.0,160.0,212.0,413.0,
53,Acre,2020-11-05,estimate,144.0,180.0,141.0,28.0,81.0,119.0,175.0,235.0,452.0,
54,Acre,2020-11-06,estimate,185.0,231.0,186.0,37.0,103.0,151.0,223.0,304.0,574.0,
55,Acre,2020-11-07,estimate,135.0,166.0,130.0,26.0,74.0,109.0,164.0,222.0,421.0,
56,Acre,2020-11-08,estimate,76.0,93.0,71.0,14.0,42.0,61.0,91.0,124.0,227.0,
57,Acre,2020-11-09,estimate,56.0,69.0,54.0,10.0,30.0,45.0,69.0,93.0,173.0,
58,Acre,2020-11-10,estimate,177.0,221.0,176.0,32.0,95.0,144.0,216.0,296.0,561.0,
59,Acre,2020-11-11,estimate,181.0,224.0,178.0,37.0,99.0,146.0,220.0,296.0,571.0,
60,Acre,2020-11-12,estimate,199.0,251.0,200.0,38.0,112.0,162.0,244.0,333.0,628.0,
61,Acre,2020-11-13,estimate,256.0,318.0,246.0,49.0,143.0,206.0,312.0,425.0,790.0,
62,Acre,2020-11-14,estimate,183.0,223.0,171.0,38.0,104.0,149.0,219.0,294.0,545.0,
63,Acre,2020-11-15,estimate,101.0,126.0,98.0,21.0,57.0,82.0,124.0,168.0,315.0,
64,Acre,2020-11-16,estimate,72.0,90.0,71.0,14.0,40.0,58.0,87.0,120.0,225.0,
65,Acre,2020-11-17,estimate,228.0,282.0,224.0,46.0,127.0,183.0,276.0,371.0,704.0,
66,Acre,2020-11-18,estimate,231.0,284.0,218.0,48.0,130.0,188.0,280.0,379.0,717.0,
67,Acre,2020-11-19,estimate,245.0,307.0,242.0,45.0,132.0,197.0,298.0,419.0,767.0,
68,Acre,2020-11-20,estimate,304.0,385.0,315.0,56.0,170.0,249.0,368.0,509.0,973.0,
69,Acre,2020-11-21,estimate,216.0,265.0,207.0,43.0,121.0,174.0,262.0,352.0,649.0,
70,Acre,2020-11-22,estimate,112.0,138.0,107.0,22.0,62.0,90.0,133.0,184.0,350.0,
71,Acre,2020-11-23,estimate,79.0,100.0,79.0,16.0,45.0,65.0,97.0,136.0,249.0,
72,Acre,2020-11-24,estimate,241.0,306.0,240.0,52.0,135.0,196.0,297.0,415.0,765.0,
73,Acre,2020-11-25,estimate,230.0,287.0,220.0,47.0,133.0,190.0,281.0,381.0,704.0,
74,Acre,2020-11-26,estimate based on partial data,246.0,305.0,237.0,45.0,137.0,201.0,299.0,406.0,759.0,
75,Acre,2020-11-27,estimate based on partial data,295.0,370.0,293.0,57.0,164.0,237.0,359.0,494.0,932.0,
76,Acre,2020-11-28,estimate based on partial data,207.0,254.0,197.0,41.0,114.0,167.0,250.0,342.0,622.0,
77,Acre,2020-11-29,estimate based on partial data,102.0,130.0,106.0,21.0,58.0,82.0,124.0,171.0,330.0,
78,Acre,2020-11-30,estimate based on partial data,71.0,89.0,69.0,14.0,40.0,58.0,86.0,117.0,221.0,
79,Acre,2020-12-01,estimate based on partial data,214.0,273.0,224.0,41.0,118.0,176.0,262.0,362.0,714.0,
80,Acre,2020-12-02,estimate based on partial data,206.0,260.0,213.0,39.0,116.0,165.0,251.0,345.0,654.0,
81,Acre,2020-12-03,estimate based on partial data,210.0,265.0,214.0,41.0,115.0,169.0,256.0,354.0,672.0,
82,Acre,2020-12-04,estimate based on partial data,249.0,321.0,278.0,47.0,138.0,202.0,302.0,424.0,810.0,
83,Acre,2020-12-05,estimate based on partial data,163.0,212.0,183.0,31.0,88.0,130.0,199.0,277.0,558.0,
84,Acre,2020-12-06,estimate based on partial data,82.0,108.0,94.0,15.0,46.0,67.0,102.0,143.0,288.0,
85,Acre,2020-12-07,forecast,57.0,77.0,70.0,9.0,30.0,45.0,71.0,101.0,208.0,
86,Acre,2020-12-08,forecast,170.0,232.0,235.0,31.0,89.0,134.0,208.0,296.0,643.0,
87,Acre,2020-12-09,forecast,154.0,219.0,223.0,26.0,81.0,123.0,192.0,277.0,627.0,
88,Acre,2020-12-10,forecast,154.0,226.0,230.0,26.0,81.0,121.0,198.0,290.0,672.0,
89,Acre,2020-12-11,forecast,178.0,263.0,276.0,29.0,94.0,142.0,226.0,337.0,778.0,
90,Acre,2020-12-12,forecast,121.0,187.0,220.0,19.0,59.0,95.0,156.0,235.0,562.0,
91,Acre,2020-12-13,forecast,60.0,96.0,117.0,9.0,29.0,47.0,79.0,120.0,296.0,
92,Acre,2020-12-14,forecast,41.0,68.0,82.0,5.0,19.0,31.0,55.0,86.0,212.0,
93,Acre,2020-12-15,forecast,121.0,210.0,302.0,16.0,55.0,91.0,158.0,248.0,676.0,
94,Acre,2020-12-16,forecast,113.0,211.0,378.0,15.0,52.0,83.0,152.0,244.0,690.0,
95,Acre,2020-12-17,forecast,109.0,214.0,388.0,14.0,49.0,82.0,146.0,242.0,720.0,
96,Acre,2020-12-18,forecast,129.0,278.0,700.0,15.0,57.0,94.0,181.0,290.0,941.0,
97,Acre,2020-12-19,forecast,86.0,199.0,530.0,9.0,38.0,64.0,121.0,201.0,662.0,
98,Acre,2020-12-20,forecast,44.0,110.0,478.0,4.0,17.0,32.0,62.0,106.0,374.0,
0,Acre,2020-09-13,observed,,,,,,,,,,18.0
27,Acre,2020-09-14,observed,,,,,,,,,,10.0
54,Acre,2020-09-15,observed,,,,,,,,,,111.0
81,Acre,2020-09-16,observed,,,,,,,,,,176.0
108,Acre,2020-09-17,observed,,,,,,,,,,253.0
135,Acre,2020-09-18,observed,,,,,,,,,,226.0
162,Acre,2020-09-19,observed,,,,,,,,,,119.0
189,Acre,2020-09-20,observed,,,,,,,,,,18.0
216,Acre,2020-09-21,observed,,,,,,,,,,27.0
243,Acre,2020-09-22,observed,,,,,,,,,,140.0
270,Acre,2020-09-23,observed,,,,,,,,,,151.0
297,Acre,2020-09-24,observed,,,,,,,,,,159.0
324,Acre,2020-09-25,observed,,,,,,,,,,154.0
351,Acre,2020-09-26,observed,,,,,,,,,,149.0
378,Acre,2020-09-27,observed,,,,,,,,,,15.0
405,Acre,2020-09-28,observed,,,,,,,,,,11.0
432,Acre,2020-09-29,observed,,,,,,,,,,145.0
459,Acre,2020-09-30,observed,,,,,,,,,,192.0
486,Acre,2020-10-01,observed,,,,,,,,,,187.0
513,Acre,2020-10-02,observed,,,,,,,,,,146.0
540,Acre,2020-10-03,observed,,,,,,,,,,107.0
567,Acre,2020-10-04,observed,,,,,,,,,,10.0
594,Acre,2020-10-05,observed,,,,,,,,,,15.0
621,Acre,2020-10-06,observed,,,,,,,,,,118.0
648,Acre,2020-10-07,observed,,,,,,,,,,13.0
675,Acre,2020-10-08,observed,,,,,,,,,,16.0
702,Acre,2020-10-09,observed,,,,,,,,,,183.0
729,Acre,2020-10-10,observed,,,,,,,,,,14.0
756,Acre,2020-10-11,observed,,,,,,,,,,19.0
783,Acre,2020-10-12,observed,,,,,,,,,,13.0
810,Acre,2020-10-13,observed,,,,,,,,,,209.0
837,Acre,2020-10-14,observed,,,,,,,,,,29.0
864,Acre,2020-10-15,observed,,,,,,,,,,105.0
891,Acre,2020-10-16,observed,,,,,,,,,,192.0
918,Acre,2020-10-17,observed,,,,,,,,,,95.0
945,Acre,2020-10-18,observed,,,,,,,,,,25.0
972,Acre,2020-10-19,observed,,,,,,,,,,47.0
999,Acre,2020-10-20,observed,,,,,,,,,,100.0
1026,Acre,2020-10-21,observed,,,,,,,,,,60.0
1053,Acre,2020-10-22,observed,,,,,,,,,,103.0
1080,Acre,2020-10-23,observed,,,,,,,,,,93.0
1107,Acre,2020-10-24,observed,,,,,,,,,,96.0
1134,Acre,2020-10-25,observed,,,,,,,,,,87.0
1161,Acre,2020-10-26,observed,,,,,,,,,,13.0
1188,Acre,2020-10-27,observed,,,,,,,,,,63.0
1215,Acre,2020-10-28,observed,,,,,,,,,,165.0
1242,Acre,2020-10-29,observed,,,,,,,,,,93.0
1269,Acre,2020-10-30,observed,,,,,,,,,,120.0
1296,Acre,2020-10-31,observed,,,,,,,,,,38.0
1323,Acre,2020-11-01,observed,,,,,,,,,,155.0
1350,Acre,2020-11-02,observed,,,,,,,,,,3.0
1377,Acre,2020-11-03,observed,,,,,,,,,,8.0
1404,Acre,2020-11-04,observed,,,,,,,,,,256.0
1431,Acre,2020-11-05,observed,,,,,,,,,,30.0
1458,Acre,2020-11-06,observed,,,,,,,,,,78.0
1485,Acre,2020-11-07,observed,,,,,,,,,,249.0
1512,Acre,2020-11-08,observed,,,,,,,,,,132.0
1539,Acre,2020-11-09,observed,,,,,,,,,,81.0
1566,Acre,2020-11-10,observed,,,,,,,,,,138.0
1593,Acre,2020-11-11,observed,,,,,,,,,,187.0
1620,Acre,2020-11-12,observed,,,,,,,,,,402.0
1647,Acre,2020-11-13,observed,,,,,,,,,,146.0
1674,Acre,2020-11-14,observed,,,,,,,,,,330.0
1701,Acre,2020-11-15,observed,,,,,,,,,,165.0
1728,Acre,2020-11-16,observed,,,,,,,,,,139.0
1755,Acre,2020-11-17,observed,,,,,,,,,,180.0
1782,Acre,2020-11-18,observed,,,,,,,,,,250.0
1809,Acre,2020-11-19,observed,,,,,,,,,,251.0
1836,Acre,2020-11-20,observed,,,,,,,,,,270.0
1863,Acre,2020-11-21,observed,,,,,,,,,,189.0
1890,Acre,2020-11-22,observed,,,,,,,,,,191.0
1917,Acre,2020-11-23,observed,,,,,,,,,,223.0
1944,Acre,2020-11-24,observed,,,,,,,,,,204.0
1971,Acre,2020-11-25,observed,,,,,,,,,,135.0
1998,Acre,2020-11-26,observed,,,,,,,,,,116.0
2025,Acre,2020-11-27,observed,,,,,,,,,,452.0
2052,Acre,2020-11-28,observed,,,,,,,,,,164.0
2079,Acre,2020-11-29,observed,,,,,,,,,,160.0
2106,Acre,2020-11-30,observed,,,,,,,,,,179.0
2133,Acre,2020-12-01,observed,,,,,,,,,,304.0
2160,Acre,2020-12-02,observed,,,,,,,,,,183.0
2187,Acre,2020-12-03,observed,,,,,,,,,,153.0
2214,Acre,2020-12-04,observed,,,,,,,,,,253.0
2241,Acre,2020-12-05,observed,,,,,,,,,,125.0
